FeatureCode,DateCode,Measurement,Units,Value,DCLG Dwelling Stock Tenure
E07000035,2015,Numbers of Dwellings,,4050,Private Registered Provider
E07000035,2013,Numbers of Dwellings,,29930,Private Sector
E07000035,2012,Numbers of Dwellings,,3850,Private Registered Provider
E07000035,2015,Numbers of Dwellings,,30000,Private Sector
E07000035,2015,Numbers of Dwellings,,34060,All tenure types
E07000035,2012,Numbers of Dwellings,,29760,Private Sector
E07000035,2010,Numbers of Dwellings,,33170,All tenure types
E07000035,2011,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000035,2014,Numbers of Dwellings,,29930,Private Sector
E07000035,2011,Numbers of Dwellings,,0,Other Public Sector
E07000035,2016,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000035,2016,Numbers of Dwellings,,34200,All tenure types
E07000035,2011,Numbers of Dwellings,,3837,Private Registered Provider
E07000035,2013,Numbers of Dwellings,,10,Other Public Sector
E07000035,2011,Numbers of Dwellings,,29640,Private Sector
E07000035,2013,Numbers of Dwellings,,3900,Private Registered Provider
E07000035,2010,Numbers of Dwellings,,7,Other Public Sector
E07000035,2016,Numbers of Dwellings,,10,Other Public Sector
E07000035,2016,Numbers of Dwellings,,30170,Private Sector
E07000035,2012,Numbers of Dwellings,,33610,All tenure types
E07000035,2014,Numbers of Dwellings,,33940,All tenure types
E07000035,2016,Numbers of Dwellings,,4020,Private Registered Provider
E10000007,2014,Numbers of Dwellings,,351190,All tenure types
E10000007,2015,Numbers of Dwellings,,23210,Private Registered Provider
E10000007,2015,Numbers of Dwellings,,353060,All tenure types
E10000007,2015,Numbers of Dwellings,,90,Other Public Sector
E10000007,2012,Numbers of Dwellings,,22490,Private Registered Provider
E10000007,2013,Numbers of Dwellings,,170,Other Public Sector
E10000007,2013,Numbers of Dwellings,,296840,Private Sector
E10000007,2015,Numbers of Dwellings,,29720,Local-Authority (incl. owned by other LAs)
E10000007,2012,Numbers of Dwellings,,348310,All tenure types
E10000007,2012,Numbers of Dwellings,,30270,Local-Authority (incl. owned by other LAs)
E10000007,2016,Numbers of Dwellings,,110,Other Public Sector
E10000007,2015,Numbers of Dwellings,,300040,Private Sector
E10000007,2014,Numbers of Dwellings,,298200,Private Sector
E10000007,2013,Numbers of Dwellings,,349810,All tenure types
E10000007,2016,Numbers of Dwellings,,23550,Private Registered Provider
E10000007,2016,Numbers of Dwellings,,29560,Local-Authority (incl. owned by other LAs)
E10000007,2012,Numbers of Dwellings,,180,Other Public Sector
E10000007,2016,Numbers of Dwellings,,355730,All tenure types
E10000007,2014,Numbers of Dwellings,,29920,Local-Authority (incl. owned by other LAs)
E10000007,2014,Numbers of Dwellings,,22910,Private Registered Provider
E10000007,2012,Numbers of Dwellings,,295370,Private Sector
E10000007,2014,Numbers of Dwellings,,160,Other Public Sector
E10000007,2013,Numbers of Dwellings,,30170,Local-Authority (incl. owned by other LAs)
E10000007,2016,Numbers of Dwellings,,302500,Private Sector
E10000007,2013,Numbers of Dwellings,,22630,Private Registered Provider
E07000196,2012,Numbers of Dwellings,,20,Local-Authority (incl. owned by other LAs)
E07000196,2010,Numbers of Dwellings,,6314,Private Registered Provider
E07000196,2014,Numbers of Dwellings,,46160,All tenure types
E07000196,2014,Numbers of Dwellings,,0,Other Public Sector
E07000196,2011,Numbers of Dwellings,,45620,All tenure types
E07000196,2015,Numbers of Dwellings,,20,Local-Authority (incl. owned by other LAs)
E07000196,2013,Numbers of Dwellings,,0,Other Public Sector
E07000196,2013,Numbers of Dwellings,,46000,All tenure types
E07000196,2011,Numbers of Dwellings,,6368,Private Registered Provider
E07000196,2012,Numbers of Dwellings,,45810,All tenure types
E07000196,2013,Numbers of Dwellings,,39570,Private Sector
E07000196,2014,Numbers of Dwellings,,39740,Private Sector
E07000196,2016,Numbers of Dwellings,,40130,Private Sector
E07000196,2015,Numbers of Dwellings,,46450,All tenure types
E07000196,2011,Numbers of Dwellings,,18,Other Public Sector
E07000196,2010,Numbers of Dwellings,,2,Local-Authority (incl. owned by other LAs)
E07000196,2010,Numbers of Dwellings,,39080,Private Sector
E07000196,2012,Numbers of Dwellings,,39370,Private Sector
E07000196,2011,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000196,2016,Numbers of Dwellings,,0,Other Public Sector
E07000196,2016,Numbers of Dwellings,,6530,Private Registered Provider
E07000196,2015,Numbers of Dwellings,,6530,Private Registered Provider
E07000196,2015,Numbers of Dwellings,,0,Other Public Sector
E07000196,2015,Numbers of Dwellings,,39910,Private Sector
E07000196,2011,Numbers of Dwellings,,39240,Private Sector
E07000196,2012,Numbers of Dwellings,,0,Other Public Sector
E07000196,2013,Numbers of Dwellings,,20,Local-Authority (incl. owned by other LAs)
E07000196,2014,Numbers of Dwellings,,6400,Private Registered Provider
E07000196,2014,Numbers of Dwellings,,20,Local-Authority (incl. owned by other LAs)
E07000196,2016,Numbers of Dwellings,,46670,All tenure types
E07000196,2010,Numbers of Dwellings,,45420,All tenure types
E07000196,2010,Numbers of Dwellings,,26,Other Public Sector
E07000196,2013,Numbers of Dwellings,,6410,Private Registered Provider
E07000196,2016,Numbers of Dwellings,,20,Local-Authority (incl. owned by other LAs)
E07000196,2012,Numbers of Dwellings,,6420,Private Registered Provider
E06000051,2012,Numbers of Dwellings,,820,Other Public Sector
E06000051,2016,Numbers of Dwellings,,730,Other Public Sector
E06000051,2016,Numbers of Dwellings,,13840,Private Registered Provider
E06000051,2010,Numbers of Dwellings,,13067,Private Registered Provider
E06000051,2013,Numbers of Dwellings,,13550,Private Registered Provider
E06000051,2014,Numbers of Dwellings,,760,Other Public Sector
E06000051,2011,Numbers of Dwellings,,117060,Private Sector
E06000051,2016,Numbers of Dwellings,,4100,Local-Authority (incl. owned by other LAs)
E06000051,2014,Numbers of Dwellings,,137970,All tenure types
E06000051,2011,Numbers of Dwellings,,13458,Private Registered Provider
E06000051,2010,Numbers of Dwellings,,116920,Private Sector
E06000051,2015,Numbers of Dwellings,,13780,Private Registered Provider
E06000051,2014,Numbers of Dwellings,,13660,Private Registered Provider
E06000051,2013,Numbers of Dwellings,,820,Other Public Sector
E06000051,2012,Numbers of Dwellings,,117770,Private Sector
E06000051,2010,Numbers of Dwellings,,4251,Local-Authority (incl. owned by other LAs)
E06000051,2016,Numbers of Dwellings,,140520,All tenure types
E06000051,2013,Numbers of Dwellings,,4190,Local-Authority (incl. owned by other LAs)
E06000051,2014,Numbers of Dwellings,,119440,Private Sector
E06000051,2013,Numbers of Dwellings,,137150,All tenure types
E06000051,2012,Numbers of Dwellings,,136300,All tenure types
E06000051,2015,Numbers of Dwellings,,120480,Private Sector
E06000051,2010,Numbers of Dwellings,,101,Other Public Sector
E06000051,2011,Numbers of Dwellings,,819,Other Public Sector
E06000051,2015,Numbers of Dwellings,,730,Other Public Sector
E06000051,2010,Numbers of Dwellings,,134340,All tenure types
E06000051,2015,Numbers of Dwellings,,4140,Local-Authority (incl. owned by other LAs)
E06000051,2012,Numbers of Dwellings,,4200,Local-Authority (incl. owned by other LAs)
E06000051,2013,Numbers of Dwellings,,118600,Private Sector
E06000051,2012,Numbers of Dwellings,,13510,Private Registered Provider
E06000051,2014,Numbers of Dwellings,,4120,Local-Authority (incl. owned by other LAs)
E06000051,2016,Numbers of Dwellings,,121850,Private Sector
E06000051,2011,Numbers of Dwellings,,4240,Local-Authority (incl. owned by other LAs)
E06000051,2015,Numbers of Dwellings,,139120,All tenure types
E06000051,2011,Numbers of Dwellings,,135570,All tenure types
E07000195,2013,Numbers of Dwellings,,54790,All tenure types
E07000195,2014,Numbers of Dwellings,,9890,Private Registered Provider
E07000195,2014,Numbers of Dwellings,,55100,All tenure types
E07000195,2013,Numbers of Dwellings,,44990,Private Sector
E07000195,2010,Numbers of Dwellings,,0,Other Public Sector
