
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 30 March 2023]"
"Gender     :","Total"
"Age        :","Aged 10-14"

"local authority: county / unitary (as of April 2021)","mnemonic","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"North Somerset","E06000024",11817,11726,11512,11368,11418,11340,11300,11537,11729,12146,12373,12807,12899
"Plymouth","E06000026",14066,13940,13558,13075,12853,12776,12829,13102,13474,14052,14442,14951,15079
"Bournemouth, Christchurch and Poole","E06000058",18918,18984,18782,18381,18169,18221,18449,18822,19641,20577,21251,21940,21402
"South Gloucestershire","E06000025",16617,16182,15760,15175,14745,14626,14841,15119,15536,16183,16696,17097,16788
"Swindon","E06000030",12520,12478,12394,12148,12107,12012,12132,12395,12843,13373,13683,14133,14863
"Torbay","E06000027",7444,7323,7011,6775,6622,6524,6495,6672,6857,7083,7087,7282,7553
"Wiltshire","E06000054",29821,29588,29277,28320,27905,27926,27821,28635,29533,30205,30715,31750,30558
"Devon","E10000008",41982,41359,40316,39231,38608,38276,38412,39166,40588,41818,43002,44263,43362
"Dorset","E06000059",20998,20795,20370,19811,19646,19165,19034,19274,19688,20059,20484,20798,20436
"Gloucestershire","E10000013",35276,34799,34379,33737,33287,33064,33028,33482,34490,35571,36298,37245,37516
"Somerset","E10000027",32324,31878,31085,30178,29658,29195,29150,29751,30599,31313,32152,32806,32639
"Isle of Anglesey","W06000001",3922,3855,3761,3654,3584,3548,3450,3495,3560,3715,3813,3946,3957
"Gwynedd","W06000002",6759,6653,6611,6454,6304,6229,6197,6394,6565,6749,6999,7162,6539
"Conwy","W06000003",6638,6468,6361,6122,5914,5847,5762,5810,5972,6134,6188,6285,6274
"Denbighshire","W06000004",5743,5624,5444,5342,5183,5083,5133,5190,5274,5514,5667,5775,5705
"Flintshire","W06000005",9443,9137,8946,8738,8574,8449,8575,8691,8923,9383,9611,9836,9376
"Wrexham","W06000006",7814,7791,7727,7576,7450,7446,7508,7663,7919,8190,8427,8574,8302
"Powys","W06000023",8228,8078,7788,7504,7237,6952,6891,6835,6877,7044,7095,7101,6982
"Ceredigion","W06000008",3826,3712,3654,3592,3525,3490,3421,3401,3486,3532,3527,3604,3419
"Pembrokeshire","W06000009",7538,7501,7342,7052,6767,6603,6622,6640,6818,7058,7206,7346,7083
"Carmarthenshire","W06000010",10994,10819,10587,10337,10155,10004,10014,10107,10360,10691,10878,11112,10990
