LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_convicted_pc,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_submisuse_pc,OC2_subint_pc,OC2_suboffint_pc,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_immunisation_pc,OC2_teethcheck_pc,OC2_healthassmt_pc,OC2_4andunder,OC2_devassmt,oc2_devassmt_pc,OC2_5to16,OC2_SDQ,OC2_SDQ_pc,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQnormal_pc,OC2_SDQborderline_pc,OC2_SDQconcern_pc,OC2_SDQaverage
76,E08000030,LA,335,Walsall,493,295,0,0,21,13,c,4,62,c,424,473,409,86,96,83,81,57,70,370,341,92,169,41,131,50,12,38,14.2
78,E08000031,LA,336,Wolverhampton,518,354,12,3,c,0,0,c,0,0,323,476,483,62,92,93,63,61,97,401,400,100,208,40,152,52,10,38,13.7
24,E08000011,LA,340,Knowsley,219,144,9,6,9,0,c,4,c,c,213,205,201,97,94,92,29,27,93,173,173,100,116,12,45,67,7,26,11.4
26,E08000012,LA,341,Liverpool,935,545,20,4,31,c,c,3,c,c,730,851,868,78,91,93,167,125,75,674,323,48,193,33,97,60,10,30,12.2
32,E08000013,LA,342,St. Helens,366,203,7,3,10,c,c,3,c,c,349,330,339,95,90,93,48,41,85,288,189,66,86,25,78,46,13,41,14.2
31,E08000014,LA,343,Sefton,379,228,10,4,11,c,c,3,c,c,348,348,356,92,92,94,61,60,98,286,149,52,77,16,56,52,11,38,13
38,E08000015,LA,344,Wirral,668,398,14,4,11,c,7,2,c,64,592,612,525,89,92,79,113,112,99,494,482,98,285,55,142,59,11,29,12.2
18,E08000001,LA,350,Bolton,483,281,8,3,12,12,0,2,100,0,464,466,461,96,96,95,80,76,95,357,296,83,148,31,117,50,10,40,13.7
19,E08000002,LA,351,Bury,236,153,8,5,10,c,c,4,c,c,236,224,227,100,95,96,35,35,100,175,162,93,82,23,57,51,14,35,13.5
27,E08000003,LA,352,Manchester,928,671,26,4,83,44,32,9,53,39,774,826,822,83,89,89,94,94,100,730,593,81,364,54,175,61,9,30,12.3
28,E08000004,LA,353,Oldham,394,251,7,3,12,9,c,3,75,c,362,356,371,92,90,94,53,49,92,304,210,69,97,21,92,46,10,44,15
29,E08000005,LA,354,Rochdale,401,260,7,3,c,0,0,c,0,0,398,319,395,99,80,99,64,64,100,295,222,75,121,35,66,55,16,30,13.2
