LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_started2015,CLA_started2016,CLA_started2017,CLA_started2018,CLA_started2019,CLA_taken2019,CLA_taken2019_pc,SCLA_male,SCLA_female,SCLA_male_pc,SCLA_female_pc,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_U1_pc,SCLA_1to4_pc,SCLA_5to9_pc,SCLA_10to15_pc,SCLA_16over_pc,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_AbNeg_pc,SCLA_Cdisab_pc,SCLA_ParIll_pc,SCLA_FAcSt_pc,SCLA_FD_pc,SCLA_SUB_pc,SCLA_LI_pc,SCLA_AbsPar_pc,SCLA_ICO,SCLA_FCO,SCLA_PlaceO,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,SCLA_ICO_pc,SCLA_FCO_pc,SCLA_PlaceO_pc,SCLA_S20_pc,SCLA_UPP_pc,SCLA_SEPO_pc,SCLA_UCAO_pc,SCLA_ONCT_pc,SCLA_PACE_pc,SCLA_SORR_pc,Started_CLA_Rate2015,Started_CLA_Rate2016,Started_CLA_Rate2017,Started_CLA_Rate2018,Started_CLA_Rate2019
128,E12000008,REGION,J,SOUTH EAST,4340,5120,4520,4370,4360,1980,45,2520,1830,58,42,750,680,700,1280,950,17,16,16,29,22,2070,100,130,370,900,100,c,690,48,2,3,8,21,2,c,16,1290,70,c,2310,450,170,c,70,0,0,30,2,c,53,10,4,c,2,0,0,23,27,23,22,22
148,E12000009,REGION,K,SOUTH WEST,2830,2950,2710,2660,2460,1170,48,1320,1150,54,46,530,440,430,680,380,22,18,18,28,15,1610,60,100,240,300,30,c,130,65,2,4,10,12,1,c,5,860,40,10,1260,170,110,0,20,c,0,35,2,-,51,7,4,0,1,c,0,26,27,25,24,22
95,E09000001,LA,201,City of London,c,9,6,14,28,c,c,c,c,c,c,c,c,0,c,21,c,c,0,c,75,c,0,c,0,0,0,0,c,c,0,c,0,0,0,0,c,c,0,0,c,0,c,0,0,0,0,c,0,0,c,0,c,0,0,0,0,c,88,54,112,193
94,E09000007,LA,202,Camden,85,100,103,106,89,29,33,65,24,73,27,16,c,c,19,40,18,c,c,21,45,32,c,c,7,8,c,0,31,36,c,c,8,9,c,0,35,20,c,0,51,c,c,0,9,0,0,22,c,0,57,c,c,0,10,0,0,19,22,22,22,17
117,E09000011,LA,203,Greenwich,259,232,240,237,182,69,38,111,71,61,39,20,17,27,47,71,11,9,15,26,39,69,8,17,6,14,18,0,50,38,4,9,3,8,10,0,27,37,c,0,104,26,c,0,9,0,0,20,c,0,57,14,c,0,5,0,0,40,35,36,35,26
96,E09000012,LA,204,Hackney,161,189,245,216,212,75,35,124,88,58,42,24,22,19,58,89,11,10,9,27,42,59,c,c,27,25,36,0,39,28,c,c,13,12,17,0,18,36,c,0,128,26,c,0,9,0,0,17,c,0,60,12,c,0,4,0,0,27,31,39,34,33
97,E09000013,LA,205,Hammersmith and Fulham,99,119,119,118,171,58,34,113,58,66,34,12,29,25,44,61,7,17,15,26,36,78,c,c,19,27,c,0,34,46,c,c,11,16,c,0,20,28,c,0,104,19,c,0,8,c,0,16,c,0,61,11,c,0,5,c,0,29,35,34,33,46
99,E09000019,LA,206,Islington,220,209,199,184,153,53,35,100,53,65,35,8,13,23,41,68,5,8,15,27,44,68,0,c,13,16,c,0,41,44,0,c,8,10,c,0,27,26,c,0,87,15,c,0,13,0,0,17,c,0,57,10,c,0,8,0,0,56,52,49,44,36
100,E09000020,LA,207,Kensington and Chelsea,71,75,57,78,67,20,30,45,22,67,33,c,7,c,21,32,c,10,c,31,48,15,c,c,9,8,c,0,26,22,c,c,13,12,c,0,39,9,c,0,45,c,c,0,c,0,0,13,c,0,67,c,c,0,c,0,0,25,26,20,27,23
101,E09000022,LA,208,Lambeth,274,250,168,202,165,40,24,108,57,65,35,23,9,9,59,65,14,5,5,36,39,58,c,c,15,20,15,c,50,35,c,c,9,12,9,c,30,17,c,0,116,18,c,0,c,0,0,10,c,0,70,11,c,0,c,0,0,44,40,27,32,26
102,E09000023,LA,209,Lewisham,254,233,225,240,228,91,40,124,104,54,46,47,23,39,64,55,21,10,17,28,24,190,c,c,c,c,c,0,27,83,c,c,c,c,c,0,12,52,c,0,126,25,c,0,11,0,0,23,c,0,55,11,c,0,5,0,0,38,35,33,35,33
