LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2015,CLA_Mar2016,CLA_Mar2017,CLA_Mar2018,CLA_Mar2019,CLA_Pop2014,CLA_Pop2015,CLA_Pop2016,CLA_Pop2017,CLA_Pop2018,CLA_Rate2015,CLA_Rate2016,CLA_Rate2017,CLA_Rate2018,CLA_Rate2019,CLA_2015,CLA_2016,CLA_2017,CLA_2018,CLA_2019,CLA_stp2015,CLA_stp2016,CLA_stp2017,CLA_stp2018,CLA_stp2019,CLA_male,CLA_female,CLA_male_pc,CLA_female_pc,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_U1_pc,CLA_1to4_pc,CLA_5to9_pc,CLA_10to15_pc,CLA_16over_pc,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_White_pc,CLA_Mixed_pc,CLA_Asian_pc,CLA_Black_pc,CLA_EOTH_pc,CLA_Oth_pc,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_Fost_pc,CLA_Adopt_pc,CLA_Parent_pc,CLA_OCom_pc,CLA_Secure_pc,CLA_Ores_pc,CLA_RSch_pc,CLA_OthPl_pc,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_ICO_pc,CLA_FCO_pc,CLA_FrAd_pc,CLA_PlaceO_pc,CLA_S20_pc,CLA_CPG_pc,CLA_YJLS_pc,CLA_UASC2015,CLA_UASC2016,CLA_UASC2017,CLA_UASC2018,CLA_UASC2019,CLA_UASC2015_pc,CLA_UASC2016_pc,CLA_UASC2017_pc,CLA_UASC2018_pc,CLA_UASC2019_pc,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_OwnP_pc,CLA_OthLA_pc,CLA_OthPP_pc,CLA_Priv_pc,CLA_Vol_pc,CLA_Par_pc,CLA_Nrep_pc,CLA_LTE20,CLA_GT20,CLA_NoInfo,CLA_InLA,CLA_OutLA,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_LTE20_pc,CLA_GT20_pc,CLA_NoInfo_pc,CLA_InLA_pc,CLA_OutLA_pc,CLA_InLA_LTE20_pc,CLA_OutLA_LTE20_pc,CLA_InLA_GT20_pc,CLA_OutLA_GT20_pc,CLA_InLA_NoInfo_pc,CLA_OutLA_NoInfo_pc,CLA_IntPl_pc,CLA_ExtPl_pc,CLA_3_Pl,CLA_3_Pl_pc,CLA_2andhalfyears,CLA_SamePl_2years,CLA_SamePl_2years_pc,CLA_NewPl_All_Place,CLA_NewPl_InLA_LTE20,CLA_NewPl_OutLA_LTE20,CLA_NewPl_InLA_GT20,CLA_NewPl_OutLA_GT20,CLA_NewPl_NoInfo,CLA_NewPl_InLA_LTE20_pc,CLA_NewPl_OutLA_LTE20_pc,CLA_NewPl_InLA_GT20_pc,CLA_NewPl_OutLA_GT20_pc,CLA_NewPl_NoInfo_pc,CLA_RPC_All_Place,CLA_RPC_CarePlan,CLA_RPC_Resign,CLA_RPC_Alleg,CLA_RPC_Standards,CLA_RPC_Approval,CLA_RPC_CarerBehav,CLA_RPC_CarerOther,CLA_RPC_Custody,CLA_RPC_Child,CLA_RPC_Auth,CLA_RPC_Status,CLA_RPC_Other,CLA_RPC_CarePlan_pc,CLA_RPC_Resign_pc,CLA_RPC_Alleg_pc,CLA_RPC_Standards_pc,CLA_RPC_Approval_pc,CLA_RPC_CarerBehav_pc,CLA_RPC_CarerOther_pc,CLA_RPC_Custody_pc,CLA_RPC_Child_pc,CLA_RPC_Auth_pc,CLA_RPC_Status_pc,CLA_RPC_Other_pc
128,E12000008,REGION,J,SOUTH EAST,9310,9870,9830,10000,10280,1904420,1918620,1934340,1943870,1957500,49,51,51,51,53,13190,14320,14290,14130,14270,270,230,160,130,120,5910,4370,58,42,490,1100,1820,4160,2720,5,11,18,40,26,7840,890,390,590,470,90,76,9,4,6,5,1,7510,280,500,400,1460,100,30,0,73,3,5,4,14,1,-,0,1480,5660,0,750,2360,10,20,14,55,0,7,23,-,-,680,1360,1080,850,960,7,14,11,9,9,5450,100,40,3650,540,500,0,53,1,-,36,5,5,0,6570,2610,1100,6340,3940,5120,1450,650,1970,570,530,10690,6340,4360,410,64,25,11,0,38,50,14,6,19,6,5,59,41,1190,12,3250,2200,68,12240,5560,1540,900,2410,1840,45,13,7,20,15,8040,3020,60,40,90,20,1030,510,10,370,290,970,1610,38,1,1,1,-,13,6,-,5,4,12,20
148,E12000009,REGION,K,SOUTH WEST,5550,5710,5800,6010,6140,1076540,1082150,1090900,1096480,1102320,52,53,53,55,56,8180,8390,8360,8400,8430,450,350,290,250,210,3440,2700,56,44,340,730,1050,2450,1580,5,12,17,40,26,5230,410,100,180,170,50,85,7,2,3,3,1,4590,180,260,250,660,170,10,20,75,3,4,4,11,3,-,-,940,3350,0,540,1290,10,10,15,55,0,9,21,-,-,50,100,240,290,250,1,2,4,5,4,3400,130,40,2020,280,260,20,55,2,1,33,5,4,-,4050,1760,340,3990,2160,3280,770,550,1200,150,190,6040,3990,2050,-110,66,29,6,65,35,53,12,9,20,2,3,66,34,630,10,1910,1260,66,6930,3620,820,650,1430,420,52,12,9,21,6,4660,1250,110,20,60,10,540,320,10,200,60,670,1410,27,2,-,1,-,12,7,-,4,1,14,30
95,E09000001,LA,201,City of London,8,11,12,10,20,866,1018,1104,1254,1453,92,108,109,80,138,11,17,17,26,38,0,0,0,0,0,c,c,c,c,c,c,0,c,c,c,c,0,c,c,c,c,c,13,c,0,c,c,c,65,c,0,14,0,0,0,6,0,0,0,70,0,0,0,30,0,0,0,c,0,0,0,c,0,0,c,0,0,0,c,0,0,c,10,11,10,18,c,91,92,100,90,0,0,0,c,c,0,0,0,0,0,c,c,0,0,c,0,c,0,20,0,c,0,0,0,c,0,0,0,-20,c,0,c,-,0,0,c,0,0,0,c,0,0,c,c,0,0,.,32,0,c,0,0,c,0,c,0,0,c,c,c,0,0,0,0,c,0,0,c,0,0,0,c,0,0,0,0,c,0,0,c,0,0,0
94,E09000007,LA,202,Camden,188,188,198,201,191,44228,46242,47906,49173,50983,43,41,41,41,37,303,283,291,304,289,0,0,0,0,0,136,55,71,29,10,11,13,54,103,5,6,7,28,54,59,25,18,70,19,0,31,13,9,37,10,0,96,c,c,c,76,11,0,0,50,c,c,c,40,6,0,0,23,73,0,c,84,0,c,12,38,0,c,44,0,c,9,22,45,60,58,5,12,23,30,30,69,7,7,91,11,6,0,36,4,4,48,6,3,0,100,33,58,90,101,48,52,0,33,42,16,151,90,61,-40,52,17,30,0,53,25,27,0,17,22,8,60,40,14,7,37,29,78,201,61,55,0,28,57,30,27,0,14,28,111,79,c,0,0,0,8,c,7,c,0,c,7,71,c,0,0,0,7,c,6,c,0,c,6
117,E09000011,LA,203,Greenwich,518,518,493,497,479,64766,66010,67291,68262,68917,80,78,73,73,70,792,741,750,723,677,7,6,c,c,0,283,196,59,41,10,18,79,210,162,2,4,16,44,34,236,90,6,124,23,0,49,19,1,26,5,0,357,c,16,0,91,7,c,c,75,c,3,0,19,1,c,c,35,345,0,c,80,0,c,7,72,0,c,17,0,c,18,22,22,17,40,3,4,4,3,8,143,c,c,276,34,16,c,30,c,c,58,7,3,c,310,129,40,127,352,111,199,0,129,16,24,302,127,175,-177,65,27,8,0,73,23,42,0,27,3,5,42,58,39,8,189,132,70,495,134,192,0,103,66,27,39,0,21,13,307,152,0,c,c,0,60,17,6,19,c,42,c,50,0,c,c,0,20,6,2,6,c,14,c
96,E09000012,LA,204,Hackney,340,328,368,382,405,59972,61120,62355,63048,63655,57,54,59,61,64,498,523,567,574,586,c,c,0,0,0,229,176,57,43,19,26,58,153,149,5,6,14,38,37,115,85,26,161,18,0,28,21,6,40,4,0,292,8,15,0,81,9,0,0,72,2,4,0,20,2,0,0,49,224,0,c,109,0,c,12,55,0,c,27,0,c,16,26,30,27,44,5,8,8,7,11,145,7,6,217,15,15,0,36,2,1,54,4,4,0,300,61,44,104,301,95,205,0,61,9,35,194,104,90,-211,74,15,11,0,74,23,51,0,15,2,9,54,46,51,13,116,72,62,532,130,266,0,72,64,24,50,0,14,12,281,126,c,c,c,0,66,12,c,25,13,14,16,45,c,c,c,0,23,4,c,9,5,5,6
97,E09000013,LA,205,Hammersmith and Fulham,185,198,221,224,245,33966,34398,35041,35928,36898,54,58,63,62,66,299,303,317,332,388,c,c,c,c,c,153,92,62,38,6,26,35,89,89,2,11,14,36,36,68,45,c,98,18,c,28,18,c,40,7,c,170,c,15,29,c,19,0,0,69,c,6,12,c,8,0,0,c,91,0,c,101,0,c,c,37,0,c,41,0,c,22,26,39,34,35,12,13,18,15,14,182,c,c,35,6,15,0,74,c,c,14,2,6,0,173,37,35,73,172,67,106,0,37,6,29,105,73,32,-140,71,15,14,0,70,27,43,0,15,2,12,70,30,14,6,50,33,66,253,88,114,0,20,31,35,45,0,8,12,198,c,0,0,0,0,21,14,0,31,c,c,123,c,0,0,0,0,11,7,0,16,c,c,62
99,E09000019,LA,206,Islington,350,353,340,335,313,39137,40109,40741,41416,42098,89,88,83,81,74,516,554,549,520,486,0,0,0,0,0,190,123,61,39,6,18,46,137,106,2,6,15,44,34,110,74,8,111,c,c,35,24,3,35,c,c,231,c,14,c,47,14,0,c,74,c,4,c,15,4,0,c,35,185,0,c,85,0,c,11,59,0,c,27,0,c,50,58,52,39,35,14,16,15,12,11,142,c,8,135,7,14,c,45,c,3,43,2,4,c,209,68,36,97,216,87,122,0,68,10,26,167,97,70,-146,67,22,12,0,69,28,39,0,22,3,8,58,42,37,12,74,51,69,440,119,171,0,82,68,27,39,0,19,15,280,172,c,0,0,c,13,c,c,c,0,15,66,61,c,0,0,c,5,c,c,c,0,5,24
100,E09000020,LA,207,Kensington and Chelsea,105,105,82,85,93,27861,28328,28374,28475,28678,38,37,29,30,32,167,179,159,160,150,c,c,c,0,c,55,38,59,41,c,c,c,39,41,c,c,c,42,44,21,24,c,36,c,0,23,26,c,39,c,0,57,c,c,0,29,0,c,0,61,c,c,0,31,0,c,0,c,32,0,c,46,c,0,c,34,0,c,49,c,0,28,33,20,21,25,27,31,24,25,27,55,c,0,29,c,c,0,59,c,0,31,c,c,0,55,11,27,28,65,23,32,0,c,c,22,70,28,42,-23,59,12,29,0,70,25,34,0,c,c,24,40,60,17,18,17,9,53,155,27,63,0,16,49,17,41,0,10,32,86,17,c,6,0,c,17,c,0,13,c,0,21,20,c,7,0,c,20,c,0,15,c,0,24
101,E09000022,LA,208,Lambeth,483,460,414,411,352,62115,62418,62422,62632,62629,78,74,66,66,56,787,725,624,610,573,0,0,0,0,0,205,147,58,42,14,15,36,153,134,4,4,10,43,38,65,79,13,178,17,0,18,22,4,51,5,0,253,c,13,c,69,11,0,0,72,c,4,c,20,3,0,0,24,205,0,c,108,0,c,7,58,0,c,31,0,c,15,22,40,53,46,3,5,10,13,13,83,c,c,231,19,13,0,24,c,c,66,5,4,0,242,64,46,86,266,73,169,c,63,c,34,290,86,204,-62,69,18,13,0,76,21,48,c,18,c,10,30,70,31,9,123,90,73,344,71,158,c,c,61,21,46,c,c,18,178,31,c,c,c,0,23,12,c,12,c,9,77,17,c,c,c,0,13,7,c,7,c,5,43
102,E09000023,LA,209,Lewisham,486,460,456,481,487,66657,67332,67963,68272,68458,73,68,67,70,71,752,710,678,691,708,45,41,39,29,26,256,231,53,47,28,46,71,201,141,6,9,15,41,29,146,115,29,180,17,0,30,24,6,37,3,0,376,13,10,c,79,c,c,0,77,3,2,c,16,c,c,0,77,266,0,c,109,c,c,16,55,0,c,22,c,c,14,28,29,36,47,3,6,6,7,10,188,c,c,237,44,10,0,39,c,c,49,9,2,0,357,83,47,163,324,135,222,c,80,25,c,457,163,294,-30,73,17,10,0,67,28,46,c,16,5,c,36,64,43,9,142,112,79,517,164,221,c,70,c,32,43,c,14,c,283,109,c,0,0,c,37,21,0,9,c,41,55,39,c,0,0,c,13,7,0,3,c,14,19
104,E09000028,LA,210,Southwark,500,477,497,491,459,61765,62902,63810,64386,65121,81,76,78,76,70,774,735,740,718,694,c,0,0,0,c,273,186,59,41,19,27,63,207,143,4,6,14,45,31,128,73,13,217,28,0,28,16,3,47,6,0,384,c,9,37,20,c,c,c,84,c,2,8,4,c,c,c,57,282,0,13,101,c,c,12,61,0,3,22,c,c,30,30,40,57,47,6,6,8,12,10,225,c,c,202,18,c,c,49,c,c,44,4,c,c,310,98,51,119,340,109,201,0,98,10,41,216,119,97,-243,68,21,11,0,74,24,44,0,21,2,9,55,45,57,12,190,121,64,568,110,301,0,87,70,19,53,0,15,12,326,140,0,c,c,0,62,19,c,19,9,31,33,43,0,c,c,0,19,6,c,6,3,10,10
105,E09000030,LA,211,Tower Hamlets,274,304,333,286,329,62881,64797,66573,68403,70973,44,47,50,42,46,485,502,524,466,493,0,0,0,0,0,190,139,58,42,15,32,48,120,114,5,10,15,36,35,76,73,111,56,c,c,23,22,34,17,c,c,218,c,13,48,23,15,c,0,66,c,4,15,7,5,c,0,76,153,0,c,76,0,c,23,47,0,c,23,0,c,13,16,22,25,46,5,5,7,9,14,145,c,7,157,c,13,0,44,c,2,48,c,4,0,229,52,48,62,267,61,168,0,52,c,c,101,62,39,-228,70,16,15,0,81,19,51,0,16,c,c,61,39,29,9,85,59,69,447,83,232,0,76,56,19,52,0,17,13,228,144,c,7,0,0,10,c,0,c,0,27,31,63,c,3,0,0,4,c,0,c,0,12,14
106,E09000032,LA,212,Wandsworth,223,248,289,308,307,59935,61036,62069,63019,63840,37,41,47,49,48,348,389,431,479,498,33,41,36,34,32,179,128,58,42,12,24,51,105,115,4,8,17,34,37,76,78,17,120,16,0,25,25,6,39,5,0,176,13,7,61,39,11,0,0,57,4,2,20,13,4,0,0,39,151,0,c,101,0,c,13,49,0,c,33,0,c,15,19,24,25,44,7,8,8,8,14,78,7,0,197,18,7,0,25,2,0,64,6,2,0,212,48,47,65,242,62,150,c,47,c,c,130,65,65,-177,69,16,15,0,79,20,49,c,15,c,c,50,50,40,13,80,49,61,387,104,177,0,47,59,27,46,0,12,15,194,c,0,0,0,0,6,c,0,c,0,c,180,c,0,0,0,0,3,c,0,c,0,c,93
107,E09000033,LA,213,Westminster,179,168,182,204,209,40633,42610,44087,45165,47445,44,39,41,45,44,272,273,316,343,378,c,c,c,c,c,145,64,69,31,8,c,c,77,104,4,c,c,37,50,36,38,8,77,44,6,17,18,4,37,21,3,132,c,c,9,52,7,c,0,63,c,c,4,25,3,c,0,23,72,0,c,106,0,c,11,34,0,c,51,0,c,27,35,47,69,82,15,21,26,34,39,87,c,0,102,12,c,0,42,c,0,49,6,c,0,87,33,89,33,176,c,58,0,33,c,85,47,33,14,-162,42,16,43,0,84,c,28,0,16,c,41,70,30,17,8,56,45,80,263,28,83,0,22,130,11,32,0,8,49,76,9,0,0,0,c,c,0,0,0,0,c,56,12,0,0,0,c,c,0,0,0,0,c,74
