LA_order,New_geog_code,geog_l,geog_c,geog_n,Miss_Miss_DuringYear,Miss_Miss_DuringYear_pc,Miss_Miss_Incs,Miss_Miss_Incs_av,Miss_Miss_MoreOnce,Miss_Miss_31Mar,Miss_Away_DuringYear,Miss_Away_DuringYear_pc,Miss_Away_Incs,Miss_Away_Incs_av,Miss_Away_MoreOnce,Miss_Away_31Mar
100,E09000020,LA,207,Kensington and Chelsea,18,12,136,7.6,14,0,16,11,106,6.6,9,0
101,E09000022,LA,208,Lambeth,104,18,772,7.4,79,c,90,16,632,7,71,0
102,E09000023,LA,209,Lewisham,74,10,428,5.8,53,c,97,14,415,4.3,60,c
104,E09000028,LA,210,Southwark,93,13,615,6.6,67,c,110,16,911,8.3,82,8
105,E09000030,LA,211,Tower Hamlets,89,18,1200,13.5,68,0,13,3,24,1.8,6,0
106,E09000032,LA,212,Wandsworth,94,19,520,5.5,61,c,16,3,34,2.1,8,0
107,E09000033,LA,213,Westminster,47,12,212,4.5,25,0,24,6,86,3.6,12,0
109,E09000002,LA,301,Barking and Dagenham,61,10,176,2.9,28,c,64,11,234,3.7,41,0
110,E09000003,LA,302,Barnet,87,18,856,9.8,57,c,49,10,213,4.3,29,0
111,E09000004,LA,303,Bexley,57,17,594,10.4,41,0,56,17,526,9.4,40,c
112,E09000005,LA,304,Brent,80,17,512,6.4,58,c,50,11,141,2.8,32,0
113,E09000006,LA,305,Bromley,66,14,347,5.3,43,c,44,9,135,3.1,27,0
114,E09000008,LA,306,Croydon,255,20,2125,8.3,169,11,146,11,533,3.7,73,c
115,E09000009,LA,307,Ealing,52,10,237,4.6,32,c,16,3,72,4.5,13,0
116,E09000010,LA,308,Enfield,39,7,195,5,24,0,21,4,49,2.3,7,0
98,E09000014,LA,309,Haringey,73,11,733,10,53,0,58,9,696,12,45,0
118,E09000015,LA,310,Harrow,28,10,128,4.6,17,0,25,9,60,2.4,13,0
119,E09000016,LA,311,Havering,43,12,201,4.7,26,6,55,15,379,6.9,38,0
