,Year,Variables,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,
SOA,All usual residents,,Ethnic group: White,Ethnic group: Chinese,Ethnic group: Irish Traveller,Ethnic group: Indian,Ethnic group: Pakistani,Ethnic group: Bangladeshi,Ethnic group: Other Asian,Ethnic group: Black Caribbean,Ethnic group: Black African,Ethnic group: Black other,Ethnic group: Mixed,Ethnic group: Other,Ethnic group: White (%),Ethnic group: Chinese (%),Ethnic group: Irish Traveller (%),Ethnic group: Indian (%),Ethnic group: Pakistani (%),Ethnic group: Bangladeshi (%),Ethnic group: Other Asian (%),Ethnic group: Black Caribbean (%),Ethnic group: Black African (%),Ethnic group: Black other (%),Ethnic group: Mixed (%),Ethnic group: Other (%)
Northern Ireland,"1,810,863",,"1,778,449","6,303","1,301","6,198","1,091",540,"4,998",372,"2,345",899,"6,014","2,353",98.21,0.35,0.07,0.34,0.06,0.03,0.28,0.02,0.13,0.05,0.33,0.13
Abbey 1,"1,441",,"1,380",18,0,31,1,1,0,0,0,0,9,1,95.77,1.25,0.00,2.15,0.07,0.07,0.00,0.00,0.00,0.00,0.62,0.07
Abbey 2,"1,373",,"1,245",9,0,63,8,0,42,0,3,0,3,0,90.68,0.66,0.00,4.59,0.58,0.00,3.06,0.00,0.22,0.00,0.22,0.00
Abbey Park,"2,558",,"2,522",13,0,17,1,0,0,0,0,0,0,5,98.59,0.51,0.00,0.66,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.20
Academy,"2,099",,"2,054",6,2,20,1,0,9,0,1,0,3,3,97.86,0.29,0.10,0.95,0.05,0.00,0.43,0.00,0.05,0.00,0.14,0.14
Aghagallon 1,"2,488",,"2,462",0,0,0,11,0,1,0,0,0,14,0,98.95,0.00,0.00,0.00,0.44,0.00,0.04,0.00,0.00,0.00,0.56,0.00
Aghagallon 2,"2,443",,"2,435",1,0,0,3,0,1,2,0,0,1,0,99.67,0.04,0.00,0.00,0.12,0.00,0.04,0.08,0.00,0.00,0.04,0.00
Aghanloo 1,"2,491",,"2,467",11,0,0,0,0,0,0,0,2,11,0,99.04,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.44,0.00
Aghanloo 2,"1,876",,"1,864",1,7,0,0,0,0,0,1,0,1,2,99.36,0.05,0.37,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.11
Agivey,"2,499",,"2,477",0,0,0,0,0,10,1,1,0,8,2,99.12,0.00,0.00,0.00,0.00,0.00,0.40,0.04,0.04,0.00,0.32,0.08
Ahoghill 1,"1,453",,"1,421",6,0,1,0,0,10,0,0,0,8,7,97.80,0.41,0.00,0.07,0.00,0.00,0.69,0.00,0.00,0.00,0.55,0.48
Ahoghill 2,"2,435",,"2,426",2,0,0,1,0,1,0,0,0,4,1,99.63,0.08,0.00,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0.16,0.04
Aldergrove 1,"1,113",,"1,020",1,1,0,4,0,7,12,25,21,15,7,91.64,0.09,0.09,0.00,0.36,0.00,0.63,1.08,2.25,1.89,1.35,0.63
Aldergrove 2,"1,829",,"1,818",0,0,0,0,0,2,0,3,3,2,1,99.40,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.16,0.16,0.11,0.05
Aldergrove 3,"1,502",,"1,481",2,0,6,4,0,3,0,0,2,4,0,98.60,0.13,0.00,0.40,0.27,0.00,0.20,0.00,0.00,0.13,0.27,0.00
Altmore,"2,592",,"2,569",1,2,2,1,0,2,0,9,0,3,3,99.11,0.04,0.08,0.08,0.04,0.00,0.08,0.00,0.35,0.00,0.12,0.12
Altnagelvin 1,"1,471",,"1,455",6,0,0,1,0,3,0,0,0,5,1,98.91,0.41,0.00,0.00,0.07,0.00,0.20,0.00,0.00,0.00,0.34,0.07
Altnagelvin 2,"1,777",,"1,684",13,0,62,0,0,1,2,9,0,4,2,94.77,0.73,0.00,3.49,0.00,0.00,0.06,0.11,0.51,0.00,0.23,0.11
Altnagelvin 3,"1,614",,"1,581",7,1,6,0,0,4,5,1,1,8,0,97.96,0.43,0.06,0.37,0.00,0.00,0.25,0.31,0.06,0.06,0.50,0.00
Andersonstown 1,"1,768",,"1,763",2,0,3,0,0,0,0,0,0,0,0,99.72,0.11,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andersonstown 2,"1,523",,"1,501",0,7,12,0,0,0,0,2,1,0,0,98.56,0.00,0.46,0.79,0.00,0.00,0.00,0.00,0.13,0.07,0.00,0.00
Andersonstown 3,"1,616",,"1,603",1,0,6,0,1,3,0,0,0,0,2,99.20,0.06,0.00,0.37,0.00,0.06,0.19,0.00,0.00,0.00,0.00,0.12
Annagh 1,"1,612",,"1,586",12,1,0,0,0,0,0,1,0,9,3,98.39,0.74,0.06,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.56,0.19
Annagh 2,"1,430",,"1,300",19,2,13,1,1,37,0,21,7,21,8,90.91,1.33,0.14,0.91,0.07,0.07,2.59,0.00,1.47,0.49,1.47,0.56
Annalong 1,"1,656",,"1,647",0,0,1,0,0,1,0,1,0,3,3,99.46,0.00,0.00,0.06,0.00,0.00,0.06,0.00,0.06,0.00,0.18,0.18
Annalong 2,"1,555",,"1,548",0,0,4,0,0,0,0,1,0,2,0,99.55,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.06,0.00,0.13,0.00
Antiville,"1,483",,"1,478",3,0,0,0,0,0,0,0,1,0,1,99.66,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07
Ardboe,"2,578",,"2,571",2,0,0,2,0,1,0,0,0,2,0,99.73,0.08,0.00,0.00,0.08,0.00,0.04,0.00,0.00,0.00,0.08,0.00
Ardeevin,"3,503",,"3,449",10,1,10,9,0,14,0,0,1,9,0,98.46,0.29,0.03,0.29,0.26,0.00,0.40,0.00,0.00,0.03,0.26,0.00
Ardglass 1,"1,492",,"1,485",0,3,0,0,0,0,0,0,0,2,2,99.53,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13
Ardglass 2,"1,686",,"1,679",2,0,0,0,0,2,1,1,0,1,0,99.58,0.12,0.00,0.00,0.00,0.00,0.12,0.06,0.06,0.00,0.06,0.00
Ardoyne 1,"1,745",,"1,730",1,1,1,0,1,4,1,1,3,1,1,99.14,0.06,0.06,0.06,0.00,0.06,0.23,0.06,0.06,0.17,0.06,0.06
Ardoyne 2,"2,018",,"2,005",0,0,0,0,0,1,1,1,4,3,3,99.36,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.20,0.15,0.15
Ardoyne 3,"2,224",,"2,204",3,2,0,0,2,0,0,4,0,8,1,99.10,0.13,0.09,0.00,0.00,0.09,0.00,0.00,0.18,0.00,0.36,0.04
Armoy and Moss-Side and Moyarget,"2,045",,"2,019",1,0,8,0,0,0,1,1,0,13,2,98.73,0.05,0.00,0.39,0.00,0.00,0.00,0.05,0.05,0.00,0.64,0.10
Artigarvan,"2,760",,"2,735",3,0,10,0,0,3,0,0,0,9,0,99.09,0.11,0.00,0.36,0.00,0.00,0.11,0.00,0.00,0.00,0.33,0.00
Atlantic,"2,374",,"2,362",0,0,0,0,1,0,0,2,0,6,3,99.49,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.08,0.00,0.25,0.13
Audley's Acre,"2,211",,"2,189",14,0,1,0,0,1,0,0,1,5,0,99.00,0.63,0.00,0.05,0.00,0.00,0.05,0.00,0.00,0.05,0.23,0.00
Augher,"2,166",,"2,156",1,0,0,0,2,0,0,2,0,4,1,99.54,0.05,0.00,0.00,0.00,0.09,0.00,0.00,0.09,0.00,0.18,0.05
Aughnacloy,"2,651",,"2,623",5,3,0,0,0,5,0,2,1,3,9,98.94,0.19,0.11,0.00,0.00,0.00,0.19,0.00,0.08,0.04,0.11,0.34
Ballee,"1,926",,"1,918",0,0,1,0,1,0,0,0,0,2,4,99.58,0.00,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.10,0.21
Ballinamallard,"2,586",,"2,567",2,0,1,5,1,2,1,2,0,4,1,99.27,0.08,0.00,0.04,0.19,0.04,0.08,0.04,0.08,0.00,0.15,0.04
Ballinderry 1,"2,263",,"2,243",0,7,1,1,0,0,0,3,2,6,0,99.12,0.00,0.31,0.04,0.04,0.00,0.00,0.00,0.13,0.09,0.27,0.00
Ballinderry 2,"2,865",,"2,850",1,0,0,0,0,1,1,1,0,10,1,99.48,0.03,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.00,0.35,0.03
Balloo,"1,734",,"1,714",4,1,3,1,0,0,1,0,0,5,5,98.85,0.23,0.06,0.17,0.06,0.00,0.00,0.06,0.00,0.00,0.29,0.29
Ballybay,"2,436",,"2,401",1,0,0,2,0,15,2,1,0,11,3,98.56,0.04,0.00,0.00,0.08,0.00,0.62,0.08,0.04,0.00,0.45,0.12
Ballybot,"2,192",,"2,123",7,7,42,1,0,3,0,2,0,6,1,96.85,0.32,0.32,1.92,0.05,0.00,0.14,0.00,0.09,0.00,0.27,0.05
Ballycarry,"2,582",,"2,551",5,1,0,2,0,2,1,1,0,17,2,98.80,0.19,0.04,0.00,0.08,0.00,0.08,0.04,0.04,0.00,0.66,0.08
Ballyclare North 1,"1,786",,"1,772",0,0,0,4,0,0,1,1,0,8,0,99.22,0.00,0.00,0.00,0.22,0.00,0.00,0.06,0.06,0.00,0.45,0.00
Ballyclare North 2,"2,065",,"2,054",1,0,1,0,0,6,0,0,0,3,0,99.47,0.05,0.00,0.05,0.00,0.00,0.29,0.00,0.00,0.00,0.15,0.00
Ballyclare South 1,"1,627",,"1,619",2,0,0,1,0,1,0,0,0,3,1,99.51,0.12,0.00,0.00,0.06,0.00,0.06,0.00,0.00,0.00,0.18,0.06
Ballyclare South 2,"2,011",,"1,994",3,0,2,0,0,2,0,3,0,4,3,99.15,0.15,0.00,0.10,0.00,0.00,0.10,0.00,0.15,0.00,0.20,0.15
Ballycolman,"1,827",,"1,812",0,11,0,0,0,2,0,1,0,1,0,99.18,0.00,0.60,0.00,0.00,0.00,0.11,0.00,0.05,0.00,0.05,0.00
Ballycraigy,"1,822",,"1,794",1,0,0,4,0,7,1,1,0,11,3,98.46,0.05,0.00,0.00,0.22,0.00,0.38,0.05,0.05,0.00,0.60,0.16
Ballycrochan 1,"1,730",,"1,702",14,0,1,0,0,7,0,1,0,5,0,98.38,0.81,0.00,0.06,0.00,0.00,0.40,0.00,0.06,0.00,0.29,0.00
Ballycrochan 2,"1,930",,"1,891",23,0,0,0,0,4,0,0,0,11,1,97.98,1.19,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.57,0.05
Ballycrochan 3,"1,634",,"1,615",10,0,0,0,0,2,0,1,0,5,1,98.84,0.61,0.00,0.00,0.00,0.00,0.12,0.00,0.06,0.00,0.31,0.06
Ballydown 1,"2,129",,"2,089",15,0,1,0,1,11,0,0,0,11,1,98.12,0.70,0.00,0.05,0.00,0.05,0.52,0.00,0.00,0.00,0.52,0.05
Ballydown 2,"2,667",,"2,634",1,3,0,9,0,2,0,1,0,12,5,98.76,0.04,0.11,0.00,0.34,0.00,0.07,0.00,0.04,0.00,0.45,0.19
Ballyduff 1,"1,611",,"1,594",9,0,1,0,0,0,2,0,0,5,0,98.94,0.56,0.00,0.06,0.00,0.00,0.00,0.12,0.00,0.00,0.31,0.00
Ballyduff 2,"1,255",,"1,237",4,0,1,0,0,2,0,3,0,7,1,98.57,0.32,0.00,0.08,0.00,0.00,0.16,0.00,0.24,0.00,0.56,0.08
Ballygawley,"2,515",,"2,507",0,1,0,0,0,4,0,0,0,1,2,99.68,0.00,0.04,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.04,0.08
Ballygowan 1,"1,574",,"1,555",2,0,1,0,1,1,1,1,7,4,1,98.79,0.13,0.00,0.06,0.00,0.06,0.06,0.06,0.06,0.44,0.25,0.06
Ballygowan 2,"2,035",,"2,021",3,0,0,0,0,1,0,0,0,9,1,99.31,0.15,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.44,0.05
Ballyhackamore 1,"2,003",,"1,905",4,1,36,4,0,26,1,6,0,15,5,95.11,0.20,0.05,1.80,0.20,0.00,1.30,0.05,0.30,0.00,0.75,0.25
