,Year,Variables,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,
SOA,All usual residents,,Ethnic group: White,Ethnic group: Chinese,Ethnic group: Irish Traveller,Ethnic group: Indian,Ethnic group: Pakistani,Ethnic group: Bangladeshi,Ethnic group: Other Asian,Ethnic group: Black Caribbean,Ethnic group: Black African,Ethnic group: Black other,Ethnic group: Mixed,Ethnic group: Other,Ethnic group: White (%),Ethnic group: Chinese (%),Ethnic group: Irish Traveller (%),Ethnic group: Indian (%),Ethnic group: Pakistani (%),Ethnic group: Bangladeshi (%),Ethnic group: Other Asian (%),Ethnic group: Black Caribbean (%),Ethnic group: Black African (%),Ethnic group: Black other (%),Ethnic group: Mixed (%),Ethnic group: Other (%)
The Vow,"2,126",,"2,120",0,0,0,0,0,1,0,0,0,4,1,99.72,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.19,0.05
Tobermore,"2,641",,"2,621",6,0,3,0,1,0,0,0,0,5,5,99.24,0.23,0.00,0.11,0.00,0.04,0.00,0.00,0.00,0.00,0.19,0.19
Tollymore 1,"1,566",,"1,546",1,1,1,0,0,2,1,2,0,11,1,98.72,0.06,0.06,0.06,0.00,0.00,0.13,0.06,0.13,0.00,0.70,0.06
Tollymore 2,"1,821",,"1,810",7,0,1,0,0,0,0,0,0,2,1,99.40,0.38,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.05
Tonagh,"2,594",,"2,494",10,0,54,0,0,25,1,0,2,4,4,96.14,0.39,0.00,2.08,0.00,0.00,0.96,0.04,0.00,0.08,0.15,0.15
Toome,"2,687",,"2,663",0,0,18,0,0,0,1,0,0,4,1,99.11,0.00,0.00,0.67,0.00,0.00,0.00,0.04,0.00,0.00,0.15,0.04
Town Parks,"1,593",,"1,561",15,0,14,1,0,1,0,0,0,1,0,97.99,0.94,0.00,0.88,0.06,0.00,0.06,0.00,0.00,0.00,0.06,0.00
Town Parks East 1,"1,520",,"1,508",7,0,3,0,0,0,0,0,0,1,1,99.21,0.46,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07
Town Parks East 2,"1,398",,"1,379",8,0,1,0,0,0,0,2,0,4,4,98.64,0.57,0.00,0.07,0.00,0.00,0.00,0.00,0.14,0.00,0.29,0.29
Town Parks West,"2,211",,"2,178",10,0,13,0,0,0,0,1,0,8,1,98.51,0.45,0.00,0.59,0.00,0.00,0.00,0.00,0.05,0.00,0.36,0.05
Trillick,"2,440",,"2,430",0,0,4,0,0,2,0,0,0,4,0,99.59,0.00,0.00,0.16,0.00,0.00,0.08,0.00,0.00,0.00,0.16,0.00
Tullagh,"2,216",,"2,189",13,0,1,0,0,1,0,0,5,7,0,98.78,0.59,0.00,0.05,0.00,0.00,0.05,0.00,0.00,0.23,0.32,0.00
Tullycarnet,"2,419",,"2,395",8,0,1,0,0,8,0,2,0,3,2,99.01,0.33,0.00,0.04,0.00,0.00,0.33,0.00,0.08,0.00,0.12,0.08
Tullyhappy,"3,366",,"3,355",1,0,0,0,0,3,0,0,0,7,0,99.67,0.03,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.21,0.00
Twinbrook 1,"1,261",,"1,246",0,0,0,0,0,1,0,1,2,11,0,98.81,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.16,0.87,0.00
Twinbrook 2,"1,386",,"1,374",1,0,0,0,0,3,0,0,1,4,3,99.13,0.07,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.07,0.29,0.22
University,"2,873",,"2,746",52,2,23,1,0,5,0,19,0,11,14,95.58,1.81,0.07,0.80,0.03,0.00,0.17,0.00,0.66,0.00,0.38,0.49
Upper Braniel,"2,248",,"2,220",13,1,2,0,0,2,0,1,2,7,0,98.75,0.58,0.04,0.09,0.00,0.00,0.09,0.00,0.04,0.09,0.31,0.00
Upper Glenshane,"2,458",,"2,453",2,0,0,0,0,1,0,0,0,2,0,99.80,0.08,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.08,0.00
Upper Malone 1,"1,670",,"1,574",22,0,24,20,0,15,0,1,3,7,4,94.25,1.32,0.00,1.44,1.20,0.00,0.90,0.00,0.06,0.18,0.42,0.24
Upper Malone 2,"1,554",,"1,512",3,0,5,0,0,9,4,8,0,13,0,97.30,0.19,0.00,0.32,0.00,0.00,0.58,0.26,0.51,0.00,0.84,0.00
Upper Malone 3,"1,617",,"1,519",11,1,39,0,1,16,0,4,1,22,3,93.94,0.68,0.06,2.41,0.00,0.06,0.99,0.00,0.25,0.06,1.36,0.19
Upper Springfield 1,"1,712",,"1,673",1,21,0,0,0,15,0,0,0,2,0,97.72,0.06,1.23,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.12,0.00
Upper Springfield 2,"1,874",,"1,861",0,0,3,0,0,0,0,7,1,2,0,99.31,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.37,0.05,0.11,0.00
Upper Springfield 3,"1,664",,"1,646",1,0,8,0,0,1,1,0,0,7,0,98.92,0.06,0.00,0.48,0.00,0.00,0.06,0.06,0.00,0.00,0.42,0.00
Upperlands,"2,498",,"2,487",7,0,0,0,0,2,0,0,0,0,2,99.56,0.28,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.08
Valley,"2,691",,"2,681",3,0,0,0,0,1,1,0,0,5,0,99.63,0.11,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.19,0.00
Valley 1,"1,568",,"1,547",11,0,0,1,0,2,0,1,2,3,1,98.66,0.70,0.00,0.00,0.06,0.00,0.13,0.00,0.06,0.13,0.19,0.06
Valley 2,"1,926",,"1,894",10,7,2,1,0,1,1,1,0,7,2,98.34,0.52,0.36,0.10,0.05,0.00,0.05,0.05,0.05,0.00,0.36,0.10
Victoria (Carrickfergus LGD),"2,630",,"2,585",0,0,12,0,0,4,0,7,1,20,1,98.29,0.00,0.00,0.46,0.00,0.00,0.15,0.00,0.27,0.04,0.76,0.04
Victoria (Derry LGD),"3,410",,"3,308",17,1,67,0,0,1,0,2,1,12,1,97.01,0.50,0.03,1.96,0.00,0.00,0.03,0.00,0.06,0.03,0.35,0.03
Victoria Bridge,"2,288",,"2,279",1,1,0,0,0,1,0,0,0,3,3,99.61,0.04,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.13,0.13
Wallace Park 1,"1,095",,"1,062",1,0,0,0,0,0,4,11,3,9,5,96.99,0.09,0.00,0.00,0.00,0.00,0.00,0.37,1.00,0.27,0.82,0.46
Wallace Park 2,"2,283",,"2,229",1,0,6,2,0,7,0,5,4,22,7,97.63,0.04,0.00,0.26,0.09,0.00,0.31,0.00,0.22,0.18,0.96,0.31
