,Year,Variables,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,
SOA,All usual residents,,National identity: British,National identity: Irish,National identity: Northern Irish,National identity: English,National identity: Scottish,National identity: Welsh,National identity: Other,National identity: British (%),National identity: Irish (%),National identity: Northern Irish (%),National identity: English (%),National identity: Scottish (%),National identity: Welsh (%),National identity: Other (%)
Clondermot 2,"1,656",,741,610,446,28,6,8,28,44.75,36.84,26.93,1.69,0.36,0.48,1.69
Cloughfern 1,"1,718",,"1,303",111,493,13,15,2,25,75.84,6.46,28.70,0.76,0.87,0.12,1.46
Cloughfern 2,"1,228",,990,35,338,7,10,0,18,80.62,2.85,27.52,0.57,0.81,0.00,1.47
Coagh,"2,029",,"1,138",367,649,19,8,1,50,56.09,18.09,31.99,0.94,0.39,0.05,2.46
Coalisland North,"3,530",,263,"2,218",970,22,3,0,179,7.45,62.83,27.48,0.62,0.08,0.00,5.07
Coalisland South,"2,485",,205,"1,416",708,25,6,1,228,8.25,56.98,28.49,1.01,0.24,0.04,9.18
Coalisland West and Newmills,"2,803",,672,"1,287",819,14,7,2,192,23.97,45.92,29.22,0.50,0.25,0.07,6.85
Collin Glen 1,"1,565",,212,"1,053",372,4,5,1,9,13.55,67.28,23.77,0.26,0.32,0.06,0.58
Collin Glen 2,"2,365",,290,"1,578",546,17,6,0,24,12.26,66.72,23.09,0.72,0.25,0.00,1.01
Collin Glen 3,"1,969",,263,"1,333",461,4,3,0,14,13.36,67.70,23.41,0.20,0.15,0.00,0.71
Collinbridge 1,"1,697",,507,798,534,14,4,1,22,29.88,47.02,31.47,0.82,0.24,0.06,1.30
Collinbridge 2,"1,381",,424,599,443,8,2,0,31,30.70,43.37,32.08,0.58,0.14,0.00,2.24
Comber East 1,"1,658",,"1,223",84,507,14,17,2,55,73.76,5.07,30.58,0.84,1.03,0.12,3.32
Comber East 2,"1,295",,"1,034",41,375,8,2,3,15,79.85,3.17,28.96,0.62,0.15,0.23,1.16
Comber North 1,"1,331",,990,50,393,18,6,1,22,74.38,3.76,29.53,1.35,0.45,0.08,1.65
Comber North 2,"1,294",,"1,041",45,392,12,7,0,27,80.45,3.48,30.29,0.93,0.54,0.00,2.09
Comber West 1,"1,325",,"1,041",79,426,9,12,2,34,78.57,5.96,32.15,0.68,0.91,0.15,2.57
Comber West 2,"1,618",,"1,274",86,523,16,11,4,30,78.74,5.32,32.32,0.99,0.68,0.25,1.85
Conlig 1,"2,449",,"1,868",121,785,31,16,4,26,76.28,4.94,32.05,1.27,0.65,0.16,1.06
Conlig 2,"2,269",,"1,752",117,723,28,16,5,37,77.21,5.16,31.86,1.23,0.71,0.22,1.63
Conlig 3,"1,545",,"1,157",72,516,24,15,0,21,74.89,4.66,33.40,1.55,0.97,0.00,1.36
Coole,"2,409",,"1,909",73,649,18,8,5,38,79.24,3.03,26.94,0.75,0.33,0.21,1.58
Coolessan,"1,422",,651,315,491,19,6,1,23,45.78,22.15,34.53,1.34,0.42,0.07,1.62
Coolhill,"2,716",,"1,216",386,547,15,11,0,794,44.77,14.21,20.14,0.55,0.41,0.00,29.23
Coolnagard,"3,489",,660,"1,428","1,308",31,11,1,259,18.92,40.93,37.49,0.89,0.32,0.03,7.42
Corcrain 1,"1,649",,265,747,457,3,7,3,268,16.07,45.30,27.71,0.18,0.42,0.18,16.25
Corcrain 2,"1,671",,402,556,447,18,5,1,372,24.06,33.27,26.75,1.08,0.30,0.06,22.26
Court 1,"1,467",,273,679,460,6,2,2,109,18.61,46.28,31.36,0.41,0.14,0.14,7.43
Court 2,"1,683",,379,732,536,9,7,0,106,22.52,43.49,31.85,0.53,0.42,0.00,6.30
Craigavad,"2,540",,"1,718",350,816,59,27,4,81,67.64,13.78,32.13,2.32,1.06,0.16,3.19
Craigy Hill,"1,455",,"1,020",100,468,9,11,3,10,70.10,6.87,32.16,0.62,0.76,0.21,0.69
Craigywarren,"2,590",,"2,102",115,687,27,7,2,34,81.16,4.44,26.53,1.04,0.27,0.08,1.31
Cranfield,"2,701",,"1,011",867,958,16,6,2,57,37.43,32.10,35.47,0.59,0.22,0.07,2.11
Crawfordsburn,"2,770",,"2,007",385,930,38,35,5,55,72.45,13.90,33.57,1.37,1.26,0.18,1.99
Cregagh,"2,090",,"1,564",121,619,21,14,6,48,74.83,5.79,29.62,1.00,0.67,0.29,2.30
Creggan,"3,088",,204,"2,195",735,18,8,0,41,6.61,71.08,23.80,0.58,0.26,0.00,1.33
Creggan Central 1,"1,456",,99,"1,090",278,3,5,1,9,6.80,74.86,19.09,0.21,0.34,0.07,0.62
Creggan Central 2,"1,294",,89,981,259,4,4,0,6,6.88,75.81,20.02,0.31,0.31,0.00,0.46
Creggan South,"2,277",,121,"1,723",492,5,6,0,8,5.31,75.67,21.61,0.22,0.26,0.00,0.35
Crevagh 1,"2,022",,261,"1,389",391,8,13,1,34,12.91,68.69,19.34,0.40,0.64,0.05,1.68
Crevagh 2,"1,298",,104,849,379,6,5,1,7,8.01,65.41,29.20,0.46,0.39,0.08,0.54
Crevagh 3,"2,538",,169,"1,838",551,19,11,0,17,6.66,72.42,21.71,0.75,0.43,0.00,0.67
Cross Glebe,"2,665",,"1,842",126,802,25,18,1,92,69.12,4.73,30.09,0.94,0.68,0.04,3.45
Crossgar 1,"1,501",,742,368,508,14,8,0,48,49.43,24.52,33.84,0.93,0.53,0.00,3.20
Crossgar 2,"1,768",,701,534,627,12,3,6,66,39.65,30.20,35.46,0.68,0.17,0.34,3.73
Crossmaglen,"2,665",,143,"1,981",546,12,6,1,58,5.37,74.33,20.49,0.45,0.23,0.04,2.18
Crumlin 1 (Antrim LGD),"1,953",,453,"1,044",559,19,5,7,28,23.20,53.46,28.62,0.97,0.26,0.36,1.43
Crumlin 1 (Belfast LGD),"2,019",,"1,663",126,377,10,9,5,11,82.37,6.24,18.67,0.50,0.45,0.25,0.54
Crumlin 2 (Antrim LGD),"2,694",,657,"1,465",676,17,3,1,29,24.39,54.38,25.09,0.63,0.11,0.04,1.08
Crumlin 2 (Belfast LGD),"2,563",,"1,916",307,525,14,8,1,48,74.76,11.98,20.48,0.55,0.31,0.04,1.87
Cullybackey,"2,805",,"2,330",67,703,19,14,4,63,83.07,2.39,25.06,0.68,0.50,0.14,2.25
Culmore 1,"1,205",,157,849,235,15,6,1,11,13.03,70.46,19.50,1.24,0.50,0.08,0.91
Culmore 2,"1,236",,88,871,291,5,9,1,21,7.12,70.47,23.54,0.40,0.73,0.08,1.70
Culmore 3,"1,569",,109,"1,068",427,15,2,0,10,6.95,68.07,27.21,0.96,0.13,0.00,0.64
Culmore 4,"2,553",,204,"1,840",592,19,14,1,8,7.99,72.07,23.19,0.74,0.55,0.04,0.31
Culmore 5,"2,309",,238,"1,695",477,16,7,2,21,10.31,73.41,20.66,0.69,0.30,0.09,0.91
Cultra,"2,477",,"1,617",394,915,35,13,8,51,65.28,15.91,36.94,1.41,0.52,0.32,2.06
Daisy Hill 1,"1,580",,122,958,439,12,4,1,114,7.72,60.63,27.78,0.76,0.25,0.06,7.22
Daisy Hill 2,"1,575",,137,881,441,15,4,0,186,8.70,55.94,28.00,0.95,0.25,0.00,11.81
Dalriada,"1,452",,331,698,455,23,17,1,29,22.80,48.07,31.34,1.58,1.17,0.07,2.00
Demesne 1,"1,468",,526,594,429,9,6,2,62,35.83,40.46,29.22,0.61,0.41,0.14,4.22
Demesne 2,"1,308",,591,429,332,9,2,2,66,45.18,32.80,25.38,0.69,0.15,0.15,5.05
Dergmoney,"1,675",,528,563,584,14,5,2,102,31.52,33.61,34.87,0.84,0.30,0.12,6.09
Derryaghy 1,"3,775",,380,"2,759",792,16,7,1,49,10.07,73.09,20.98,0.42,0.19,0.03,1.30
Derryaghy 2,"1,697",,172,"1,206",370,0,1,0,11,10.14,71.07,21.80,0.00,0.06,0.00,0.65
Derryaghy 3,"3,992",,"1,980","1,137","1,115",33,25,1,97,49.60,28.48,27.93,0.83,0.63,0.03,2.43
Derryboy 1,"1,695",,936,383,551,13,1,0,21,55.22,22.60,32.51,0.77,0.06,0.00,1.24
Derryboy 2,"1,326",,870,117,478,16,3,2,15,65.61,8.82,36.05,1.21,0.23,0.15,1.13
Derrygonnelly,"2,812",,970,"1,065",849,41,7,2,96,34.50,37.87,30.19,1.46,0.25,0.07,3.41
Derryleckagh 1,"2,046",,190,"1,303",580,13,5,2,55,9.29,63.69,28.35,0.64,0.24,0.10,2.69
Derryleckagh 2,"2,412",,416,"1,338",676,12,11,4,130,17.25,55.47,28.03,0.50,0.46,0.17,5.39
Derrylin,"2,678",,462,"1,469",676,33,16,0,134,17.25,54.85,25.24,1.23,0.60,0.00,5.00
Derrymore 1,"1,652",,170,"1,034",412,24,4,0,61,10.29,62.59,24.94,1.45,0.24,0.00,3.69
Derrymore 2,"1,543",,222,846,470,7,6,2,60,14.39,54.83,30.46,0.45,0.39,0.13,3.89
Derrynoose,"3,475",,636,"1,953",977,23,16,1,66,18.30,56.20,28.12,0.66,0.46,0.03,1.90
Derrytrasna 1,"3,074",,369,"1,824",976,8,9,0,77,12.00,59.34,31.75,0.26,0.29,0.00,2.50
Derrytrasna 2,"2,401",,541,"1,135",765,13,13,0,61,22.53,47.27,31.86,0.54,0.54,0.00,2.54
Dervock,"1,509",,"1,112",88,497,12,7,9,21,73.69,5.83,32.94,0.80,0.46,0.60,1.39
Devenish,"1,707",,429,664,550,18,11,2,127,25.13,38.90,32.22,1.05,0.64,0.12,7.44
Doagh 1,"1,840",,"1,447",75,579,21,14,3,9,78.64,4.08,31.47,1.14,0.76,0.16,0.49
Doagh 2,"1,834",,"1,413",66,608,12,9,2,21,77.04,3.60,33.15,0.65,0.49,0.11,1.15
Donagh,"2,387",,519,"1,151",762,27,5,3,40,21.74,48.22,31.92,1.13,0.21,0.13,1.68
Donaghadee North 1,"1,690",,"1,238",109,541,37,18,3,58,73.25,6.45,32.01,2.19,1.07,0.18,3.43
Donaghadee North 2,"1,637",,"1,271",137,466,16,9,8,9,77.64,8.37,28.47,0.98,0.55,0.49,0.55
Donaghadee South 1,"1,408",,"1,157",41,402,21,9,4,10,82.17,2.91,28.55,1.49,0.64,0.28,0.71
Donaghadee South 2,"1,547",,"1,166",86,498,25,11,6,16,75.37,5.56,32.19,1.62,0.71,0.39,1.03
Donaghcloney 1,"1,538",,"1,142",123,421,27,6,5,30,74.25,8.00,27.37,1.76,0.39,0.33,1.95
Donaghcloney 2,"2,451",,"1,901",158,681,26,9,1,36,77.56,6.45,27.78,1.06,0.37,0.04,1.47
Donaghmore,"2,588",,703,"1,129",812,11,6,0,111,27.16,43.62,31.38,0.43,0.23,0.00,4.29
Donaghmore 1,"2,057",,756,795,633,9,2,0,20,36.75,38.65,30.77,0.44,0.10,0.00,0.97
Donaghmore 2,"1,416",,330,708,431,6,8,1,8,23.31,50.00,30.44,0.42,0.56,0.07,0.56
Donard 1,"1,507",,578,484,521,24,12,3,44,38.35,32.12,34.57,1.59,0.80,0.20,2.92
Donard 2,"1,686",,537,646,607,21,11,1,41,31.85,38.32,36.00,1.25,0.65,0.06,2.43
Downs,"2,565",,229,"1,569",725,14,6,0,134,8.93,61.17,28.27,0.55,0.23,0.00,5.22
Downshire,"2,417",,"1,768",172,681,26,23,2,74,73.15,7.12,28.18,1.08,0.95,0.08,3.06
Draperstown,"2,984",,317,"1,860",876,11,21,0,82,10.62,62.33,29.36,0.37,0.70,0.00,2.75
Dromara 1,"1,974",,"1,479",203,634,29,13,3,42,74.92,10.28,32.12,1.47,0.66,0.15,2.13
Dromara 2,"2,724",,"2,011",284,800,20,15,1,19,73.83,10.43,29.37,0.73,0.55,0.04,0.70
Dromore,"2,394",,483,"1,213",734,35,11,0,45,20.18,50.67,30.66,1.46,0.46,0.00,1.88
Dromore North,"2,563",,"1,722",186,839,33,16,4,81,67.19,7.26,32.74,1.29,0.62,0.16,3.16
Dromore South 1,"2,036",,"1,482",138,631,21,27,10,69,72.79,6.78,30.99,1.03,1.33,0.49,3.39
Dromore South 2,"2,080",,"1,505",177,652,17,8,3,29,72.36,8.51,31.35,0.82,0.38,0.14,1.39
Drumalane 1,"1,966",,159,"1,195",416,12,11,0,291,8.09,60.78,21.16,0.61,0.56,0.00,14.80
Drumalane 2,"1,386",,105,903,351,16,7,0,76,7.58,65.15,25.32,1.15,0.51,0.00,5.48
Drumanaway,"2,140",,"1,606",168,580,24,15,2,45,75.05,7.85,27.10,1.12,0.70,0.09,2.10
Drumaness 1,"1,784",,495,643,717,19,8,0,18,27.75,36.04,40.19,1.07,0.45,0.00,1.01
Drumaness 2,"2,092",,618,783,837,17,6,0,22,29.54,37.43,40.01,0.81,0.29,0.00,1.05
Drumbo 1,"1,697",,"1,044",345,601,20,11,1,49,61.52,20.33,35.42,1.18,0.65,0.06,2.89
Drumbo 2,"1,667",,"1,138",270,528,18,9,3,20,68.27,16.20,31.67,1.08,0.54,0.18,1.20
Drumgask 1,"2,929",,635,"1,143","1,028",21,15,1,205,21.68,39.02,35.10,0.72,0.51,0.03,7.00
Drumgask 2,"1,283",,180,632,428,12,7,0,69,14.03,49.26,33.36,0.94,0.55,0.00,5.38
Drumglass,"2,357",,331,928,690,22,4,5,540,14.04,39.37,29.27,0.93,0.17,0.21,22.91
Drumgor 1,"1,401",,558,325,406,18,4,2,227,39.83,23.20,28.98,1.28,0.29,0.14,16.20
Drumgor 2,"1,344",,505,363,448,8,4,2,114,37.57,27.01,33.33,0.60,0.30,0.15,8.48
Drumgullion 1,"1,419",,183,743,455,5,8,1,111,12.90,52.36,32.06,0.35,0.56,0.07,7.82
Drumgullion 2,"1,679",,222,917,488,11,9,3,148,13.22,54.62,29.06,0.66,0.54,0.18,8.81
Drumnakilly,"2,916",,532,"1,569",874,16,7,1,68,18.24,53.81,29.97,0.55,0.24,0.03,2.33
Drumnamoe 1,"1,270",,148,718,386,5,6,1,40,11.65,56.54,30.39,0.39,0.47,0.08,3.15
Drumnamoe 2,"1,381",,127,835,465,3,2,0,15,9.20,60.46,33.67,0.22,0.14,0.00,1.09
Drumquin,"2,231",,660,875,778,7,11,6,29,29.58,39.22,34.87,0.31,0.49,0.27,1.30
Drumragh,"2,315",,"1,447",262,631,27,11,2,166,62.51,11.32,27.26,1.17,0.48,0.09,7.17
Dufferin,"2,449",,"1,822",124,800,35,28,4,27,74.40,5.06,32.67,1.43,1.14,0.16,1.10
Dunanney,"2,262",,"1,891",81,550,15,12,4,19,83.60,3.58,24.31,0.66,0.53,0.18,0.84
Duncairn 1,"2,807",,"1,598",534,643,34,35,5,292,56.93,19.02,22.91,1.21,1.25,0.18,10.40
Duncairn 2,"2,094",,"1,357",282,523,21,12,3,127,64.80,13.47,24.98,1.00,0.57,0.14,6.06
Dunclug,"2,363",,"1,171",411,676,19,14,5,283,49.56,17.39,28.61,0.80,0.59,0.21,11.98
Dundonald 1,"1,950",,"1,429",125,587,29,9,3,75,73.28,6.41,30.10,1.49,0.46,0.15,3.85
Dundonald 2,"1,413",,"1,134",43,367,16,10,0,51,80.25,3.04,25.97,1.13,0.71,0.00,3.61
Dundooan 1,"1,377",,"1,041",102,434,13,8,2,13,75.60,7.41,31.52,0.94,0.58,0.15,0.94
Dundooan 2,"1,899",,"1,034",364,687,25,21,3,48,54.45,19.17,36.18,1.32,1.11,0.16,2.53
Dundrum,"2,851",,"1,138",927,983,35,11,1,42,39.92,32.51,34.48,1.23,0.39,0.04,1.47
Dungiven,"2,022",,193,"1,382",501,10,12,1,44,9.55,68.35,24.78,0.49,0.59,0.05,2.18
Dunloy,"2,278",,501,"1,109",708,6,7,1,65,21.99,48.68,31.08,0.26,0.31,0.04,2.85
Dunluce,"1,990",,"1,545",112,544,15,12,0,27,77.64,5.63,27.34,0.75,0.60,0.00,1.36
Dunminning,"2,610",,"1,923",259,775,15,15,1,19,73.68,9.92,29.69,0.57,0.57,0.04,0.73
Dunmore,"3,058",,"1,718",659,962,35,14,8,40,56.18,21.55,31.46,1.14,0.46,0.26,1.31
Dunmurry 1,"2,199",,594,"1,070",681,23,10,2,47,27.01,48.66,30.97,1.05,0.45,0.09,2.14
Dunmurry 2,"2,180",,333,"1,539",464,6,5,2,26,15.28,70.60,21.28,0.28,0.23,0.09,1.19
Dunnamanagh,"2,187",,"1,059",661,562,19,12,1,3,48.42,30.22,25.70,0.87,0.55,0.05,0.14
Dunnamore,"2,357",,250,"1,370",799,18,4,0,17,10.61,58.12,33.90,0.76,0.17,0.00,0.72
East,"1,714",,204,954,582,13,10,1,11,11.90,55.66,33.96,0.76,0.58,0.06,0.64
Ebrington 1,833,,440,239,233,11,6,1,20,52.82,28.69,27.97,1.32,0.72,0.12,2.40
Ebrington 2,"1,736",,735,523,430,21,17,1,150,42.34,30.13,24.77,1.21,0.98,0.06,8.64
Eden 1,"2,231",,"1,758",95,742,20,13,1,25,78.80,4.26,33.26,0.90,0.58,0.04,1.12
Eden 2,"2,566",,"2,054",120,742,36,23,3,38,80.05,4.68,28.92,1.40,0.90,0.12,1.48
Edenderry,"2,769",,"1,484",544,916,27,8,2,66,53.59,19.65,33.08,0.98,0.29,0.07,2.38
Edenderry 1,"1,449",,"1,071",75,364,16,9,1,124,73.91,5.18,25.12,1.10,0.62,0.07,8.56
Edenderry 2,"1,599",,"1,233",62,406,16,12,4,106,77.11,3.88,25.39,1.00,0.75,0.25,6.63
Eglinton 1,"1,753",,877,483,485,31,10,1,26,50.03,27.55,27.67,1.77,0.57,0.06,1.48
Eglinton 2,"2,648",,"1,105",831,913,27,15,1,44,41.73,31.38,34.48,1.02,0.57,0.04,1.66
Enagh 1 (Derry LGD),"2,407",,556,"1,158",638,27,20,1,135,23.10,48.11,26.51,1.12,0.83,0.04,5.61
Enagh 1 (Limavady LGD),"1,275",,729,254,397,9,8,3,8,57.18,19.92,31.14,0.71,0.63,0.24,0.63
Enagh 2 (Derry LGD),"3,338",,"1,256","1,337",949,31,24,1,107,37.63,40.05,28.43,0.93,0.72,0.03,3.21
Enagh 2 (Limavady LGD),"1,212",,735,178,360,26,4,6,16,60.64,14.69,29.70,2.15,0.33,0.50,1.32
Enler,"2,592",,"2,078",98,695,23,19,3,42,80.17,3.78,26.81,0.89,0.73,0.12,1.62
Erne,"2,627",,798,"1,003",838,28,5,1,165,30.38,38.18,31.90,1.07,0.19,0.04,6.28
Fair Green,"1,784",,826,381,531,9,9,2,198,46.30,21.36,29.76,0.50,0.50,0.11,11.10
Fairhill,"1,798",,"1,311",110,536,9,11,1,14,72.91,6.12,29.81,0.50,0.61,0.06,0.78
Fairy Water,"2,142",,"1,042",604,664,17,7,1,6,48.65,28.20,31.00,0.79,0.33,0.05,0.28
Falls 1,"1,497",,187,939,380,11,5,0,36,12.49,62.73,25.38,0.73,0.33,0.00,2.40
Falls 2,"1,752",,286,"1,070",448,4,4,1,15,16.32,61.07,25.57,0.23,0.23,0.06,0.86
Falls 3,"1,935",,267,"1,089",441,9,11,3,197,13.80,56.28,22.79,0.47,0.57,0.16,10.18
Falls Park 1,"1,687",,151,"1,210",338,3,4,0,38,8.95,71.72,20.04,0.18,0.24,0.00,2.25
Falls Park 2,"1,935",,210,"1,327",480,0,0,1,22,10.85,68.58,24.81,0.00,0.00,0.05,1.14
Falls Park 3,"1,721",,126,"1,219",414,4,2,1,28,7.32,70.83,24.06,0.23,0.12,0.06,1.63
Farranshane,"1,698",,954,249,537,16,14,1,80,56.18,14.66,31.63,0.94,0.82,0.06,4.71
Fathom,"3,110",,204,"2,100",788,14,12,1,106,6.56,67.52,25.34,0.45,0.39,0.03,3.41
Feeny,"2,206",,336,"1,267",698,12,9,1,13,15.23,57.43,31.64,0.54,0.41,0.05,0.59
Finaghy 1,"1,418",,810,324,445,6,3,1,56,57.12,22.85,31.38,0.42,0.21,0.07,3.95
Finaghy 2,"1,552",,372,890,407,11,4,0,30,23.97,57.35,26.22,0.71,0.26,0.00,1.93
Finaghy 3,"1,585",,821,454,470,8,6,1,78,51.80,28.64,29.65,0.50,0.38,0.06,4.92
Finn,"2,807",,755,"1,254",941,22,13,3,13,26.90,44.67,33.52,0.78,0.46,0.11,0.46
Fintona,"2,046",,633,733,692,9,13,3,73,30.94,35.83,33.82,0.44,0.64,0.15,3.57
Fivemiletown,"2,114",,"1,385",264,575,24,3,0,84,65.52,12.49,27.20,1.14,0.14,0.00,3.97
Florence Court and Kinawley,"2,630",,788,"1,229",724,33,6,0,38,29.96,46.73,27.53,1.25,0.23,0.00,1.44
Forest,"2,449",,"1,216",643,756,26,8,3,6,49.65,26.26,30.87,1.06,0.33,0.12,0.24
Forkhill 1,"2,205",,145,"1,599",519,12,6,2,66,6.58,72.52,23.54,0.54,0.27,0.09,2.99
Forkhill 2,"2,151",,136,"1,654",417,8,9,2,50,6.32,76.89,19.39,0.37,0.42,0.09,2.32
Fort,"2,364",,"1,615",287,665,28,11,2,33,68.32,12.14,28.13,1.18,0.47,0.08,1.40
Fortwilliam 1,"1,388",,596,519,368,11,4,0,43,42.94,37.39,26.51,0.79,0.29,0.00,3.10
Fortwilliam 2,"1,540",,"1,122",129,388,11,4,0,87,72.86,8.38,25.19,0.71,0.26,0.00,5.65
Fortwilliam 3,"1,633",,688,617,437,15,13,6,77,42.13,37.78,26.76,0.92,0.80,0.37,4.72
Fountain Hill,"2,220",,"1,545",185,655,35,10,1,100,69.59,8.33,29.50,1.58,0.45,0.05,4.50
Foyle Springs 1,"1,962",,95,"1,535",410,8,6,1,14,4.84,78.24,20.90,0.41,0.31,0.05,0.71
Foyle Springs 2,"1,787",,157,"1,250",415,18,8,0,20,8.79,69.95,23.22,1.01,0.45,0.00,1.12
Galgorm 1,"1,603",,"1,293",65,461,12,8,0,24,80.66,4.05,28.76,0.75,0.50,0.00,1.50
Galgorm 2,"1,674",,"1,307",131,500,6,17,0,22,78.08,7.83,29.87,0.36,1.02,0.00,1.31
Galwally,"2,567",,"1,273",716,954,18,13,1,84,49.59,27.89,37.16,0.70,0.51,0.04,3.27
Gardenmore,"1,916",,"1,249",246,644,11,9,1,15,65.19,12.84,33.61,0.57,0.47,0.05,0.78
Garvagh,"2,795",,"1,381",792,793,21,15,1,44,49.41,28.34,28.37,0.75,0.54,0.04,1.57
Gilford,"2,522",,"1,462",478,759,33,13,0,41,57.97,18.95,30.10,1.31,0.52,0.00,1.63
Gilnahirk,"2,512",,"1,875",206,855,16,15,7,58,74.64,8.20,34.04,0.64,0.60,0.28,2.31
Glack,"2,106",,881,604,780,8,4,0,16,41.83,28.68,37.04,0.38,0.19,0.00,0.76
Glebe,"1,719",,"1,249",130,511,5,7,2,34,72.66,7.56,29.73,0.29,0.41,0.12,1.98
Glebe 1 (Magherafelt LGD),"1,799",,532,726,588,14,9,2,135,29.57,40.36,32.68,0.78,0.50,0.11,7.50
Glebe 1 (Newtownabbey LGD),"1,661",,512,719,511,12,6,1,41,30.82,43.29,30.76,0.72,0.36,0.06,2.47
Glebe 2 (Magherafelt LGD),"1,280",,395,433,388,15,4,1,126,30.86,33.83,30.31,1.17,0.31,0.08,9.84
Glebe 2 (Newtownabbey LGD),"1,655",,858,478,525,7,11,0,35,51.84,28.88,31.72,0.42,0.66,0.00,2.11
Glen 1,"1,440",,"1,065",77,422,17,11,1,39,73.96,5.35,29.31,1.18,0.76,0.07,2.71
Glen 2,"1,336",,"1,048",102,438,12,7,2,7,78.44,7.63,32.78,0.90,0.52,0.15,0.52
Glen Road 1,"2,158",,232,"1,523",462,7,10,0,24,10.75,70.57,21.41,0.32,0.46,0.00,1.11
Glen Road 2,"1,839",,172,"1,395",350,12,2,2,9,9.35,75.86,19.03,0.65,0.11,0.11,0.49
Glen Road 3,"1,576",,116,"1,191",303,1,8,5,19,7.36,75.57,19.23,0.06,0.51,0.32,1.21
Glenaan and Glendun,"2,421",,376,"1,281",816,20,19,1,31,15.53,52.91,33.71,0.83,0.78,0.04,1.28
Glenariff,"1,690",,238,937,595,8,12,0,18,14.08,55.44,35.21,0.47,0.71,0.00,1.07
Glenarm,"1,851",,"1,083",326,554,29,10,1,12,58.51,17.61,29.93,1.57,0.54,0.05,0.65
Glenavy 1,"2,946",,869,"1,407",895,30,17,1,36,29.50,47.76,30.38,1.02,0.58,0.03,1.22
Glenavy 2,"2,751",,"1,357",783,846,26,11,4,29,49.33,28.46,30.75,0.95,0.40,0.15,1.05
Glencairn 1,"1,995",,"1,579",155,418,17,11,2,39,79.15,7.77,20.95,0.85,0.55,0.10,1.95
Glencairn 2,"1,754",,"1,119",386,375,10,8,2,22,63.80,22.01,21.38,0.57,0.46,0.11,1.25
Glencolin 1,"1,548",,143,"1,139",319,6,4,0,16,9.24,73.58,20.61,0.39,0.26,0.00,1.03
Glencolin 2,"1,614",,163,"1,108",367,4,5,1,11,10.10,68.65,22.74,0.25,0.31,0.06,0.68
Glencolin 3,"1,705",,152,"1,249",366,4,7,0,16,8.91,73.26,21.47,0.23,0.41,0.00,0.94
Glencolin 4,"1,631",,191,"1,163",314,6,6,0,16,11.71,71.31,19.25,0.37,0.37,0.00,0.98
Glenderg,"2,593",,805,"1,115",767,20,8,0,16,31.05,43.00,29.58,0.77,0.31,0.00,0.62
Glengormley 1,"1,668",,596,582,600,10,5,2,65,35.73,34.89,35.97,0.60,0.30,0.12,3.90
Glengormley 2,"1,297",,924,113,338,11,9,4,45,71.24,8.71,26.06,0.85,0.69,0.31,3.47
Glenravel,"3,451",,"1,425","1,111","1,183",14,25,1,36,41.29,32.19,34.28,0.41,0.72,0.03,1.04
Glentaisie and Kinbane,"2,251",,775,843,701,27,29,1,62,34.43,37.45,31.14,1.20,1.29,0.04,2.75
Glenwhirry,"2,981",,"2,309",223,850,11,11,1,48,77.46,7.48,28.51,0.37,0.37,0.03,1.61
Glynn,"2,027",,"1,657",97,568,16,18,0,10,81.75,4.79,28.02,0.79,0.89,0.00,0.49
Gortalee,"1,493",,"1,163",40,433,13,14,3,29,77.90,2.68,29.00,0.87,0.94,0.20,1.94
Gortalowry,"2,787",,661,"1,114",910,22,13,1,265,23.72,39.97,32.65,0.79,0.47,0.04,9.51
Gortin,"2,836",,"1,121",958,862,10,10,0,96,39.53,33.78,30.39,0.35,0.35,0.00,3.39
Gortrush 1,"1,488",,268,715,549,6,1,1,70,18.01,48.05,36.90,0.40,0.07,0.07,4.70
Gortrush 2,"1,345",,276,589,506,15,7,1,49,20.52,43.79,37.62,1.12,0.52,0.07,3.64
Graham's Bridge,"2,702",,"2,065",100,774,21,11,3,112,76.42,3.70,28.65,0.78,0.41,0.11,4.15
Grange,"3,461",,"1,843",815,"1,149",28,18,3,21,53.25,23.55,33.20,0.81,0.52,0.09,0.61
Gransha,"3,473",,"2,584",277,"1,006",28,8,1,32,74.40,7.98,28.97,0.81,0.23,0.03,0.92
Greenisland,"2,619",,"1,839",229,866,33,21,7,60,70.22,8.74,33.07,1.26,0.80,0.27,2.29
Gregstown 1,"1,392",,"1,077",65,442,22,5,1,14,77.37,4.67,31.75,1.58,0.36,0.07,1.01
Gregstown 2,"1,472",,"1,133",39,419,10,3,3,27,76.97,2.65,28.46,0.68,0.20,0.20,1.83
Gregstown 3,"1,580",,"1,261",66,509,19,11,3,21,79.81,4.18,32.22,1.20,0.70,0.19,1.33
Gresteel 1,"2,146",,433,"1,090",711,21,7,0,9,20.18,50.79,33.13,0.98,0.33,0.00,0.42
Gresteel 2,"1,525",,678,388,488,19,5,4,58,44.46,25.44,32.00,1.25,0.33,0.26,3.80
Greystone (Antrim LGD),"1,953",,"1,209",251,647,27,9,1,68,61.90,12.85,33.13,1.38,0.46,0.05,3.48
Greystone (Limavady LGD),"1,338",,732,233,381,11,21,2,34,54.71,17.41,28.48,0.82,1.57,0.15,2.54
