,Year,Variables,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,
SOA,All usual residents,,National identity: British,National identity: Irish,National identity: Northern Irish,National identity: English,National identity: Scottish,National identity: Welsh,National identity: Other,National identity: British (%),National identity: Irish (%),National identity: Northern Irish (%),National identity: English (%),National identity: Scottish (%),National identity: Welsh (%),National identity: Other (%)
Termon,"2,330",,153,"1,584",650,3,3,0,19,6.57,67.98,27.90,0.13,0.13,0.00,0.82
The Birches 1,"2,027",,"1,306",320,549,8,3,1,79,64.43,15.79,27.08,0.39,0.15,0.05,3.90
The Birches 2,"1,742",,935,458,447,10,4,0,44,53.67,26.29,25.66,0.57,0.23,0.00,2.53
The Cut,"1,724",,998,261,578,23,6,1,43,57.89,15.14,33.53,1.33,0.35,0.06,2.49
The Cuts 1,"2,173",,"1,516",205,718,23,19,2,63,69.77,9.43,33.04,1.06,0.87,0.09,2.90
The Cuts 2,"1,919",,"1,335",181,617,15,14,6,18,69.57,9.43,32.15,0.78,0.73,0.31,0.94
The Diamond,"2,351",,384,"1,439",556,45,9,2,63,16.33,61.21,23.65,1.91,0.38,0.09,2.68
The Highlands,"1,969",,957,622,457,6,4,0,20,48.60,31.59,23.21,0.30,0.20,0.00,1.02
The Loop,"2,946",,938,"1,245",937,17,14,1,19,31.84,42.26,31.81,0.58,0.48,0.03,0.64
The Mall,"1,740",,"1,108",221,360,19,8,0,192,63.68,12.70,20.69,1.09,0.46,0.00,11.03
The Mount 1,"2,864",,"1,874",196,663,28,28,7,360,65.43,6.84,23.15,0.98,0.98,0.24,12.57
The Mount 2,"2,727",,"1,718",242,786,24,19,7,292,63.00,8.87,28.82,0.88,0.70,0.26,10.71
The Vow,"2,126",,"1,294",314,707,24,11,3,8,60.87,14.77,33.25,1.13,0.52,0.14,0.38
Tobermore,"2,641",,"1,462",653,710,12,5,0,42,55.36,24.73,26.88,0.45,0.19,0.00,1.59
Tollymore 1,"1,566",,286,935,427,11,3,0,12,18.26,59.71,27.27,0.70,0.19,0.00,0.77
Tollymore 2,"1,821",,465,855,612,22,7,1,33,25.54,46.95,33.61,1.21,0.38,0.05,1.81
Tonagh,"2,594",,"1,579",336,767,18,16,0,162,60.87,12.95,29.57,0.69,0.62,0.00,6.25
Toome,"2,687",,380,"1,419",935,15,9,0,49,14.14,52.81,34.80,0.56,0.33,0.00,1.82
Town Parks,"1,593",,"1,073",167,455,10,10,5,46,67.36,10.48,28.56,0.63,0.63,0.31,2.89
Town Parks East 1,"1,520",,668,462,462,9,17,0,53,43.95,30.39,30.39,0.59,1.12,0.00,3.49
Town Parks East 2,"1,398",,523,441,395,12,9,5,118,37.41,31.55,28.25,0.86,0.64,0.36,8.44
Town Parks West,"2,211",,936,684,663,33,10,0,132,42.33,30.94,29.99,1.49,0.45,0.00,5.97
Trillick,"2,440",,748,"1,060",729,9,3,2,22,30.66,43.44,29.88,0.37,0.12,0.08,0.90
Tullagh,"2,216",,565,869,746,14,11,1,182,25.50,39.21,33.66,0.63,0.50,0.05,8.21
Tullycarnet,"2,419",,"1,935",75,682,17,13,1,30,79.99,3.10,28.19,0.70,0.54,0.04,1.24
