time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CPP_start,CPP_start_rate,CPP_child_start,CPP_child_start_rate,CPP_end,CPP_end_rate,CPP_child_end,CPP_child_end_rate,CPP_anypoint,CPP_anypoint_rate,CPP_child_anypoint,CPP_child_anypoint_rate,CPP_At31,CPP_At31_rate
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Child Protection Plans,411,81.1,411,81.1,405,79.9,404,79.7,765,151,755,149,360,71.1
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Child Protection Plans,234,41.4,233,41.2,219,38.8,219,38.8,424,75,423,74.9,205,36.3
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Child Protection Plans,169,38.1,169,38.1,246,55.4,246,55.4,385,86.7,385,86.7,139,31.3
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Child Protection Plans,475,68.9,474,68.8,323,46.9,322,46.7,700,101.6,683,99.1,377,54.7
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Child Protection Plans,371,55,369,54.7,512,75.8,511,75.7,795,117.8,786,116.4,283,41.9
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Child Protection Plans,400,78.3,400,78.3,361,70.7,361,70.7,646,126.5,641,125.5,285,55.8
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Child Protection Plans,1186,83.2,1186,83.2,1087,76.2,1087,76.2,2040,143.1,2023,141.9,953,66.8
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Child Protection Plans,307,66.6,306,66.4,294,63.7,292,63.3,568,123.2,561,121.6,274,59.4
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Child Protection Plans,404,60.4,404,60.4,403,60.2,402,60.1,704,105.2,702,104.9,301,45
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Child Protection Plans,302,47.9,302,47.9,310,49.2,310,49.2,534,84.7,534,84.7,224,35.5
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston upon Hull City of,Child Protection Plans,606,105.6,602,104.9,633,110.3,628,109.5,1147,199.9,1126,196.3,514,89.6
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Child Protection Plans,605,60.4,605,60.4,566,56.5,565,56.4,965,96.4,960,95.9,399,39.9
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Child Protection Plans,796,47,789,46.6,624,36.8,622,36.7,1192,70.4,1175,69.4,568,33.5
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Child Protection Plans,462,133.8,459,133,358,103.7,358,103.7,765,221.6,755,218.7,407,117.9
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Child Protection Plans,125,35.1,125,35.1,206,57.8,206,57.8,279,78.3,279,78.3,73,20.5
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Child Protection Plans,471,40.1,471,40.1,513,43.7,513,43.7,838,71.4,819,69.7,325,27.7
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Child Protection Plans,676,117.5,675,117.3,734,127.6,733,127.4,1182,205.5,1171,203.6,448,77.9
