time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Referrals,Individual,Schools,Education_Services,Health_Services,Housing,LA_Services,Police,Other_legal_agency,Other,Anonymous,Unknown
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Source of referral,2152,197,367,48,337,c,311,674,71,83,43,c
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Source of referral,4600,364,641,288,801,60,837,1292,151,101,65,0
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Source of referral,11320,1395,1845,157,1960,115,2112,2349,471,418,267,231
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Source of referral,2708,234,292,119,413,57,590,695,139,118,c,c
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Source of referral,5523,591,690,24,871,76,794,1918,263,139,157,0
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Source of referral,6628,609,1324,23,877,62,949,1961,317,340,166,0
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Source of referral,13504,852,3299,0,2187,189,1200,3713,660,564,498,342
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Source of referral,4368,267,791,207,696,c,976,1024,178,127,64,c
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Source of referral,11184,2032,2616,0,1401,151,1513,2522,358,349,0,242
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Source of referral,323,19,59,0,51,c,58,88,c,20,13,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Source of referral,13299,1679,2390,199,2043,125,1030,3575,533,451,269,1005
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Source of referral,5382,455,1027,198,643,50,790,1339,174,521,185,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Source of referral,4018,245,819,108,637,51,424,954,217,400,163,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Source of referral,1321,180,210,17,256,12,203,402,c,0,28,c
