LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_started2014,CLA_started2015,CLA_started2016,CLA_started2017,CLA_started2018,CLA_taken2018,CLA_taken2018_pc,SCLA_male,SCLA_female,SCLA_male_pc,SCLA_female_pc,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_U1_pc,SCLA_1to4_pc,SCLA_5to9_pc,SCLA_10to15_pc,SCLA_16over_pc,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_AbNeg_pc,SCLA_Cdisab_pc,SCLA_ParIll_pc,SCLA_FAcSt_pc,SCLA_FD_pc,SCLA_SUB_pc,SCLA_LI_pc,SCLA_AbsPar_pc,SCLA_ICO,SCLA_FCO,SCLA_PlaceO,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,SCLA_ICO_pc,SCLA_FCO_pc,SCLA_PlaceO_pc,SCLA_S20_pc,SCLA_UPP_pc,SCLA_SEPO_pc,SCLA_UCAO_pc,SCLA_ONCT_pc,SCLA_PACE_pc,SCLA_SORR_pc
96,E09000012,LA,204,Hackney,181,161,189,245,217,78,36,105,112,48,52,32,22,23,68,72,15,10,11,31,33,75,0,23,46,x,33,x,24,35,0,11,21,x,15,x,11,40,x,0,122,28,x,0,17,0,0,18,x,0,56,13,x,0,8,0,0
97,E09000013,LA,205,Hammersmith and Fulham,122,99,119,119,117,41,35,70,47,60,40,11,9,15,41,41,9,8,13,35,35,63,x,7,x,16,x,0,19,54,x,6,x,14,x,0,16,22,10,0,72,x,0,0,x,0,0,19,9,0,62,x,0,0,x,0,0
99,E09000019,LA,206,Islington,152,220,209,199,183,68,37,107,76,58,42,18,17,26,55,67,10,9,14,30,37,86,x,x,18,24,16,0,32,47,x,x,10,13,9,0,17,53,x,0,96,7,x,0,19,0,0,29,x,0,52,4,x,0,10,0,0
100,E09000020,LA,207,Kensington and Chelsea,75,71,75,57,78,23,29,46,32,59,41,x,x,9,19,41,x,x,12,24,53,15,x,x,10,12,14,0,18,19,x,x,13,15,18,0,23,18,0,0,47,x,0,0,x,0,0,23,0,0,60,x,0,0,x,0,0
101,E09000022,LA,208,Lambeth,329,274,250,169,198,49,25,131,67,66,34,27,11,25,54,81,14,6,13,27,41,82,0,x,x,25,33,x,41,41,0,x,x,13,17,x,21,35,0,0,118,x,x,0,31,0,0,18,0,0,60,x,x,0,16,0,0
102,E09000023,LA,209,Lewisham,241,254,233,225,239,95,40,137,102,57,43,37,28,47,63,64,15,12,20,26,27,179,19,x,x,x,11,0,22,75,8,x,x,x,5,0,9,55,x,x,126,26,10,0,16,x,0,23,x,x,53,11,4,0,7,x,0
104,E09000028,LA,210,Southwark,255,228,238,271,229,82,36,154,75,67,33,27,26,34,54,88,12,11,15,24,38,91,x,7,29,30,14,x,50,40,x,3,13,13,6,x,22,37,x,0,134,33,x,0,13,0,0,16,x,0,59,14,x,0,6,0,0
105,E09000030,LA,211,Tower Hamlets,206,168,231,222,137,65,47,78,59,57,43,23,15,14,46,39,17,11,10,34,28,67,x,17,x,14,9,0,22,49,x,12,x,10,7,0,16,35,x,0,62,22,x,0,9,0,x,26,x,0,45,16,x,0,7,0,x
106,E09000032,LA,212,Wandsworth,135,154,177,189,192,73,38,107,85,56,44,24,23,35,48,62,13,12,18,25,32,120,x,11,26,9,x,0,16,63,x,6,14,5,x,0,8,33,x,0,112,29,10,0,x,0,0,17,x,0,58,15,5,0,x,0,0
107,E09000033,LA,213,Westminster,91,97,97,148,159,32,20,122,37,77,23,12,7,8,35,97,8,4,5,22,61,25,6,7,x,x,7,0,106,16,4,4,x,x,4,0,67,10,x,0,120,16,x,0,7,0,0,6,x,0,75,10,x,0,4,0,0
