LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_19to21,CL_All_19,CL_All_20,CL_All_21,CL_Act_EET19to21,CL_Act_EET19,CL_Act_EET20,CL_Act_EET21,CL_Act_HE19to21,CL_Act_HE19,CL_Act_HE20,CL_Act_HE21,CL_Act_OE19to21,CL_Act_OE19,CL_Act_OE20,CL_Act_OE21,CL_Act_TE19to21,CL_Act_TE19,CL_Act_TE20,CL_Act_TE21,CL_Act_NEET19to21,CL_Act_NEET19,CL_Act_NEET20,CL_Act_NEET21,CL_Act_NEET_ill19to21,CL_Act_NEET_ill19,CL_Act_NEET_ill20,CL_Act_NEET_ill21,CL_Act_NEET_oth19to21,CL_Act_NEET_oth19,CL_Act_NEET_oth20,CL_Act_NEET_oth21,CL_Act_NEET_preg19to21,CL_Act_NEET_preg19,CL_Act_NEET_preg20,CL_Act_NEET_preg21,CL_Act_NoInf19to21,CL_Act_NoInf19,CL_Act_NoInf20,CL_Act_NoInf21,CL_Act_EET19to21_pc,CL_Act_EET19_pc,CL_Act_EET20_pc,CL_Act_EET21_pc,CL_Act_HE19to21_pc,CL_Act_HE19_pc,CL_Act_HE20_pc,CL_Act_HE21_pc,CL_Act_OE19to21_pc,CL_Act_OE19_pc,CL_Act_OE20_pc,CL_Act_OE21_pc,CL_Act_TE19to21_pc,CL_Act_TE19_pc,CL_Act_TE20_pc,CL_Act_TE21_pc,CL_Act_NEET19to21_pc,CL_Act_NEET19_pc,CL_Act_NEET20_pc,CL_Act_NEET21_pc,CL_Act_NEET_ill19to21_pc,CL_Act_NEET_ill19_pc,CL_Act_NEET_ill20_pc,CL_Act_NEET_ill21_pc,CL_Act_NEET_oth19to21_pc,CL_Act_NEET_oth19_pc,CL_Act_NEET_oth20_pc,CL_Act_NEET_oth21_pc,CL_Act_NEET_preg19to21_pc,CL_Act_NEET_preg19_pc,CL_Act_NEET_preg20_pc,CL_Act_NEET_preg21_pc,CL_Act_NoInf19to21_pc,CL_Act_NoInf19_pc,CL_Act_NoInf20_pc,CL_Act_NoInf21_pc,CL_InTouch_IT19to21,CL_InTouch_IT19,CL_InTouch_IT20,CL_InTouch_IT21,CL_InTouch_Refu19to21,CL_InTouch_Refu19,CL_InTouch_Refu20,CL_InTouch_Refu21,CL_InTouch_NoServ19to21,CL_InTouch_NoServ19,CL_InTouch_NoServ20,CL_InTouch_NoServ21,CL_InTouch_Not19to21,CL_InTouch_Not19,CL_InTouch_Not20,CL_InTouch_Not21,CL_InTouch_IT19to21_pc,CL_InTouch_IT19_pc,CL_InTouch_IT20_pc,CL_InTouch_IT21_pc,CL_InTouch_Refu19to21_pc,CL_InTouch_Refu19_pc,CL_InTouch_Refu20_pc,CL_InTouch_Refu21_pc,CL_InTouch_NoServ19to21_pc,CL_InTouch_NoServ19_pc,CL_InTouch_NoServ20_pc,CL_InTouch_NoServ21_pc,CL_InTouch_Not19to21_pc,CL_InTouch_Not19_pc,CL_InTouch_Not20_pc,CL_InTouch_Not21_pc
128,E12000008,REGION,J,SOUTH EAST,4400,1680,1460,1260,2300,990,740,570,200,50,70,70,1020,590,280,150,1080,350,380,350,1460,490,520,460,360,90,140,140,860,340,300,220,240,60,80,100,640,190,210,240,52,59,50,45,4,3,5,6,23,35,19,12,24,21,26,28,33,29,36,36,8,5,9,11,20,20,21,17,5,3,5,8,14,11,14,19,3700,1460,1240,1000,180,60,60,60,160,50,50,70,360,110,110,140,84,87,85,79,4,4,4,5,4,3,3,5,8,7,7,11
148,E12000009,REGION,K,SOUTH WEST,2510,800,850,850,1280,450,420,410,120,30,40,50,380,190,110,80,780,230,270,280,1060,310,380,360,400,100,160,140,470,170,150,150,190,40,70,70,170,40,50,80,51,56,49,48,5,3,5,6,15,24,13,9,31,29,31,33,42,39,45,43,16,13,19,17,19,21,18,17,8,5,8,9,7,5,6,9,2330,760,800,770,30,x,10,20,20,10,x,10,130,30,50,50,93,95,93,90,1,x,1,2,1,1,x,1,5,4,6,6
95,E09000001,LA,201,City of London,9,x,x,x,x,x,x,x,0,0,0,0,x,x,x,x,0,0,0,0,x,x,0,x,0,0,0,0,x,0,0,x,x,x,0,0,x,0,x,0,x,x,x,x,0,0,0,0,x,x,x,x,0,0,0,0,x,x,0,x,0,0,0,0,x,0,0,x,x,x,0,0,x,0,x,0,x,x,x,x,x,0,x,0,x,0,x,0,0,0,0,0,x,x,x,x,x,0,x,0,x,0,x,0,0,0,0,0
94,E09000007,LA,202,Camden,148,50,45,53,99,41,23,35,14,x,x,8,38,x,12,9,47,21,x,18,39,9,x,12,12,x,6,x,19,x,9,x,8,x,x,x,10,0,x,x,67,82,51,66,9,x,x,15,26,x,27,17,32,42,x,34,26,18,x,23,8,x,13,x,13,x,20,x,5,x,x,x,7,0,x,x,138,50,x,47,0,0,0,0,x,0,x,6,x,0,x,0,93,100,x,89,0,0,0,0,x,0,x,11,x,0,x,0
117,E09000011,LA,203,Greenwich,218,86,60,72,128,53,32,43,22,x,x,11,65,33,17,15,41,12,x,17,77,x,x,23,7,0,x,x,58,26,19,13,12,x,x,x,13,x,x,6,59,62,53,60,10,x,x,15,30,38,28,21,19,14,x,24,35,x,x,32,3,0,x,x,27,30,32,18,6,x,x,x,6,x,x,8,205,x,x,66,0,0,0,0,x,x,0,x,x,x,x,x,94,x,x,92,0,0,0,0,x,x,0,x,x,x,x,x
96,E09000012,LA,204,Hackney,205,70,65,70,125,46,37,42,21,6,6,9,43,22,14,7,61,18,17,26,55,17,20,18,x,0,x,x,33,x,10,11,x,x,x,x,25,7,8,10,61,66,57,60,10,9,9,13,21,31,22,10,30,26,26,37,27,24,31,26,x,0,x,x,16,x,15,16,x,x,x,x,12,10,12,14,180,63,57,60,0,0,0,0,x,0,x,x,x,7,x,x,88,90,88,86,0,0,0,0,x,0,x,x,x,10,x,x
97,E09000013,LA,205,Hammersmith and Fulham,133,51,42,40,78,36,22,20,11,x,x,x,38,22,x,8,29,x,12,x,55,15,20,20,x,x,0,x,46,x,x,x,x,x,x,x,0,0,0,0,59,71,52,50,8,x,x,x,29,43,x,20,22,x,29,x,41,29,48,50,x,x,0,x,35,x,x,x,x,x,x,x,0,0,0,0,116,x,36,33,0,0,0,0,x,0,0,x,x,x,6,x,87,x,86,83,0,0,0,0,x,0,0,x,x,x,14,x
99,E09000019,LA,206,Islington,264,101,97,66,129,46,52,31,7,x,x,x,76,31,29,16,46,x,x,x,135,55,45,35,x,x,x,x,124,x,x,x,x,x,x,x,0,0,0,0,49,46,54,47,3,x,x,x,29,31,30,24,17,x,x,x,51,54,46,53,x,x,x,x,47,x,x,x,x,x,x,x,0,0,0,0,217,90,88,39,x,x,x,x,36,x,x,x,x,0,x,x,82,89,91,59,x,x,x,x,14,x,x,x,x,0,x,x
100,E09000020,LA,207,Kensington and Chelsea,96,33,40,23,54,19,25,10,10,x,x,x,32,x,14,x,12,x,x,x,29,7,9,13,x,x,x,x,19,x,x,x,x,0,x,x,13,7,6,0,56,58,63,43,10,x,x,x,33,x,35,x,13,x,x,x,30,21,23,57,x,x,x,x,20,x,x,x,x,0,x,x,14,21,15,0,83,26,34,23,x,6,x,0,x,x,x,0,0,0,0,0,86,79,85,100,x,18,x,0,x,x,x,0,0,0,0,0
101,E09000022,LA,208,Lambeth,280,83,93,104,103,37,35,31,21,x,10,x,42,22,14,x,40,9,11,20,140,39,44,57,7,x,x,x,119,31,x,49,14,x,x,x,37,7,14,16,37,45,38,30,8,x,11,x,15,27,15,x,14,11,12,19,50,47,47,55,3,x,x,x,43,37,x,47,5,x,x,x,13,8,15,15,234,74,77,83,6,x,x,x,0,0,0,0,40,x,x,x,84,89,83,80,2,x,x,x,0,0,0,0,14,x,x,x
