LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_19to21,CL_All_19,CL_All_20,CL_All_21,CL_Act_EET19to21,CL_Act_EET19,CL_Act_EET20,CL_Act_EET21,CL_Act_HE19to21,CL_Act_HE19,CL_Act_HE20,CL_Act_HE21,CL_Act_OE19to21,CL_Act_OE19,CL_Act_OE20,CL_Act_OE21,CL_Act_TE19to21,CL_Act_TE19,CL_Act_TE20,CL_Act_TE21,CL_Act_NEET19to21,CL_Act_NEET19,CL_Act_NEET20,CL_Act_NEET21,CL_Act_NEET_ill19to21,CL_Act_NEET_ill19,CL_Act_NEET_ill20,CL_Act_NEET_ill21,CL_Act_NEET_oth19to21,CL_Act_NEET_oth19,CL_Act_NEET_oth20,CL_Act_NEET_oth21,CL_Act_NEET_preg19to21,CL_Act_NEET_preg19,CL_Act_NEET_preg20,CL_Act_NEET_preg21,CL_Act_NoInf19to21,CL_Act_NoInf19,CL_Act_NoInf20,CL_Act_NoInf21,CL_Act_EET19to21_pc,CL_Act_EET19_pc,CL_Act_EET20_pc,CL_Act_EET21_pc,CL_Act_HE19to21_pc,CL_Act_HE19_pc,CL_Act_HE20_pc,CL_Act_HE21_pc,CL_Act_OE19to21_pc,CL_Act_OE19_pc,CL_Act_OE20_pc,CL_Act_OE21_pc,CL_Act_TE19to21_pc,CL_Act_TE19_pc,CL_Act_TE20_pc,CL_Act_TE21_pc,CL_Act_NEET19to21_pc,CL_Act_NEET19_pc,CL_Act_NEET20_pc,CL_Act_NEET21_pc,CL_Act_NEET_ill19to21_pc,CL_Act_NEET_ill19_pc,CL_Act_NEET_ill20_pc,CL_Act_NEET_ill21_pc,CL_Act_NEET_oth19to21_pc,CL_Act_NEET_oth19_pc,CL_Act_NEET_oth20_pc,CL_Act_NEET_oth21_pc,CL_Act_NEET_preg19to21_pc,CL_Act_NEET_preg19_pc,CL_Act_NEET_preg20_pc,CL_Act_NEET_preg21_pc,CL_Act_NoInf19to21_pc,CL_Act_NoInf19_pc,CL_Act_NoInf20_pc,CL_Act_NoInf21_pc,CL_InTouch_IT19to21,CL_InTouch_IT19,CL_InTouch_IT20,CL_InTouch_IT21,CL_InTouch_Refu19to21,CL_InTouch_Refu19,CL_InTouch_Refu20,CL_InTouch_Refu21,CL_InTouch_NoServ19to21,CL_InTouch_NoServ19,CL_InTouch_NoServ20,CL_InTouch_NoServ21,CL_InTouch_Not19to21,CL_InTouch_Not19,CL_InTouch_Not20,CL_InTouch_Not21,CL_InTouch_IT19to21_pc,CL_InTouch_IT19_pc,CL_InTouch_IT20_pc,CL_InTouch_IT21_pc,CL_InTouch_Refu19to21_pc,CL_InTouch_Refu19_pc,CL_InTouch_Refu20_pc,CL_InTouch_Refu21_pc,CL_InTouch_NoServ19to21_pc,CL_InTouch_NoServ19_pc,CL_InTouch_NoServ20_pc,CL_InTouch_NoServ21_pc,CL_InTouch_Not19to21_pc,CL_InTouch_Not19_pc,CL_InTouch_Not20_pc,CL_InTouch_Not21_pc
123,E09000024,LA,315,Merton,128,39,44,45,57,22,x,18,6,x,x,x,35,x,9,x,16,x,x,8,55,x,23,17,11,x,x,x,35,11,14,10,9,x,x,x,16,x,x,10,45,56,x,40,5,x,x,x,27,x,20,x,13,x,x,18,43,x,52,38,9,x,x,x,27,28,32,22,7,x,x,x,13,x,x,22,110,x,x,35,x,0,x,0,12,x,x,x,x,x,x,x,86,x,x,78,x,0,x,0,9,x,x,x,x,x,x,x
103,E09000025,LA,316,Newham,274,93,100,81,169,58,61,50,31,x,x,15,52,30,14,8,86,x,33,27,60,18,21,21,9,x,x,x,35,x,12,10,16,x,x,x,45,17,18,10,62,62,61,62,11,x,x,19,19,32,14,10,31,x,33,33,22,19,21,26,3,x,x,x,13,x,12,12,6,x,x,x,16,18,18,12,229,76,82,71,9,x,x,x,14,x,x,x,22,8,9,x,84,82,82,88,3,x,x,x,5,x,x,x,8,9,9,x
124,E09000026,LA,317,Redbridge,139,57,45,37,66,31,17,18,14,6,x,x,31,19,x,x,21,6,x,9,52,x,19,11,x,0,x,x,39,19,13,x,x,x,x,x,21,x,9,x,47,54,38,49,10,11,x,x,22,33,x,x,15,11,x,24,37,x,42,30,x,0,x,x,28,33,29,x,x,x,x,x,15,x,20,x,116,x,36,27,14,x,x,x,x,x,x,x,x,x,0,x,83,x,80,73,10,x,x,x,x,x,x,x,x,x,0,x
125,E09000027,LA,318,Richmond upon Thames,78,38,21,19,42,23,x,11,6,x,x,x,22,16,x,x,14,x,x,x,x,x,12,8,x,x,x,x,20,10,x,x,7,x,x,x,x,x,x,0,54,61,x,58,8,x,x,x,28,42,x,x,18,x,x,x,x,x,57,42,8,x,x,x,26,26,x,x,9,x,x,x,x,x,x,0,x,x,x,19,x,x,0,0,0,0,0,0,x,x,x,0,x,x,x,100,x,x,0,0,0,0,0,0,x,x,x,0
126,E09000029,LA,319,Sutton,119,51,45,23,65,28,26,11,x,x,x,x,31,18,x,x,x,x,14,x,40,17,x,x,x,x,x,x,24,x,8,x,x,x,x,x,14,6,x,x,55,55,58,48,x,x,x,x,26,35,x,x,x,x,31,x,34,33,x,x,x,x,x,x,20,x,18,x,x,x,x,x,12,12,x,x,100,44,38,x,x,x,x,0,0,0,0,0,x,x,x,x,84,86,84,x,x,x,x,0,0,0,0,0,x,x,x,x
127,E09000031,LA,320,Waltham Forest,170,61,59,50,111,46,35,30,21,12,x,x,48,24,16,x,42,10,x,18,35,x,16,8,x,x,x,x,23,7,x,x,x,x,x,x,24,x,x,12,65,75,59,60,12,20,x,x,28,39,27,x,25,16,x,36,21,x,27,16,x,x,x,x,14,11,x,x,x,x,x,x,14,x,x,24,142,55,50,37,14,x,x,x,7,0,x,x,7,x,x,x,84,90,85,74,8,x,x,x,4,0,x,x,4,x,x,x
66,E08000025,LA,330,Birmingham,679,228,244,207,352,117,140,95,48,14,23,11,153,59,52,42,151,44,65,42,253,88,83,82,32,9,10,13,171,60,57,54,50,19,16,15,74,23,21,30,52,51,57,46,7,6,9,5,23,26,21,20,22,19,27,20,37,39,34,40,5,4,4,6,25,26,23,26,7,8,7,7,11,10,9,14,605,205,223,177,27,8,11,x,32,8,x,18,15,7,x,x,89,90,91,86,4,4,5,x,5,4,x,9,2,3,x,x
67,E08000026,LA,331,Coventry,224,75,71,78,102,38,28,36,12,x,x,6,26,x,x,6,64,22,18,24,104,x,36,33,20,8,x,x,69,23,23,23,15,x,6,x,18,x,x,9,46,51,39,46,5,x,x,8,12,x,x,8,29,29,25,31,46,x,51,42,9,11,x,x,31,31,32,29,7,x,8,x,8,x,x,12,206,x,64,69,x,x,x,x,0,0,0,0,x,x,x,x,92,x,90,88,x,x,x,x,0,0,0,0,x,x,x,x
68,E08000027,LA,332,Dudley,187,62,73,52,105,39,38,28,14,x,x,x,32,20,x,x,59,x,26,18,72,x,x,x,14,x,x,6,39,x,18,x,19,x,x,10,10,x,x,x,56,63,52,54,7,x,x,x,17,32,x,x,32,x,36,35,39,x,x,x,7,x,x,12,21,x,25,x,10,x,x,19,5,x,x,x,177,x,x,x,x,0,x,0,0,0,0,0,x,x,x,x,95,x,x,x,x,0,x,0,0,0,0,0,x,x,x,x
70,E08000028,LA,333,Sandwell,171,58,54,59,73,28,x,21,8,x,x,x,27,13,8,x,38,x,14,13,75,24,25,26,22,x,x,12,39,16,12,x,14,x,6,x,23,x,x,12,43,48,x,36,5,x,x,x,16,22,15,x,22,x,26,22,44,41,46,44,13,x,x,20,23,28,22,x,8,x,11,x,13,x,x,20,146,50,x,47,0,0,0,0,0,0,0,0,25,8,x,12,85,86,x,80,0,0,0,0,0,0,0,0,15,14,x,20
72,E08000029,LA,334,Solihull,146,50,47,49,84,31,28,25,12,x,6,x,40,20,11,x,32,x,11,13,46,13,12,x,10,0,x,x,26,x,x,10,10,x,x,x,16,x,7,x,58,62,60,51,8,x,13,x,27,40,23,x,22,x,23,27,32,26,26,x,7,0,x,x,18,x,x,20,7,x,x,x,11,x,15,x,130,44,40,x,x,0,x,0,0,0,0,0,x,6,x,x,89,88,85,x,x,0,x,0,0,0,0,0,x,12,x,x
76,E08000030,LA,335,Walsall,138,46,43,49,79,30,27,x,9,x,x,x,21,x,x,7,49,16,20,13,50,x,x,24,x,x,x,x,27,7,8,12,x,0,x,x,9,x,x,x,57,65,63,x,7,x,x,x,15,x,x,14,36,35,47,27,36,x,x,49,x,x,x,x,20,15,19,24,x,0,x,x,7,x,x,x,121,x,x,42,x,0,0,x,0,0,0,0,x,x,x,x,88,x,x,86,x,0,0,x,0,0,0,0,x,x,x,x
78,E08000031,LA,336,Wolverhampton,188,64,68,56,106,40,39,27,16,8,x,x,36,17,x,x,54,15,24,15,75,24,x,23,15,8,x,x,41,10,16,15,19,x,10,x,7,0,x,x,56,63,57,48,9,13,x,x,19,27,x,x,29,23,35,27,40,38,x,41,8,13,x,x,22,16,24,27,10,x,15,x,4,0,x,x,181,64,x,50,0,0,0,0,0,0,0,0,7,0,x,6,96,100,x,89,0,0,0,0,0,0,0,0,4,0,x,11
24,E08000011,LA,340,Knowsley,80,28,29,23,32,14,x,9,x,0,x,x,x,6,x,x,17,8,x,x,32,x,15,8,6,x,x,x,18,x,x,x,8,x,x,x,16,x,x,6,40,50,x,39,x,0,x,x,x,21,x,x,21,29,x,x,40,x,52,35,8,x,x,x,23,x,x,x,10,x,x,x,20,x,x,26,64,x,x,17,x,0,x,0,x,x,x,x,x,0,0,x,80,x,x,74,x,0,x,0,x,x,x,x,x,0,0,x
26,E08000012,LA,341,Liverpool,297,101,103,93,122,45,42,x,21,x,9,x,39,19,13,7,62,19,20,23,156,49,54,53,38,11,17,10,89,25,31,33,29,13,6,10,19,7,x,x,41,45,41,x,7,x,9,x,13,19,13,8,21,19,19,25,53,49,52,57,13,11,17,11,30,25,30,35,10,13,6,11,6,7,x,x,258,88,89,81,x,x,x,x,x,x,x,x,27,x,7,x,87,87,86,87,x,x,x,x,x,x,x,x,9,x,7,x
32,E08000013,LA,342,St. Helens,75,34,22,19,37,17,12,8,x,x,x,0,x,x,x,0,28,11,x,8,x,x,x,11,12,x,x,x,17,8,x,x,x,x,x,x,x,x,x,0,49,50,55,42,x,x,x,0,x,x,x,0,37,32,x,42,x,x,x,58,16,x,x,x,23,24,x,x,8,x,x,x,x,x,x,0,x,x,x,19,x,x,0,0,x,x,0,0,x,x,x,0,x,x,x,100,x,x,0,0,x,x,0,0,x,x,x,0
31,E08000014,LA,343,Sefton,131,51,31,49,63,27,x,22,10,x,x,x,23,x,6,x,30,12,7,11,59,x,16,x,12,x,x,x,36,12,8,16,11,x,x,x,9,x,x,x,48,53,x,45,8,x,x,x,18,x,19,x,23,24,23,22,45,x,52,x,9,x,x,x,27,24,26,33,8,x,x,x,7,x,x,x,122,x,x,x,x,x,0,x,0,0,0,0,x,x,x,x,93,x,x,x,x,x,0,x,0,0,0,0,x,x,x,x
38,E08000015,LA,344,Wirral,191,60,61,70,103,37,33,x,7,x,x,x,26,x,x,6,70,23,23,24,x,23,x,35,37,x,14,16,31,11,9,11,x,x,x,8,x,0,x,x,54,62,54,x,4,x,x,x,14,x,x,9,37,38,38,34,x,38,x,50,19,x,23,23,16,18,15,16,9,x,x,11,x,0,x,x,x,x,x,x,x,x,x,0,x,0,0,x,x,0,0,x,x,x,x,x,x,x,x,0,x,0,0,x,x,0,0,x
18,E08000001,LA,350,Bolton,125,43,38,44,63,26,x,23,8,x,x,x,25,18,x,x,30,x,7,17,x,17,23,x,22,x,11,x,28,11,x,6,x,x,x,x,x,0,x,x,50,60,x,52,6,x,x,x,20,42,x,x,24,x,18,39,x,40,61,x,18,x,29,x,22,26,x,14,6,x,x,x,x,0,x,x,x,x,x,x,0,0,0,0,0,0,0,0,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,0,x,x,x,x
19,E08000002,LA,351,Bury,110,35,32,43,56,20,14,22,9,x,x,x,17,9,x,x,30,x,x,12,54,15,18,21,x,x,x,x,39,x,12,x,x,x,x,x,0,0,0,0,51,57,44,51,8,x,x,x,15,26,x,x,27,x,x,28,49,43,56,49,x,x,x,x,35,x,38,x,x,x,x,x,0,0,0,0,x,x,x,x,x,x,x,x,0,0,0,0,x,0,0,x,x,x,x,x,x,x,x,x,0,0,0,0,x,0,0,x
27,E08000003,LA,352,Manchester,465,157,148,160,220,83,73,64,29,x,13,x,88,49,20,19,103,x,40,33,188,57,55,76,58,19,15,24,90,28,28,34,40,10,12,18,57,17,20,20,47,53,49,40,6,x,9,x,19,31,14,12,22,x,27,21,40,36,37,48,12,12,10,15,19,18,19,21,9,6,8,11,12,11,14,13,408,140,128,140,x,0,x,x,x,0,0,x,x,17,x,x,88,89,86,88,x,0,x,x,x,0,0,x,x,11,x,x
28,E08000004,LA,353,Oldham,99,35,28,36,x,15,x,20,x,x,x,x,16,6,x,x,23,x,x,13,49,20,15,x,x,x,0,0,37,x,x,9,x,x,x,x,x,0,x,x,x,43,x,56,8,x,x,x,16,17,x,x,23,x,x,36,49,57,54,x,x,x,0,0,37,x,x,25,x,x,x,x,x,0,x,x,x,35,x,x,0,0,0,0,0,0,0,0,x,0,x,x,x,100,x,x,0,0,0,0,0,0,0,0,x,0,x,x
29,E08000005,LA,354,Rochdale,134,39,53,42,x,20,x,x,x,x,6,x,16,x,6,x,32,11,13,8,69,19,27,23,20,x,x,9,35,10,16,x,14,x,x,x,x,0,x,x,x,51,x,x,11,x,11,x,12,x,11,x,24,28,25,19,51,49,51,55,15,x,x,21,26,26,30,x,10,x,x,x,x,0,x,x,125,x,x,x,x,0,0,x,0,0,0,0,x,x,x,x,93,x,x,x,x,0,0,x,0,0,0,0,x,x,x,x
30,E08000006,LA,355,Salford,175,63,57,55,125,49,42,34,15,9,x,x,44,19,x,x,66,21,22,23,x,14,15,x,25,8,8,9,x,x,x,x,12,x,x,x,x,0,0,x,71,78,74,62,9,14,x,x,25,30,x,x,38,33,39,42,x,22,26,x,14,13,14,16,7,x,x,x,7,x,x,x,x,0,0,x,x,63,57,x,0,0,0,0,0,0,0,0,x,0,0,x,x,100,100,x,0,0,0,0,0,0,0,0,x,0,0,x
33,E08000007,LA,356,Stockport,130,29,43,58,77,16,24,37,x,0,x,x,x,x,x,x,54,x,15,28,34,x,x,x,13,x,x,x,10,x,x,x,11,x,x,x,19,x,x,x,59,55,56,64,x,0,x,x,x,x,x,x,42,x,35,48,26,x,x,x,10,x,x,x,8,x,x,x,8,x,x,x,15,x,x,x,111,x,x,41,0,0,0,0,x,x,x,x,x,0,0,x,85,x,x,71,0,0,0,0,x,x,x,x,x,0,0,x
34,E08000008,LA,357,Tameside,141,53,36,52,64,26,17,21,x,0,x,x,x,8,x,x,41,18,9,14,60,x,13,24,18,x,x,10,30,15,7,8,12,x,x,6,17,x,x,7,45,49,47,40,x,0,x,x,x,15,x,x,29,34,25,27,43,x,36,46,13,x,x,19,21,28,19,15,9,x,x,12,12,x,x,13,122,x,30,44,11,x,x,x,x,x,0,x,x,x,x,x,87,x,83,85,8,x,x,x,x,x,0,x,x,x,x,x
35,E08000009,LA,358,Trafford,107,34,38,35,55,19,21,15,8,x,x,x,10,x,x,x,37,13,15,9,43,x,x,x,16,6,x,x,20,6,6,8,7,x,x,x,9,x,x,x,51,56,55,43,7,x,x,x,9,x,x,x,35,38,39,26,40,x,x,x,15,18,x,x,19,18,16,23,7,x,x,x,8,x,x,x,98,x,x,x,x,x,0,0,x,0,x,0,x,x,x,x,92,x,x,x,x,x,0,0,x,0,x,0,x,x,x,x
37,E08000010,LA,359,Wigan,117,48,34,35,68,32,18,18,x,x,x,x,x,15,x,x,42,x,x,x,49,16,16,17,14,x,x,x,28,x,7,10,7,x,x,x,0,0,0,0,58,67,53,51,x,x,x,x,x,31,x,x,36,x,x,x,42,33,47,49,12,x,x,x,24,x,21,29,6,x,x,x,0,0,0,0,x,48,x,x,x,0,x,x,0,0,0,0,0,0,0,0,x,100,x,x,x,0,x,x,0,0,0,0,0,0,0,0
40,E08000016,LA,370,Barnsley,69,23,18,28,42,14,x,15,x,0,0,x,22,x,9,x,x,6,x,8,x,9,x,x,9,x,x,x,9,x,x,x,8,x,x,x,x,0,0,x,61,61,x,54,x,0,0,x,32,x,50,x,x,26,x,29,x,39,x,x,13,x,x,x,13,x,x,x,12,x,x,x,x,0,0,x,x,23,18,x,x,0,0,x,0,0,0,0,x,0,0,x,x,100,100,x,x,0,0,x,0,0,0,0,x,0,0,x
43,E08000017,LA,371,Doncaster,155,61,47,47,81,33,27,x,6,x,x,x,22,x,x,x,53,19,19,15,x,28,20,23,26,15,x,x,30,x,13,9,x,x,x,7,x,0,0,x,52,54,57,x,4,x,x,x,14,x,x,x,34,31,40,32,x,46,43,49,17,25,x,x,19,x,28,19,10,x,x,15,x,0,0,x,x,61,47,x,0,0,0,0,0,0,0,0,x,0,0,x,x,100,100,x,0,0,0,0,0,0,0,0,x,0,0,x
51,E08000018,LA,372,Rotherham,137,56,41,40,66,33,x,x,x,x,x,x,26,18,x,x,34,x,10,11,x,x,21,23,22,7,x,x,36,14,11,11,8,x,x,x,x,x,x,x,48,59,x,x,4,x,x,x,19,32,x,x,25,x,24,28,x,x,51,58,16,13,x,x,26,25,27,28,6,x,x,x,x,x,x,x,131,x,x,x,x,0,x,0,0,0,0,0,x,x,x,x,96,x,x,x,x,0,x,0,0,0,0,0,x,x,x,x
52,E08000019,LA,373,Sheffield,231,74,75,82,85,39,26,20,7,x,x,x,43,25,x,x,35,x,12,11,93,x,35,28,24,8,9,x,52,16,19,17,17,x,7,x,53,x,x,34,37,53,35,24,3,x,x,x,19,34,x,x,15,x,16,13,40,x,47,34,10,11,12,x,23,22,25,21,7,x,9,x,23,x,x,41,178,x,61,48,17,x,x,10,17,x,x,13,19,x,7,11,77,x,81,59,7,x,x,12,7,x,x,16,8,x,9,13
41,E08000032,LA,380,Bradford,212,67,77,68,132,43,44,45,16,8,x,x,47,20,10,x,69,15,27,27,71,18,x,x,25,8,8,9,46,10,24,12,0,0,0,0,9,x,x,x,62,64,57,66,8,12,x,x,22,30,13,x,33,22,35,40,33,27,x,x,12,12,10,13,22,15,31,18,0,0,0,0,4,x,x,x,194,60,x,62,x,x,0,x,8,x,x,x,x,x,x,x,92,90,x,91,x,x,0,x,4,x,x,x,x,x,x,x
42,E08000033,LA,381,Calderdale,77,30,24,23,x,x,13,x,x,x,x,x,12,x,x,x,13,x,x,x,38,16,11,11,13,6,x,x,14,x,x,x,11,x,x,x,x,x,0,x,x,x,54,x,14,x,x,x,16,x,x,x,17,x,x,x,49,53,46,48,17,20,x,x,18,x,x,x,14,x,x,x,x,x,0,x,66,x,x,17,x,x,x,0,x,x,0,0,x,0,x,6,86,x,x,74,x,x,x,0,x,x,0,0,x,0,x,26
46,E08000034,LA,382,Kirklees,196,74,64,58,x,35,x,28,x,x,x,x,36,16,10,x,40,x,12,13,104,39,37,x,38,x,x,13,53,23,20,10,13,x,x,x,x,0,x,x,x,47,x,48,7,x,x,x,18,22,16,x,20,x,19,22,53,53,58,x,19,x,x,22,27,31,31,17,7,x,x,x,x,0,x,x,x,74,x,x,x,0,0,x,0,0,0,0,x,0,x,x,x,100,x,x,x,0,0,x,0,0,0,0,x,0,x,x
47,E08000035,LA,383,Leeds,345,123,106,116,163,68,52,43,28,x,14,x,50,x,17,6,85,36,21,28,162,x,48,64,40,13,13,14,90,32,23,35,32,x,x,15,20,x,x,9,47,55,49,37,8,x,13,x,14,x,16,5,25,29,20,24,47,x,45,55,12,11,12,12,26,26,22,30,9,x,x,13,6,x,x,8,325,x,100,107,x,0,0,x,0,0,0,0,x,x,6,x,94,x,94,92,x,0,0,x,0,0,0,0,x,x,6,x
53,E08000036,LA,384,Wakefield,146,53,48,45,107,38,41,28,9,x,x,x,70,28,25,17,28,x,x,x,27,x,x,10,x,x,x,x,14,6,x,x,x,x,0,x,12,x,x,x,73,72,85,62,6,x,x,x,48,53,52,38,19,x,x,x,18,x,x,22,x,x,x,x,10,11,x,x,x,x,0,x,8,x,x,x,128,46,x,36,x,x,0,0,0,0,0,0,x,x,x,9,88,87,x,80,x,x,0,0,0,0,0,0,x,x,x,20
5,E08000037,LA,390,Gateshead,118,43,39,36,55,23,19,x,10,x,x,x,16,x,x,0,29,11,8,10,48,x,12,18,9,x,x,x,29,16,x,x,10,x,x,x,15,x,8,x,47,53,49,x,8,x,x,x,14,x,x,0,25,26,21,28,41,x,31,50,8,x,x,x,25,37,x,x,8,x,x,x,13,x,21,x,101,x,30,30,x,0,x,x,0,0,0,0,x,x,x,x,86,x,77,83,x,0,x,x,0,0,0,0,x,x,x,x
8,E08000021,LA,391,Newcastle upon Tyne,217,62,80,75,101,37,x,x,9,x,0,x,29,x,11,x,63,21,19,23,105,x,47,37,39,x,23,x,51,14,x,18,15,x,x,8,11,x,x,x,47,60,x,x,4,x,0,x,13,x,14,x,29,34,24,31,48,x,59,49,18,x,29,x,24,23,x,24,7,x,x,11,5,x,x,x,206,x,x,x,x,0,x,0,x,0,0,x,x,x,x,x,95,x,x,x,x,0,x,0,x,0,0,x,x,x,x,x
9,E08000022,LA,392,North Tyneside,100,38,40,22,58,23,25,10,x,0,x,x,x,12,x,x,30,11,12,x,33,x,x,x,6,x,x,x,21,10,x,x,6,x,x,x,9,x,x,x,58,61,63,45,x,0,x,x,x,32,x,x,30,29,30,x,33,x,x,x,6,x,x,x,21,26,x,x,6,x,x,x,9,x,x,x,91,x,x,x,0,0,0,0,9,x,x,x,0,0,0,0,91,x,x,x,0,0,0,0,9,x,x,x,0,0,0,0
12,E08000023,LA,393,South Tyneside,83,25,31,27,44,14,16,14,x,x,x,x,x,x,x,x,32,x,x,x,39,11,15,13,19,x,7,x,11,x,x,x,9,x,x,x,0,0,0,0,53,56,52,52,x,x,x,x,x,x,x,x,39,x,x,x,47,44,48,48,23,x,23,x,13,x,x,x,11,x,x,x,0,0,0,0,83,25,31,27,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
14,E08000024,LA,394,Sunderland,151,63,53,35,82,36,27,19,8,x,x,x,22,x,x,0,52,17,17,x,69,27,26,16,18,x,7,x,33,17,x,x,18,x,8,x,0,0,0,0,54,57,51,54,5,x,x,x,15,x,x,0,34,27,32,x,46,43,49,46,12,x,13,x,22,27,x,x,12,x,15,x,0,0,0,0,151,63,53,35,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
149,E06000022,LA,800,Bath and North East Somerset,66,28,22,16,43,21,13,9,6,x,x,x,8,x,x,x,29,15,x,x,x,x,9,x,x,x,x,x,10,x,x,x,6,x,x,x,x,x,0,x,65,75,59,56,9,x,x,x,12,x,x,x,44,54,x,x,x,x,41,x,x,x,x,x,15,x,x,x,9,x,x,x,x,x,0,x,x,x,22,x,0,0,0,0,0,0,0,0,x,x,0,x,x,x,100,x,0,0,0,0,0,0,0,0,x,x,0,x
151,E06000023,LA,801,"Bristol, City of",307,94,109,104,170,59,56,55,25,x,x,13,69,40,17,12,76,x,29,30,130,x,x,x,54,11,20,23,43,15,20,8,33,7,12,14,7,x,x,x,55,63,51,53,8,x,x,13,22,43,16,12,25,x,27,29,42,x,x,x,18,12,18,22,14,16,18,8,11,7,11,13,2,x,x,x,300,x,x,x,0,0,0,0,x,0,0,x,x,x,x,x,98,x,x,x,0,0,0,0,x,0,0,x,x,x,x,x
157,E06000024,LA,802,North Somerset,105,35,34,36,x,19,17,14,x,x,x,0,19,10,x,x,28,x,10,x,54,x,17,22,20,x,x,x,25,6,9,10,9,x,x,x,x,x,0,0,x,54,50,39,x,x,x,0,18,29,x,x,27,x,29,x,51,x,50,61,19,x,x,x,24,17,26,28,9,x,x,x,x,x,0,0,98,x,x,x,x,0,0,x,0,0,0,0,x,x,x,x,93,x,x,x,x,0,0,x,0,0,0,0,x,x,x,x
161,E06000025,LA,803,South Gloucestershire,112,34,45,33,72,21,28,23,x,0,x,x,x,11,x,x,45,10,19,16,32,x,x,x,11,x,x,x,11,x,x,x,10,x,x,x,8,x,x,x,64,62,62,70,x,0,x,x,x,32,x,x,40,29,42,48,29,x,x,x,10,x,x,x,10,x,x,x,9,x,x,x,7,x,x,x,104,x,x,x,x,x,0,0,0,0,0,0,x,x,x,x,93,x,x,x,x,x,0,0,0,0,0,0,x,x,x,x
6,E06000001,LA,805,Hartlepool,63,18,23,22,31,x,16,8,x,x,x,0,x,x,x,x,18,x,9,x,x,10,7,14,x,x,x,x,20,x,x,x,6,x,x,x,x,x,0,0,49,x,70,36,x,x,x,0,x,x,x,x,29,x,39,x,x,56,30,64,x,x,x,x,32,x,x,x,10,x,x,x,x,x,0,0,x,x,23,22,0,0,0,0,x,x,0,0,x,x,0,0,x,x,100,100,0,0,0,0,x,x,0,0,x,x,0,0
7,E06000002,LA,806,Middlesbrough,121,43,34,44,44,x,x,x,6,x,x,x,12,6,x,x,26,9,7,10,70,25,17,28,13,x,x,7,41,18,8,15,16,x,x,6,7,x,x,x,36,x,x,x,5,x,x,x,10,14,x,x,21,21,21,23,58,58,50,64,11,x,x,16,34,42,24,34,13,x,x,14,6,x,x,x,111,x,x,37,x,x,0,x,x,0,x,x,x,0,0,x,92,x,x,84,x,x,0,x,x,0,x,x,x,0,0,x
11,E06000003,LA,807,Redcar and Cleveland,51,19,14,18,34,x,x,11,6,x,x,x,8,x,x,0,20,7,x,x,17,x,x,7,x,x,x,x,10,x,x,x,x,0,x,0,0,0,0,0,67,x,x,61,12,x,x,x,16,x,x,0,39,37,x,x,33,x,x,39,x,x,x,x,20,x,x,x,x,0,x,0,0,0,0,0,51,19,14,18,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
13,E06000004,LA,808,Stockton-on-Tees,114,39,46,29,x,20,x,13,x,x,x,x,15,x,7,x,25,11,x,x,59,19,24,16,18,x,x,x,29,10,12,7,12,x,x,x,x,0,x,0,x,51,x,45,11,x,x,x,13,x,15,x,22,28,x,x,52,49,52,55,16,x,x,x,25,26,26,24,11,x,x,x,x,0,x,0,108,x,x,x,0,0,0,0,0,0,0,0,6,x,x,x,95,x,x,x,0,0,0,0,0,0,0,0,5,x,x,x
45,E06000010,LA,810,"Kingston Upon Hull, City of",185,68,63,54,90,42,x,x,13,x,x,x,22,x,8,x,55,26,11,18,84,x,35,26,27,7,9,11,42,12,20,x,15,x,6,x,11,x,x,x,49,62,x,x,7,x,x,x,12,x,13,x,30,38,17,33,45,x,56,48,15,10,14,20,23,18,32,x,8,x,10,x,6,x,x,x,169,x,54,x,x,0,x,0,0,0,0,0,x,x,x,x,91,x,86,x,x,0,x,0,0,0,0,0,x,x,x,x
44,E06000011,LA,811,East Riding of Yorkshire,99,38,28,33,65,29,18,18,x,x,0,x,x,x,x,x,45,16,x,x,34,9,10,15,11,x,x,x,13,x,x,x,10,x,x,x,0,0,0,0,66,76,64,55,x,x,0,x,x,x,x,x,45,42,x,x,34,24,36,45,11,x,x,x,13,x,x,x,10,x,x,x,0,0,0,0,99,38,28,33,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
48,E06000012,LA,812,North East Lincolnshire,71,28,19,24,31,15,9,x,x,0,x,0,x,8,0,x,19,7,x,6,34,x,x,16,x,0,0,x,x,9,7,x,x,x,x,0,6,x,x,x,44,54,47,x,x,0,x,0,x,29,0,x,27,25,x,25,48,x,x,67,x,0,0,x,x,32,37,x,x,x,x,0,8,x,x,x,65,x,x,x,0,0,0,0,0,0,0,0,6,x,x,x,92,x,x,x,0,0,0,0,0,0,0,0,8,x,x,x
