LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2014,CLA_Mar2015,CLA_Mar2016,CLA_Mar2017,CLA_Mar2018,CLA_Pop2014,CLA_Pop2015,CLA_Pop2016,CLA_Pop2017,CLA_Pop2018,CLA_Rate2014,CLA_Rate2015,CLA_Rate2016,CLA_Rate2017,CLA_Rate2018,CLA_2014,CLA_2015,CLA_2016,CLA_2017,CLA_2018,CLA_stp2014,CLA_stp2015,CLA_stp2016,CLA_stp2017,CLA_stp2018,CLA_male,CLA_female,CLA_male_pc,CLA_female_pc,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_U1_pc,CLA_1to4_pc,CLA_5to9_pc,CLA_10to15_pc,CLA_16over_pc,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_White_pc,CLA_Mixed_pc,CLA_Asian_pc,CLA_Black_pc,CLA_EOTH_pc,CLA_Oth_pc,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_Fost_pc,CLA_Adopt_pc,CLA_Parent_pc,CLA_Ocom_pc,CLA_Secure_pc,CLA_Ores_pc,CLA_RSch_pc,CLA_Oth_Pl_pc,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_ICO_pc,CLA_FCO_pc,CLA_FrAd_pc,CLA_PlaceO_pc,CLA_S20_pc,CLA_CPG_pc,CLA_YJLS_pc,CLA_UASC2014,CLA_UASC2015,CLA_UASC2016,CLA_UASC2017,CLA_UASC2018,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_LTE20,CLA_GT20,CLA_NoInfo,CLA_InLA,CLA_OutLA,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_LTE20_pc,CLA_GT20_pc,CLA_NoInfo_pc,CLA_InLA_pc,CLA_OutLA_pc,CLA_InLA_LTE20_pc,CLA_OutLA_LTE20_pc,CLA_InLA_GT20_pc,CLA_OutLA_GT20_pc,CLA_InLA_NoInfo_pc,CLA_OutLA_NoInfo_pc,CLA_IntPl_pc,CLA_ExtPl_pc,CLA_3_Pl,CLA_3_Pl_pc,CLA_2andhalfyears,CLA_SamePl_2years,CLA_SamePl_2years_pc,CLA_NewPl_All_Place,CLA_NewPl_InLA_LTE20,CLA_NewPl_OutLA_LTE20,CLA_NewPl_InLA_GT20,CLA_NewPl_OutLA_GT20,CLA_NewPl_NoInfo,CLA_NewPl_InLA_LTE20_pc,CLA_NewPl_OutLA_LTE20_pc,CLA_NewPl_InLA_GT20_pc,CLA_NewPl_OutLA_GT20_pc,CLA_NewPl_NoInfo_pc,CLA_RPC_All_Place,CLA_RPC_CarePlan,CLA_RPC_Resign,CLA_RPC_Alleg,CLA_RPC_Standards,CLA_RPC_Approval,CLA_RPC_CarerBehav,CLA_RPC_CarerOther,CLA_RPC_Child,CLA_RPC_Auth,CLA_RPC_Status,CLA_RPC_Other,CLA_RPC_CarePlan_pc,CLA_RPC_Resign_pc,CLA_RPC_Alleg_pc,CLA_RPC_Standards_pc,CLA_RPC_Approval_pc,CLA_RPC_CarerBehav_pc,CLA_RPC_CarerOther_pc,CLA_RPC_Child_pc,CLA_RPC_Auth_pc,CLA_RPC_Status_pc,CLA_RPC_Other_pc
128,E12000008,REGION,J,SOUTH EAST,8950,9310,9870,9830,10000,1890530,1904420,1918620,1934340,1943860,47,49,51,51,51,12790,13190,14310,14290,14120,370,270,230,160,130,5760,4240,58,42,500,1120,1780,4050,2560,5,11,18,40,26,7790,840,330,480,470,80,78,8,3,5,5,1,7370,340,470,400,1280,100,30,20,74,3,5,4,13,1,-,-,1380,5390,0,800,2400,10,30,14,54,0,8,24,-,-,450,680,1360,1080,850,5440,100,40,3400,530,470,20,6540,2450,1010,6240,3760,5100,1440,680,1770,460,560,10550,6230,4310,550,65,25,10,62,38,51,14,7,18,5,6,59,41,1190,12,3080,2100,68,11890,5630,1630,1000,2090,1550,47,14,8,18,13,7640,3190,90,70,90,20,1000,470,350,290,700,1380,42,1,1,1,-,13,6,5,4,9,18
148,E12000009,REGION,K,SOUTH WEST,5450,5550,5710,5800,6020,1069620,1076540,1082150,1090900,1096480,51,52,53,53,55,8210,8180,8390,8360,8400,560,450,350,290,250,3370,2650,56,44,360,650,1070,2490,1470,6,11,18,41,24,5120,370,130,190,170,60,85,6,2,3,3,1,4590,190,200,230,640,150,10,20,76,3,3,4,11,3,-,-,870,3220,0,510,1420,x,x,14,53,0,8,24,x,x,40,50,100,240,280,3370,120,20,1950,350,200,20,4030,1590,410,3950,2070,3290,740,500,1080,170,240,5920,3950,1970,-100,67,26,7,66,34,55,12,8,18,3,4,67,33,720,12,1790,1210,68,7540,4010,940,660,1380,560,53,12,9,18,7,5170,1610,40,40,50,x,520,280,220,90,620,1700,31,1,1,1,x,10,5,4,2,12,33
95,E09000001,LA,201,City of London,7,8,11,12,10,739,866,1018,1104,1254,95,92,108,109,80,11,11,17,17,26,0,0,0,0,0,10,0,100,0,0,0,0,x,x,0,0,0,x,x,0,0,x,x,x,0,0,0,x,x,x,0,x,0,0,x,0,0,0,0,x,0,0,x,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,100,0,0,x,x,10,11,10,0,0,0,9,x,0,0,0,0,10,0,10,0,0,0,0,0,10,0,0,0,-10,0,0,100,0,100,0,0,0,0,0,100,0,0,x,x,x,0,0,30,0,0,0,0,30,0,0,0,0,100,16,x,0,x,x,0,x,x,x,x,0,0,x,0,x,x,0,x,x,x,x,0,0
94,E09000007,LA,202,Camden,225,188,188,198,199,42477,44228,46242,47906,49173,53,43,41,41,40,378,303,283,291,302,0,0,0,0,0,136,63,68,32,10,9,14,72,94,5,5,7,36,47,68,26,19,65,21,0,34,13,10,33,11,0,110,x,x,0,78,x,0,0,55,x,x,0,39,x,0,0,14,86,0,x,88,0,x,7,43,0,x,44,0,x,11,9,22,45,58,77,10,x,91,15,x,0,108,33,58,83,116,49,59,0,33,34,24,141,83,58,-58,54,17,29,42,58,25,30,0,17,17,12,59,41,15,8,43,32,74,182,45,54,0,16,67,25,30,0,9,37,77,57,0,0,0,0,x,x,7,0,x,x,74,0,0,0,0,x,x,9,0,x,x
117,E09000011,LA,203,Greenwich,540,518,518,493,492,63776,64766,66010,67291,68262,85,80,78,73,72,833,792,741,750,719,x,7,6,x,x,269,223,55,45,22,32,92,208,138,4,7,19,42,28,256,100,9,111,16,0,52,20,2,23,3,0,381,11,15,0,79,x,0,x,77,2,3,0,16,x,0,x,39,336,0,x,87,0,x,8,68,0,x,18,0,x,12,18,22,22,17,161,7,x,267,36,15,x,331,145,16,130,362,119,212,0,145,11,x,268,130,138,-224,67,29,3,26,74,24,43,0,29,2,x,49,51,46,9,188,151,80,564,205,213,0,124,22,36,38,0,22,4,317,183,0,x,x,0,49,30,10,6,20,10,58,0,x,x,0,15,9,3,2,6,3
96,E09000012,LA,204,Hackney,340,340,328,368,381,58990,59972,61120,62355,63048,58,57,54,59,60,492,498,523,567,574,x,x,x,0,0,204,177,54,46,25,28,63,144,121,7,7,17,38,32,103,92,x,146,17,x,27,24,x,38,4,x,280,7,14,0,63,17,0,0,73,2,4,0,17,4,0,0,63,195,0,18,93,0,12,17,51,0,5,24,0,3,16,16,26,30,27,125,x,14,204,22,14,0,291,63,27,86,295,79,212,0,63,7,20,186,86,100,-195,76,17,7,23,77,21,56,0,17,2,5,46,54,43,11,101,63,62,530,110,292,0,81,47,21,55,0,15,9,267,77,12,8,x,0,87,17,x,18,16,22,29,4,3,x,0,33,6,x,7,6,8
97,E09000013,LA,205,Hammersmith and Fulham,204,185,198,221,230,33533,33966,34398,35041,35928,61,54,58,63,64,354,299,303,317,332,7,x,x,x,x,141,89,61,39,9,12,28,92,89,4,5,12,40,39,54,43,x,94,21,x,23,19,x,41,9,x,165,0,11,25,18,11,0,0,72,0,5,11,8,5,0,0,x,100,0,0,99,0,x,x,43,0,0,43,0,x,10,22,26,39,33,165,x,x,40,9,11,0,159,37,34,57,173,53,106,0,37,x,30,82,57,25,-148,69,16,15,25,75,23,46,0,16,x,13,70,30,25,11,51,34,67,244,50,133,0,27,34,20,55,0,11,14,138,26,x,0,0,x,19,x,18,x,17,51,19,x,0,0,x,14,x,13,x,12,37
99,E09000019,LA,206,Islington,305,350,353,340,339,38397,39137,40109,40741,41416,79,89,88,83,82,460,516,554,549,519,0,0,0,0,0,203,136,60,40,14,31,41,134,119,4,9,12,40,35,139,93,x,85,10,x,41,27,x,25,3,x,248,7,7,x,55,15,x,0,73,2,2,x,16,4,x,0,51,172,0,17,91,0,8,15,51,0,5,27,0,2,30,50,58,52,41,172,x,9,131,18,7,0,215,78,46,109,230,99,116,0,78,10,36,169,109,60,-170,63,23,14,32,68,29,34,0,23,3,11,64,36,43,13,86,54,63,416,106,174,0,76,60,25,42,0,18,14,284,169,x,x,0,0,x,7,13,x,29,59,60,x,x,0,0,x,2,5,x,10,21
100,E09000020,LA,207,Kensington and Chelsea,97,105,105,82,87,27454,27861,28328,28374,28475,35,38,37,29,31,171,167,179,159,160,x,x,x,x,0,53,34,61,39,x,0,x,29,48,x,0,x,33,55,17,25,x,33,6,x,20,29,x,38,7,x,55,x,x,0,23,x,x,0,63,x,x,0,26,x,x,0,x,32,0,x,43,0,x,x,37,0,x,49,0,x,13,28,33,20,21,48,x,x,23,x,x,0,52,13,22,22,65,17,35,0,13,x,17,73,22,51,-14,60,15,25,25,75,20,40,0,15,x,20,30,70,7,8,15,12,80,138,32,63,0,15,28,23,46,0,11,20,54,15,0,x,x,0,10,x,x,x,x,10,28,0,x,x,0,19,x,x,x,x,19
101,E09000022,LA,208,Lambeth,529,484,460,414,410,61888,62115,62418,62422,62632,85,78,74,66,65,823,788,726,625,606,0,0,0,0,0,247,163,60,40,18,22,50,163,157,4,5,12,40,38,69,80,13,222,26,0,17,20,3,54,6,0,298,8,12,22,45,25,0,0,73,2,3,5,11,6,0,0,39,238,0,19,106,0,8,10,58,0,5,26,0,2,22,15,22,40,50,107,x,9,252,27,12,0,288,73,49,114,296,97,191,0,73,17,32,324,114,210,-86,70,18,12,28,72,24,47,0,18,4,8,35,65,26,6,136,101,74,368,71,186,0,66,45,19,51,0,18,12,187,24,x,x,x,x,28,10,14,x,16,83,13,x,x,x,x,15,5,7,x,9,44
