LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_19to21,CL_All_19,CL_All_20,CL_All_21,CL_Acc_Total_SUIT19to21,CL_Acc_Total_SUIT19,CL_Acc_Total_SUIT20,CL_Acc_Total_SUIT21,CL_Acc_SUIT19to21,CL_Acc_SUIT19,CL_Acc_SUIT20,CL_Acc_SUIT21,CL_Acc_NotSUIT19to21,CL_Acc_NotSUIT19,CL_Acc_NotSUIT20,CL_Acc_NotSUIT21,CL_Acc_NoSUITInfo19to21,CL_Acc_NoSUITInfo19,CL_Acc_NoSUITInfo20,CL_Acc_NoSUITInfo21,CL_Acc_SUIT19to21_pc,CL_Acc_SUIT19_pc,CL_Acc_SUIT20_pc,CL_Acc_SUIT21_pc,CL_Acc_NotSUIT19to21_pc,CL_Acc_NotSUIT19_pc,CL_Acc_NotSUIT20_pc,CL_Acc_NotSUIT21_pc,CL_Acc_NoSUITInfo19to21_pc,CL_Acc_NoSUITInfo19_pc,CL_Acc_NoSUITInfo20_pc,CL_Acc_NoSUITInfo21_pc,CL_Acc_P19to21,CL_Acc_P19,CL_Acc_P20,CL_Acc_P21,CL_Acc_CH19to21,CL_Acc_CH19,CL_Acc_CH20,CL_Acc_CH21,CL_Acc_SITA19to21,CL_Acc_SITA19,CL_Acc_SITA20,CL_Acc_SITA21,CL_Acc_SL19to21,CL_Acc_SL19,CL_Acc_SL20,CL_Acc_SL21,CL_Acc_GA19to21,CL_Acc_GA19,CL_Acc_GA20,CL_Acc_GA21,CL_Acc_Dep19to21,CL_Acc_Dep19,CL_Acc_Dep20,CL_Acc_Dep21,CL_Acc_OL19to21,CL_Acc_OL19,CL_Acc_OL20,CL_Acc_OL21,CL_Acc_NK19to21,CL_Acc_NK19,CL_Acc_NK20,CL_Acc_NK21,CL_Acc_NFA19to21,CL_Acc_NFA19,CL_Acc_NFA20,CL_Acc_NFA21,CL_Acc_F19to21,CL_Acc_F19,CL_Acc_F20,CL_Acc_F21,CL_Acc_IL19to21,CL_Acc_IL19,CL_Acc_IL20,CL_Acc_IL21,CL_Acc_EA19to21,CL_Acc_EA19,CL_Acc_EA20,CL_Acc_EA21,CL_Acc_BB19to21,CL_Acc_BB19,CL_Acc_BB20,CL_Acc_BB21,CL_Acc_Cust19to21,CL_Acc_Cust19,CL_Acc_Cust20,CL_Acc_Cust21,CL_Acc_FFC19to21,CL_Acc_FFC19,CL_Acc_FFC20,CL_Acc_FFC21,CL_Acc_OTH19to21,CL_Acc_OTH19,CL_Acc_OTH20,CL_Acc_OTH21,CL_Acc_NoInf19to21,CL_Acc_NoInf19,CL_Acc_NoInf20,CL_Acc_NoInf21,CL_Acc_P19to21_pc,CL_Acc_P19_pc,CL_Acc_P20_pc,CL_Acc_P21_pc,CL_Acc_CH19to21_pc,CL_Acc_CH19_pc,CL_Acc_CH20_pc,CL_Acc_CH21_pc,CL_Acc_SITA19to21_pc,CL_Acc_SITA19_pc,CL_Acc_SITA20_pc,CL_Acc_SITA21_pc,CL_Acc_SL19to21_pc,CL_Acc_SL19_pc,CL_Acc_SL20_pc,CL_Acc_SL21_pc,CL_Acc_GA19to21_pc,CL_Acc_GA19_pc,CL_Acc_GA20_pc,CL_Acc_GA21_pc,CL_Acc_Dep19to21_pc,CL_Acc_Dep19_pc,CL_Acc_Dep20_pc,CL_Acc_Dep21_pc,CL_Acc_OL19to21_pc,CL_Acc_OL19_pc,CL_Acc_OL20_pc,CL_Acc_OL21_pc,CL_Acc_NK19to21_pc,CL_Acc_NK19_pc,CL_Acc_NK20_pc,CL_Acc_NK21_pc,CL_Acc_NFA19to21_pc,CL_Acc_NFA19_pc,CL_Acc_NFA20_pc,CL_Acc_NFA21_pc,CL_Acc_F19to21_pc,CL_Acc_F19_pc,CL_Acc_F20_pc,CL_Acc_F21_pc,CL_Acc_IL19to21_pc,CL_Acc_IL19_pc,CL_Acc_IL20_pc,CL_Acc_IL21_pc,CL_Acc_EA19to21_pc,CL_Acc_EA19_pc,CL_Acc_EA20_pc,CL_Acc_EA21_pc,CL_Acc_BB19to21_pc,CL_Acc_BB19_pc,CL_Acc_BB20_pc,CL_Acc_BB21_pc,CL_Acc_Cust19to21_pc,CL_Acc_Cust19_pc,CL_Acc_Cust20_pc,CL_Acc_Cust21_pc,CL_Acc_FFC19to21_pc,CL_Acc_FFC19_pc,CL_Acc_FFC20_pc,CL_Acc_FFC21_pc,CL_Acc_OTH19to21_pc,CL_Acc_OTH19_pc,CL_Acc_OTH20_pc,CL_Acc_OTH21_pc,CL_Acc_NoInf19to21_pc,CL_Acc_NoInf19_pc,CL_Acc_NoInf20_pc,CL_Acc_NoInf21_pc,CL_Stayput_19&20,CL_Stayput_19,CL_Stayput_20,CL_Stayput_FFC_19&20,CL_Stayput_FFC_19,CL_Stayput_FFC_20,CL_Stayput_FFC_19&20_pc,CL_Stayput_FFC_19_pc,CL_Stayput_FFC_20_pc
128,E12000008,REGION,J,SOUTH EAST,4400,1680,1460,1260,4340,1660,1440,1240,3470,1390,1160,920,250,80,80,90,620,190,200,230,80,84,80,74,6,5,6,7,14,11,14,19,500,190,180,130,190,70,60,70,460,240,140,80,220,110,70,40,x,x,x,x,x,x,x,x,100,40,30,30,50,20,20,20,40,20,10,10,170,70,70,30,1550,530,510,500,20,10,10,10,20,x,10,10,110,40,40,40,220,110,80,30,110,40,30,50,620,190,200,230,11,11,12,10,4,4,4,5,10,14,10,6,5,7,5,3,x,x,x,x,x,x,x,x,2,3,2,2,1,1,1,1,1,1,1,1,4,4,5,3,35,32,35,40,1,-,1,-,1,x,1,-,3,2,3,3,5,7,5,2,2,2,2,4,14,11,14,18,1000,510,490,170,100,70,17,20,15
148,E12000009,REGION,K,SOUTH WEST,2510,800,850,850,2500,800,850,850,2180,720,750,710,150,40,50,60,170,40,50,80,87,90,88,84,6,5,6,7,7,5,6,9,310,130,90,100,120,40,40,40,290,120,90,80,110,50,30,30,x,x,0,0,x,0,x,0,50,10,20,20,x,0,x,x,30,10,10,10,100,40,30,30,920,200,340,380,20,x,10,x,10,x,x,x,60,10,20,30,220,110,70,40,110,30,40,30,170,40,50,80,12,16,10,11,5,5,5,4,12,15,10,10,4,6,4,3,x,x,0,0,x,0,x,0,2,1,3,2,x,0,x,x,1,2,2,1,4,5,4,3,37,25,40,44,1,x,1,x,-,x,x,x,2,2,2,3,9,13,9,5,4,4,5,4,7,5,6,9,620,290,330,170,100,70,27,35,20
95,E09000001,LA,201,City of London,9,x,x,x,8,x,x,x,x,x,x,x,0,0,0,0,x,0,x,0,x,x,x,x,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,x,0,x,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,x,0,x,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,6,x,x,0,0,0,0,0,0
94,E09000007,LA,202,Camden,148,50,45,53,148,50,45,53,131,x,37,45,7,x,x,x,10,0,x,x,89,x,82,85,5,x,x,x,7,0,x,x,19,x,6,8,x,0,x,x,78,36,25,17,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,x,10,x,0,8,0,0,0,0,0,0,0,0,7,x,x,x,0,0,0,0,15,x,x,8,10,0,x,6,13,x,13,15,x,0,x,x,53,72,56,32,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,x,7,x,0,15,0,0,0,0,0,0,0,0,5,x,x,x,0,0,0,0,10,x,x,15,7,0,x,11,17,8,9,0,0,0,0,0,0
117,E09000011,LA,203,Greenwich,218,86,60,72,216,86,60,70,188,78,48,62,15,x,x,x,13,x,x,x,87,91,80,89,7,x,x,x,6,x,x,x,25,8,11,6,12,x,x,6,55,34,14,7,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,x,x,x,0,0,11,9,0,x,70,15,16,39,0,0,0,0,0,0,0,0,13,x,9,x,8,x,x,x,x,x,x,x,13,x,x,6,11,9,18,8,6,x,x,8,25,40,23,10,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,x,x,x,0,0,5,10,0,x,32,17,27,54,0,0,0,0,0,0,0,0,6,x,15,x,4,x,x,x,x,x,x,x,6,x,x,8,59,39,20,7,x,x,12,x,x
96,E09000012,LA,204,Hackney,205,70,65,70,201,68,64,69,156,55,50,51,20,6,6,8,25,7,8,10,78,81,78,74,10,9,9,12,12,10,13,14,11,x,6,x,x,0,x,x,92,43,27,22,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,0,x,x,x,0,0,x,28,x,7,17,0,0,0,0,x,0,0,x,16,x,x,6,8,x,x,x,12,x,x,x,25,7,8,10,5,x,9,x,x,0,x,x,45,61,42,31,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x,0,x,x,x,0,0,x,14,x,11,24,0,0,0,0,x,0,0,x,8,x,x,9,4,x,x,x,6,x,x,x,12,10,12,14,47,27,20,6,x,x,13,x,x
97,E09000013,LA,205,Hammersmith and Fulham,133,51,42,40,123,49,38,36,109,x,x,29,14,x,x,7,0,0,0,0,89,x,x,81,11,x,x,19,0,0,0,0,11,7,x,x,0,0,0,0,57,29,18,10,x,x,x,0,0,0,0,0,x,x,x,x,x,x,0,0,7,x,x,x,x,0,x,x,0,0,0,0,18,0,6,12,0,0,0,0,0,0,0,0,9,x,x,x,10,x,x,x,10,x,x,x,0,0,0,0,8,14,x,x,0,0,0,0,43,57,43,25,x,x,x,0,0,0,0,0,x,x,x,x,x,x,0,0,5,x,x,x,x,0,x,x,0,0,0,0,14,0,14,30,0,0,0,0,0,0,0,0,7,x,x,x,8,x,x,x,8,x,x,x,0,0,0,0,27,16,11,6,x,x,22,x,x
99,E09000019,LA,206,Islington,264,101,97,66,245,92,89,64,204,84,80,40,41,8,9,24,0,0,0,0,83,91,90,63,17,9,10,38,0,0,0,0,19,7,8,x,x,0,x,0,60,28,23,9,x,6,x,0,0,0,0,0,0,0,0,0,85,31,35,19,19,9,8,x,x,0,0,x,0,0,0,0,12,x,0,11,0,0,0,0,0,0,0,0,19,6,6,7,18,x,x,7,21,7,8,6,0,0,0,0,7,7,8,x,x,0,x,0,23,28,24,14,x,6,x,0,0,0,0,0,0,0,0,0,32,31,36,29,7,9,8,x,x,0,0,x,0,0,0,0,5,x,0,17,0,0,0,0,0,0,0,0,7,6,6,11,7,x,x,11,8,7,8,9,0,0,0,0,70,33,37,10,x,x,14,x,x
100,E09000020,LA,207,Kensington and Chelsea,96,33,40,23,95,33,39,23,81,26,33,x,x,0,0,x,x,7,6,0,85,79,85,x,x,0,0,x,x,21,15,0,x,x,x,x,x,x,0,x,52,16,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,x,0,x,0,11,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,8,x,x,x,x,x,0,0,13,7,6,0,x,x,x,x,x,x,0,x,54,48,55,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,x,0,x,0,11,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,8,x,x,x,x,x,0,0,14,21,15,0,24,9,15,x,x,x,x,x,x
101,E09000022,LA,208,Lambeth,280,83,93,104,280,83,93,104,209,71,72,66,30,x,7,19,41,x,14,19,75,86,77,63,11,x,8,18,15,x,15,18,20,x,7,8,x,x,0,x,49,31,9,9,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,9,x,x,x,97,16,42,39,0,0,0,0,0,0,0,0,24,x,x,15,13,x,x,x,12,6,x,x,41,8,14,19,7,x,8,8,x,x,0,x,18,37,10,9,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,3,x,x,x,35,19,45,38,0,0,0,0,0,0,0,0,9,x,x,14,5,x,x,x,4,7,x,x,15,10,15,18,47,22,25,8,x,x,17,x,x
