LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2014,CLA_cease2015,CLA_cease2016,CLA_cease2017,CLA_cease2018,CEA_male,CEA_female,CEA_male_pc,CEA_female_pc,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_18over,CEA_U1_pc,CEA_1to4_pc,CEA_5to9_pc,CEA_10to15_pc,CEA_16_pc,CEA_17_pc,CEA_18over_pc,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO1,CEA_SGO2,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other,CEA_Adop_pc
129,E06000036,LA,867,Bracknell Forest,48,58,68,49,67,38,29,57,43,x,13,14,13,x,x,18,x,19,21,19,x,x,27,x,x,0,0,21,10,0,x,x,x,10,x,x,0,0,x,0,0,x
146,E06000040,LA,868,Windsor and Maidenhead,47,47,43,35,49,23,26,47,53,x,7,7,x,x,x,20,x,14,14,x,x,x,41,0,x,0,0,9,x,0,x,x,x,7,0,x,x,x,0,0,14,x
144,E06000037,LA,869,West Berkshire,68,65,69,74,86,46,40,53,47,9,19,17,12,x,x,23,10,22,20,14,x,x,27,x,0,0,0,6,13,8,9,10,10,14,x,x,x,0,x,0,0,x
140,E06000038,LA,870,Reading,95,84,123,100,93,53,40,57,43,x,18,14,19,0,x,35,x,19,15,20,0,x,38,x,x,0,0,x,x,9,x,7,7,11,x,x,0,0,x,0,32,14
141,E06000039,LA,871,Slough,105,113,154,112,112,67,45,60,40,x,23,15,24,10,x,28,x,21,13,21,9,x,25,13,0,0,0,34,x,x,x,0,14,22,x,0,x,x,x,0,13,12
147,E06000041,LA,872,Wokingham,37,39,34,31,36,21,15,58,42,x,x,6,x,0,6,15,x,x,17,x,0,17,42,x,x,0,0,6,x,x,0,x,x,x,x,x,0,0,0,0,9,x
83,E10000003,LA,873,Cambridgeshire,215,266,277,290,312,195,117,63,38,17,64,53,46,11,13,108,5,21,17,15,4,4,35,30,12,0,x,60,15,9,29,14,21,97,6,10,x,0,x,x,x,13
88,E06000031,LA,874,Peterborough,151,169,186,187,164,91,73,55,45,14,33,17,18,9,17,56,9,20,10,11,5,10,34,13,8,0,x,10,x,19,6,6,14,33,x,x,x,x,x,7,26,13
23,E06000006,LA,876,Halton,60,100,72,71,82,45,37,55,45,7,25,13,9,x,x,21,9,30,16,11,x,x,26,13,10,0,0,9,x,x,6,x,10,x,0,0,x,0,x,0,21,28
36,E06000007,LA,877,Warrington,87,109,131,127,123,61,62,50,50,10,46,27,x,x,x,27,8,37,22,x,x,x,22,x,x,0,0,36,x,x,10,7,6,x,x,0,x,0,0,0,24,20
153,E10000008,LA,878,Devon,356,354,397,350,307,176,131,57,43,33,67,45,57,13,6,86,11,22,15,19,4,2,28,36,24,0,0,81,19,9,x,14,22,18,x,8,x,x,0,0,65,20
158,E06000026,LA,879,Plymouth,184,211,189,182,190,102,88,54,46,17,49,27,22,10,13,52,9,26,14,12,5,7,27,23,14,0,0,17,14,x,6,23,15,6,x,x,x,x,0,0,59,19
163,E06000027,LA,880,Torbay,156,124,125,109,102,58,44,57,43,19,32,16,x,x,22,x,19,31,16,x,x,22,x,13,7,x,x,38,0,0,6,x,10,14,x,x,0,0,0,0,x,20
84,E10000012,LA,881,Essex,501,517,451,490,457,263,194,58,42,43,84,43,66,32,25,164,9,18,9,14,7,5,36,51,23,x,x,52,27,55,6,14,28,77,17,6,x,x,x,7,81,16
89,E06000033,LA,882,Southend-on-Sea,106,107,107,134,113,66,47,58,42,13,34,x,9,x,9,37,12,30,x,8,x,8,33,x,x,x,x,18,x,x,x,x,x,19,0,0,x,x,0,0,23,31
91,E06000034,LA,883,Thurrock,106,131,146,198,211,158,53,75,25,12,27,17,38,27,27,63,6,13,8,18,13,13,30,x,x,x,37,34,6,0,x,7,12,25,12,x,x,0,0,0,62,3
69,E06000019,LA,884,Herefordshire,98,105,103,84,99,54,45,55,45,x,24,9,14,x,8,33,x,24,9,14,x,8,33,11,8,0,0,13,10,7,x,6,x,14,x,x,x,x,0,0,24,19
79,E10000034,LA,885,Worcestershire,279,270,237,262,255,137,118,54,46,19,78,30,21,6,12,89,7,31,12,8,2,5,35,38,15,0,x,51,22,12,17,8,0,16,x,9,x,x,0,0,60,21
135,E10000016,LA,886,Kent,874,877,1073,1315,1046,745,301,71,29,58,119,76,144,123,96,430,6,11,7,14,12,9,41,60,44,0,150,146,42,66,16,10,33,290,38,11,x,7,12,x,115,10
136,E06000035,LA,887,Medway,180,195,210,187,159,80,79,50,50,19,41,29,15,x,x,41,12,26,18,9,x,x,26,11,24,0,x,42,6,12,x,6,13,35,x,0,x,x,0,0,0,22
25,E10000017,LA,888,Lancashire,553,606,598,551,648,332,316,51,49,48,192,93,88,23,24,180,7,30,14,14,4,4,28,45,42,x,6,100,15,26,19,17,104,47,11,18,x,6,8,x,176,13
16,E06000008,LA,889,Blackburn with Darwen,128,120,144,136,155,70,85,45,55,8,45,33,24,8,8,29,5,29,21,15,5,5,19,10,9,x,x,34,x,0,x,17,19,6,x,0,x,0,0,0,46,12
17,E06000009,LA,890,Blackpool,205,187,216,215,206,110,96,53,47,22,66,37,34,x,x,35,11,32,18,17,x,x,17,15,21,x,x,43,11,6,22,11,33,x,27,0,x,x,0,0,x,17
63,E10000024,LA,891,Nottinghamshire,434,383,388,347,294,170,124,58,42,27,88,28,45,11,14,81,9,30,10,15,4,5,28,45,11,x,x,82,x,7,11,24,8,77,x,x,7,0,x,0,9,19
62,E06000018,LA,892,Nottingham,249,287,256,216,217,121,96,56,44,13,45,18,30,11,19,81,6,21,8,14,5,9,37,x,x,x,x,11,x,28,7,17,8,67,x,x,9,6,0,0,17,16
71,E06000051,LA,893,Shropshire,90,94,109,117,88,47,41,53,47,6,15,x,13,8,x,35,7,17,x,15,9,x,40,6,0,0,x,30,x,x,0,x,0,x,0,0,0,0,0,0,39,7
75,E06000020,LA,894,Telford and Wrekin,121,127,109,98,118,68,50,58,42,x,42,25,23,x,x,19,x,36,21,19,x,x,16,8,24,0,0,35,x,6,6,10,0,10,0,x,0,0,0,0,10,27
20,E06000049,LA,895,Cheshire East,178,126,138,141,146,64,82,44,56,8,36,26,30,x,x,36,5,25,18,21,x,x,25,7,8,0,0,22,17,19,x,16,21,23,x,x,0,x,0,x,0,10
21,E06000050,LA,896,Cheshire West and Chester,132,147,185,181,191,102,89,53,47,17,47,23,26,11,8,59,9,25,12,14,6,4,31,x,x,0,x,41,x,x,11,16,13,x,6,x,x,x,0,0,78,5
152,E06000052,LA,908,Cornwall,291,254,259,220,230,118,112,51,49,38,60,25,36,8,14,49,17,26,11,16,3,6,21,0,25,x,0,77,x,x,13,31,8,14,x,0,0,x,0,0,47,11
22,E10000006,LA,909,Cumbria,198,216,237,264,224,124,100,55,45,13,69,49,39,7,8,39,6,31,22,17,3,4,17,28,23,0,x,47,12,0,12,x,28,9,x,10,0,0,0,0,48,23
155,E10000013,LA,916,Gloucestershire,274,251,300,288,242,136,106,56,44,19,59,39,37,9,7,72,8,24,16,15,4,3,30,x,x,0,x,43,23,x,11,21,7,25,6,7,x,0,0,0,57,16
85,E10000015,LA,919,Hertfordshire,520,515,514,492,418,237,181,57,43,23,91,40,72,21,12,159,6,22,10,17,5,3,38,39,17,0,x,47,42,11,28,34,24,66,23,21,6,x,x,x,51,13
134,E06000046,LA,921,Isle of Wight,93,79,73,76,81,36,45,44,56,7,12,10,16,0,8,28,9,15,12,20,0,10,35,x,x,0,0,18,x,x,x,x,0,x,x,0,0,0,0,0,27,16
60,E10000019,LA,925,Lincolnshire,282,331,301,279,317,194,123,61,39,30,78,57,36,13,14,89,9,25,18,11,4,4,28,11,17,x,0,53,21,18,24,26,34,46,9,6,x,x,30,x,14,9
87,E10000020,LA,926,Norfolk,465,509,416,414,431,232,199,54,46,57,96,58,70,16,22,112,13,22,13,16,4,5,26,11,60,0,0,82,10,33,25,7,59,36,x,x,6,x,6,x,82,16
61,E10000021,LA,928,Northamptonshire,368,440,504,516,413,244,169,59,41,30,102,57,54,19,13,138,7,25,14,13,5,3,33,23,39,0,x,142,0,0,x,36,x,52,10,9,x,0,x,0,85,15
10,E06000057,LA,929,Northumberland,154,115,185,228,198,98,100,49,51,11,51,43,44,x,x,34,6,26,22,22,x,x,17,x,x,0,0,69,x,21,15,30,x,10,8,7,x,0,0,0,0,15
138,E10000025,LA,931,Oxfordshire,261,249,280,286,297,160,137,54,46,30,63,40,52,13,9,90,10,21,13,18,4,3,30,21,15,0,x,85,0,15,8,36,8,34,x,x,x,x,x,0,61,12
160,E10000027,LA,933,Somerset,301,299,229,261,218,119,99,55,45,26,49,38,36,x,x,58,12,22,17,17,x,x,27,16,15,x,0,73,13,11,6,12,16,22,7,x,x,0,x,x,17,14
90,E10000029,LA,935,Suffolk,321,320,285,295,331,191,140,58,42,30,74,30,36,13,23,125,9,22,9,11,4,7,38,39,17,0,x,57,17,10,9,24,6,56,17,6,0,x,x,0,67,17
143,E10000030,LA,936,Surrey,418,374,405,419,408,239,169,59,41,32,63,43,70,10,19,171,8,15,11,17,2,5,42,19,14,x,x,69,23,0,13,16,35,59,x,31,x,0,0,0,119,8
77,E10000031,LA,937,Warwickshire,331,328,315,321,247,131,116,53,47,19,47,34,31,6,10,100,8,19,14,13,2,4,40,7,39,x,x,16,6,28,0,31,x,x,x,0,x,x,12,0,96,19
145,E10000032,LA,938,West Sussex,380,328,386,357,338,187,151,55,45,33,61,54,48,16,21,105,10,18,16,14,5,6,31,11,24,0,x,103,12,12,0,18,19,86,x,10,x,0,9,0,23,10
