LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2014,CLA_cease2015,CLA_cease2016,CLA_cease2017,CLA_cease2018,CEA_male,CEA_female,CEA_male_pc,CEA_female_pc,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_18over,CEA_U1_pc,CEA_1to4_pc,CEA_5to9_pc,CEA_10to15_pc,CEA_16_pc,CEA_17_pc,CEA_18over_pc,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO1,CEA_SGO2,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other,CEA_Adop_pc
100,E09000020,LA,207,Kensington and Chelsea,77,66,75,78,77,46,31,60,40,x,x,8,11,x,12,32,x,x,10,14,x,16,42,x,0,0,6,18,x,0,x,x,x,15,x,x,x,x,x,0,16,x
101,E09000022,LA,208,Lambeth,306,326,278,217,204,133,71,65,35,14,18,13,28,14,21,96,7,9,6,14,7,10,47,x,x,0,0,30,20,14,x,x,11,32,x,x,15,x,9,x,52,4
102,E09000023,LA,209,Lewisham,238,273,261,238,219,130,89,59,41,24,33,27,26,12,11,86,11,15,12,12,5,5,39,x,x,0,0,74,0,x,12,x,9,66,6,x,15,x,x,x,0,7
104,E09000028,LA,210,Southwark,274,284,266,250,242,146,96,60,40,22,32,28,39,21,12,88,9,13,12,16,9,5,36,6,8,x,x,47,17,85,6,17,7,28,8,0,x,x,0,x,x,6
105,E09000030,LA,211,Tower Hamlets,190,221,209,203,186,107,79,58,42,9,28,21,36,17,7,68,5,15,11,19,9,4,37,x,x,0,x,46,15,13,7,7,14,7,0,x,x,0,x,0,62,4
106,E09000032,LA,212,Wandsworth,141,140,161,146,180,101,79,56,44,13,17,20,39,7,13,71,7,9,11,22,4,7,39,x,x,0,0,43,18,11,x,6,6,x,0,x,x,x,15,0,56,5
107,E09000033,LA,213,Westminster,106,96,110,132,138,106,32,77,23,x,8,x,15,28,29,48,x,6,x,11,20,21,35,x,0,0,46,18,x,x,x,x,x,15,x,0,x,0,x,0,37,x
109,E09000002,LA,301,Barking and Dagenham,273,277,253,205,199,110,89,55,45,9,47,18,29,14,16,66,5,24,9,15,7,8,33,x,x,x,x,57,x,30,0,10,24,9,37,0,10,0,0,0,x,6
110,E09000003,LA,302,Barnet,171,183,177,179,184,113,71,61,39,13,14,22,36,9,10,80,7,8,12,20,5,5,43,x,x,0,x,21,9,8,6,9,14,46,x,6,x,x,0,0,39,7
111,E09000004,LA,303,Bexley,172,156,185,147,125,68,57,54,46,11,18,8,14,6,9,59,9,14,6,11,5,7,47,8,7,x,x,12,x,9,6,8,x,41,x,0,x,x,0,x,21,12
