LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_convicted_pc,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_submisuse_pc,OC2_subint_pc,OC2_suboffint_pc,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_immunisation_pc,OC2_teethcheck_pc,OC2_healthassmt_pc,OC2_4andunder,OC2_devassmt,OC2_devassmt_pc,OC2_5to16,OC2_SDQ,OC2_SDQ_pc,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQnormal_pc,OC2_SDQborderline_pc,OC2_SDQconcern_pc,OC2_SDQaverage
94,E09000007,LA,202,Camden,126,108,7,6,20,20,0,16,100,0,96,105,122,76,83,97,7,x,x,84,76,90,39,13,24,51,17,32,13.6
117,E09000011,LA,203,Greenwich,362,272,11,4,19,9,10,5,47,53,341,333,358,94,92,99,20,20,100,292,280,96,149,37,94,53,13,34,13
96,E09000012,LA,204,Hackney,236,178,11,6,21,11,10,9,52,48,181,193,228,77,82,97,13,13,100,188,147,78,72,18,57,49,12,39,14
97,E09000013,LA,205,Hammersmith and Fulham,147,122,0,0,7,x,0,5,x,0,125,104,134,85,71,91,8,x,x,102,90,88,82,x,x,91,x,x,2.1
99,E09000019,LA,206,Islington,216,172,8,5,20,20,0,9,100,0,209,179,215,97,83,100,20,20,100,145,141,97,72,17,52,51,12,37,13.5
100,E09000020,LA,207,Kensington and Chelsea,47,43,0,0,x,x,0,x,x,0,43,44,45,91,94,96,0,0,.,32,22,69,10,x,x,45,x,x,14.6
101,E09000022,LA,208,Lambeth,283,238,16,7,31,12,16,11,39,52,166,191,212,59,67,75,16,15,94,196,139,71,75,20,44,54,14,32,13.1
102,E09000023,LA,209,Lewisham,321,261,14,5,35,35,0,11,100,0,227,291,292,71,91,91,23,23,100,229,180,79,98,26,56,54,14,31,12.9
104,E09000028,LA,210,Southwark,347,275,7,3,21,16,x,6,76,x,246,277,314,71,80,90,11,10,91,283,237,84,116,42,79,49,18,33,13.9
105,E09000030,LA,211,Tower Hamlets,211,160,x,x,23,15,8,11,65,35,127,170,175,60,81,83,17,10,59,147,55,37,28,x,x,51,x,x,14
106,E09000032,LA,212,Wandsworth,192,135,9,7,15,6,9,8,40,60,164,169,182,85,88,95,18,18,100,143,105,73,55,13,37,52,12,35,14.3
107,E09000033,LA,213,Westminster,111,90,6,7,x,x,0,x,x,0,108,108,109,97,97,98,7,x,x,83,83,100,51,9,23,61,11,28,12.7
109,E09000002,LA,301,Barking and Dagenham,275,205,11,5,0,0,0,0,.,.,250,261,246,91,95,89,22,22,100,212,186,88,121,23,42,65,12,23,11.1
110,E09000003,LA,302,Barnet,207,172,x,x,0,0,0,0,.,.,192,179,202,93,86,98,14,14,100,135,135,100,80,16,39,59,12,29,12.5
111,E09000004,LA,303,Bexley,153,130,0,0,11,x,7,7,x,64,137,138,152,90,90,99,6,x,x,121,116,96,51,17,48,44,15,41,15
112,E09000005,LA,304,Brent,216,178,12,7,33,x,25,15,x,76,145,181,199,67,84,92,14,14,100,141,66,47,40,12,14,61,18,21,10.7
113,E09000006,LA,305,Bromley,191,144,13,9,24,10,14,13,42,58,183,168,181,96,88,95,14,14,100,153,115,75,39,16,60,34,14,52,16.7
114,E09000008,LA,306,Croydon,495,420,26,6,15,x,0,3,x,0,247,267,396,50,54,80,33,27,82,301,226,75,136,17,73,60,8,32,12.1
115,E09000009,LA,307,Ealing,237,198,8,4,18,6,9,8,33,50,221,221,235,93,93,99,14,14,100,181,145,80,79,16,50,54,11,34,12.3
116,E09000010,LA,308,Enfield,225,175,x,x,x,0,0,x,0,0,213,152,216,95,68,96,7,x,x,174,155,89,95,19,41,61,12,26,11.4
98,E09000014,LA,309,Haringey,301,230,x,x,6,x,x,2,x,x,300,256,284,100,85,94,30,26,87,229,215,94,99,30,86,46,14,40,14.4
118,E09000015,LA,310,Harrow,105,90,x,x,11,x,6,10,x,55,82,96,102,78,91,97,x,x,x,67,65,97,26,9,30,40,14,46,14.9
119,E09000016,LA,311,Havering,167,129,x,x,17,x,9,10,x,53,164,148,133,98,89,80,11,9,82,122,114,93,56,19,39,49,17,34,13.4
120,E09000017,LA,312,Hillingdon,179,147,x,x,0,0,0,0,.,.,143,161,167,80,90,93,13,13,100,125,95,76,53,10,32,56,11,34,13.2
121,E09000018,LA,313,Hounslow,163,144,x,x,7,x,0,4,x,0,135,158,145,83,97,89,10,x,x,114,114,100,51,17,46,45,15,40,14
122,E09000021,LA,314,Kingston upon Thames,84,74,6,8,6,x,x,7,x,x,76,77,82,90,92,98,0,0,.,65,56,86,25,8,23,45,14,41,14.5
123,E09000024,LA,315,Merton,88,74,x,x,8,x,x,9,x,x,78,78,86,89,89,98,7,x,x,64,42,66,x,x,19,x,x,45,15.9
103,E09000025,LA,316,Newham,248,205,x,x,0,0,0,0,.,.,102,177,182,41,71,73,17,15,88,167,107,64,71,10,26,66,9,24,11.9
124,E09000026,LA,317,Redbridge,125,92,0,0,0,0,0,0,.,.,64,102,96,51,82,77,9,x,x,91,68,75,35,14,19,51,21,28,12.9
125,E09000027,LA,318,Richmond upon Thames,63,56,x,x,x,x,0,x,x,0,54,55,54,86,87,86,x,x,x,43,38,88,x,x,19,x,x,50,14.7
126,E09000029,LA,319,Sutton,148,112,x,x,28,0,0,19,0,0,139,132,143,94,89,97,8,x,x,118,114,97,58,18,38,51,16,33,13.7
127,E09000031,LA,320,Waltham Forest,194,165,10,6,26,16,9,13,62,35,109,171,161,56,88,83,14,14,100,129,126,98,68,15,43,54,12,34,12.9
66,E08000025,LA,330,Birmingham,1390,954,48,5,38,8,27,3,21,71,1307,1316,1277,94,95,92,164,128,78,1047,958,91,535,117,306,56,12,32,12.9
67,E08000026,LA,331,Coventry,461,328,13,4,17,9,8,4,53,47,416,434,443,90,94,96,60,60,100,323,300,93,147,35,118,49,12,39,14.3
68,E08000027,LA,332,Dudley,520,325,11,3,24,12,10,5,50,42,452,416,473,87,80,91,63,63,100,403,241,60,118,30,93,49,12,39,14.1
70,E08000028,LA,333,Sandwell,478,291,7,2,x,x,x,x,x,x,425,393,438,89,82,92,71,65,92,356,356,100,182,47,127,51,13,36,13.8
72,E08000029,LA,334,Solihull,270,183,6,3,12,x,6,4,x,50,259,259,265,96,96,98,25,25,100,208,145,70,74,23,48,51,16,33,13.6
76,E08000030,LA,335,Walsall,488,280,x,x,15,12,x,3,80,x,407,419,375,83,86,77,82,53,65,368,364,99,180,33,151,49,9,41,14.2
78,E08000031,LA,336,Wolverhampton,509,333,8,2,0,0,0,0,.,.,380,441,448,75,87,88,54,49,91,423,395,93,210,49,136,53,12,34,13.7
24,E08000011,LA,340,Knowsley,218,139,9,6,x,0,0,x,0,0,208,208,218,95,95,100,26,21,81,166,166,100,105,17,44,63,10,27,11.3
26,E08000012,LA,341,Liverpool,857,512,26,5,14,x,13,2,x,93,663,577,790,77,67,92,133,123,92,640,462,72,252,56,154,55,12,33,13
32,E08000013,LA,342,St. Helens,349,203,11,5,11,7,x,3,64,x,347,313,311,99,90,89,47,46,98,267,162,61,104,10,48,64,6,30,12.1
31,E08000014,LA,343,Sefton,334,200,10,5,x,0,0,x,0,0,285,280,294,85,84,88,50,40,80,243,170,70,106,17,47,62,10,28,11.2
38,E08000015,LA,344,Wirral,597,361,10,3,6,x,0,1,x,0,540,535,485,90,90,81,97,86,89,448,438,98,258,48,132,59,11,30,12.5
18,E08000001,LA,350,Bolton,445,252,6,2,x,x,x,x,x,x,438,426,424,98,96,95,75,73,97,341,270,79,139,35,96,51,13,36,13.7
19,E08000002,LA,351,Bury,249,161,11,7,8,x,x,3,x,x,249,227,233,100,91,94,36,36,100,184,141,77,79,23,39,56,16,28,12.7
27,E08000003,LA,352,Manchester,879,634,28,4,76,52,18,9,68,24,771,833,781,88,95,89,69,69,100,713,625,88,336,78,211,54,12,34,13
28,E08000004,LA,353,Oldham,387,231,9,4,20,16,x,5,80,x,344,351,351,89,91,91,70,45,64,279,190,68,96,17,77,51,9,41,14.6
29,E08000005,LA,354,Rochdale,349,234,11,5,x,x,x,x,x,x,344,308,339,99,88,97,43,43,100,275,208,76,135,29,44,65,14,21,11.7
