LA_order,New_geog_code,geog_l,geog_c,geog_n,Miss_Miss_DuringYear,Miss_Miss_DuringYear_pc,Miss_Miss_Incs,Miss_Miss_Incs_av,Miss_Miss_MoreOnce,Miss_Miss_31Mar,Miss_Away_DuringYear,Miss_Away_DuringYear_pc,Miss_Away_Incs,Miss_Away_Incs_av,Miss_Away_MoreOnce,Miss_Away_31Mar
6,E06000001,LA,805,Hartlepool,41,12,246,6,29,x,15,4,30,2,x,0
7,E06000002,LA,806,Middlesbrough,62,10,594,9.6,44,x,16,3,36,2.3,9,x
11,E06000003,LA,807,Redcar and Cleveland,43,12,179,4.2,28,0,15,4,19,1.3,x,0
13,E06000004,LA,808,Stockton-on-Tees,51,9,436,8.5,35,0,8,1,15,1.9,x,0
45,E06000010,LA,810,"Kingston Upon Hull, City of",82,8,648,7.9,52,x,46,5,125,2.7,21,x
44,E06000011,LA,811,East Riding of Yorkshire,48,12,258,5.4,23,0,0,0,0,0,0,0
48,E06000012,LA,812,North East Lincolnshire,40,9,218,5.5,31,x,x,1,x,1,0,0
49,E06000013,LA,813,North Lincolnshire,43,14,309,7.2,29,x,0,0,0,0,0,0
50,E10000023,LA,815,North Yorkshire,77,13,547,7.1,48,x,8,1,10,1.3,x,0
54,E06000014,LA,816,York,34,13,247,7.3,20,x,x,2,8,1.6,x,0
86,E06000032,LA,821,Luton,85,15,553,6.5,58,x,0,0,0,0,0,0
81,E06000055,LA,822,Bedford,59,16,663,11.2,44,x,0,0,0,0,0,0
82,E06000056,LA,823,Central Bedfordshire,42,10,175,4.2,23,x,x,1,13,2.6,x,0
131,E10000002,LA,825,Buckinghamshire,80,12,475,5.9,48,x,40,6,127,3.2,23,x
137,E06000042,LA,826,Milton Keynes,69,13,389,5.6,42,x,43,8,85,2,19,0
57,E10000007,LA,830,Derbyshire,38,4,102,2.7,14,0,54,6,158,2.9,28,x
56,E06000015,LA,831,Derby,53,7,386,7.3,33,0,43,6,344,8,30,x
154,E10000009,LA,835,Dorset,73,11,319,4.4,50,x,x,-,x,1.3,x,0
159,E06000029,LA,836,Poole,54,20,337,6.2,23,6,x,1,6,1.5,x,0
150,E06000028,LA,837,Bournemouth,44,13,259,5.9,31,x,37,11,128,3.5,19,0
4,E06000047,LA,840,Durham,29,3,104,3.6,13,0,0,0,0,0,0,0
3,E06000005,LA,841,Darlington,35,12,308,8.8,22,x,0,0,0,0,0,0
132,E10000011,LA,845,East Sussex,56,7,196,3.5,32,x,10,1,24,2.4,x,0
130,E06000043,LA,846,Brighton and Hove,59,10,221,3.7,32,x,14,2,30,2.1,x,0
133,E10000014,LA,850,Hampshire,233,11,1027,4.4,137,x,136,7,451,3.3,63,x
139,E06000044,LA,851,Portsmouth,67,11,361,5.4,44,6,54,9,319,5.9,30,0
142,E06000045,LA,852,Southampton,47,7,209,4.4,27,0,14,2,20,1.4,x,0
59,E10000018,LA,855,Leicestershire,60,8,286,4.8,41,0,0,0,0,0,0,0
58,E06000016,LA,856,Leicester,0,0,0,0,0,0,14,2,18,1.3,x,0
64,E06000017,LA,857,Rutland,x,6,7,2.3,x,0,0,0,0,0,0,0
73,E10000028,LA,860,Staffordshire,116,8,576,5,64,7,x,-,x,1.7,x,0
74,E06000021,LA,861,Stoke-on-Trent,57,7,435,7.6,39,x,0,0,0,0,0,0
164,E06000054,LA,865,Wiltshire,44,7,254,5.8,30,0,0,0,0,0,0,0
162,E06000030,LA,866,Swindon,58,12,480,8.3,42,x,7,1,12,1.7,x,0
129,E06000036,LA,867,Bracknell Forest,46,23,281,6.1,31,x,13,7,42,3.2,6,0
146,E06000040,LA,868,Windsor and Maidenhead,21,14,101,4.8,12,0,0,0,0,0,0,0
144,E06000037,LA,869,West Berkshire,30,13,162,5.4,18,x,x,-,x,1,0,0
140,E06000038,LA,870,Reading,44,12,241,5.5,31,0,x,1,8,2,x,0
141,E06000039,LA,871,Slough,48,15,296,6.2,29,0,7,2,10,1.4,x,0
147,E06000041,LA,872,Wokingham,17,12,57,3.4,9,0,8,6,10,1.3,x,0
83,E10000003,LA,873,Cambridgeshire,103,10,511,5,73,x,15,1,19,1.3,x,0
88,E06000031,LA,874,Peterborough,67,13,205,3.1,44,x,17,3,22,1.3,x,0
23,E06000006,LA,876,Halton,45,13,346,7.7,34,x,9,3,11,1.2,x,0
36,E06000007,LA,877,Warrington,35,7,234,6.7,28,x,x,-,x,1.5,x,0
153,E10000008,LA,878,Devon,147,15,1192,8.1,94,x,x,-,x,1,0,0
158,E06000026,LA,879,Plymouth,78,13,487,6.2,56,0,7,1,18,2.6,x,0
163,E06000027,LA,880,Torbay,39,9,169,4.3,23,0,0,0,0,0,0,0
84,E10000012,LA,881,Essex,191,13,1184,6.2,123,8,96,7,455,4.7,56,x
89,E06000033,LA,882,Southend-on-Sea,47,12,241,5.1,32,x,15,4,31,2.1,8,x
91,E06000034,LA,883,Thurrock,90,18,783,8.7,65,6,37,7,224,6.1,22,0
69,E06000019,LA,884,Herefordshire,27,7,83,3.1,14,0,0,0,0,0,0,0
79,E10000034,LA,885,Worcestershire,120,12,448,3.7,63,x,39,4,48,1.2,x,x
135,E10000016,LA,886,Kent,414,16,2472,6,240,26,52,2,75,1.4,11,x
136,E06000035,LA,887,Medway,61,11,355,5.8,43,x,0,0,0,0,0,0
25,E10000017,LA,888,Lancashire,246,9,1151,4.7,153,x,48,2,78,1.6,19,0
16,E06000008,LA,889,Blackburn with Darwen,44,8,269,6.1,28,0,0,0,0,0,0,0
17,E06000009,LA,890,Blackpool,100,14,511,5.1,65,0,60,8,213,3.6,32,0
63,E10000024,LA,891,Nottinghamshire,125,12,724,5.8,85,0,9,1,9,1,0,0
62,E06000018,LA,892,Nottingham,88,11,439,5,54,x,85,10,538,6.3,57,0
71,E06000051,LA,893,Shropshire,39,9,132,3.4,20,6,0,0,0,0,0,0
75,E06000020,LA,894,Telford and Wrekin,45,9,127,2.8,23,0,0,0,0,0,0,0
20,E06000049,LA,895,Cheshire East,73,12,485,6.6,49,0,6,1,9,1.5,x,0
21,E06000050,LA,896,Cheshire West and Chester,70,10,462,6.6,55,x,6,1,7,1.2,x,0
152,E06000052,LA,908,Cornwall,67,10,389,5.8,36,0,0,0,0,0,0,0
22,E10000006,LA,909,Cumbria,70,8,389,5.6,54,x,27,3,46,1.7,8,0
155,E10000013,LA,916,Gloucestershire,123,14,544,4.4,60,0,9,1,12,1.3,x,0
85,E10000015,LA,919,Hertfordshire,190,15,1258,6.6,135,x,22,2,40,1.8,6,0
134,E06000046,LA,921,Isle of Wight,47,16,278,5.9,29,x,38,13,405,10.7,25,x
60,E10000019,LA,925,Lincolnshire,46,5,231,5,37,x,31,3,107,3.5,19,0
87,E10000020,LA,926,Norfolk,162,10,630,3.9,86,x,0,0,0,0,0,0
61,E10000021,LA,928,Northamptonshire,136,9,553,4.1,75,0,10,1,10,1,0,0
10,E06000057,LA,929,Northumberland,45,8,199,4.4,29,x,0,0,0,0,0,0
138,E10000025,LA,931,Oxfordshire,117,12,481,4.1,62,x,20,2,36,1.8,9,0
160,E10000027,LA,933,Somerset,64,9,168,2.6,34,x,11,2,13,1.2,x,0
90,E10000029,LA,935,Suffolk,157,13,1365,8.7,118,x,0,0,0,0,0,0
143,E10000030,LA,936,Surrey,207,16,986,4.8,115,10,23,2,35,1.5,x,0
77,E10000031,LA,937,Warwickshire,111,12,764,6.9,70,x,0,0,0,0,0,0
145,E10000032,LA,938,West Sussex,65,6,302,4.6,34,0,36,4,104,2.9,15,0
