time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Section47,Section47_rate,Section47_child,Section47_child_rate,ICPC,ICPC_rate,ICPC_child,ICPC_child_rate,Duration_0-10_days,Duration_11-15_days,Duration_16-20_days,Duration_21+_days,Duration_25th_Percentile,Duration_median,Duration_75th_Percentile
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Section 47s and Initial Child Protection Conferences,1020,276.5,830,225,289,78.3,289,78.3,17,216,35,21,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Section 47s and Initial Child Protection Conferences,1074,168.1,954,149.3,406,63.5,392,61.3,74,273,23,36,11,13,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Section 47s and Initial Child Protection Conferences,1049,205.9,937,183.9,422,82.8,414,81.2,34,279,35,74,12,14,17
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Section 47s and Initial Child Protection Conferences,695,122.7,613,108.3,251,44.3,251,44.3,32,129,63,27,12,14,17
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Section 47s and Initial Child Protection Conferences,949,214.8,756,171.1,331,74.9,310,70.2,9,222,40,60,13,15,19
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Section 47s and Initial Child Protection Conferences,1902,274.1,1570,226.3,708,102,697,100.5,24,476,97,111,14,15,18
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Section 47s and Initial Child Protection Conferences,1357,201.2,1144,169.7,516,76.5,516,76.5,22,368,83,43,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Section 47s and Initial Child Protection Conferences,1116,216.2,989,191.6,362,70.1,361,69.9,62,259,6,35,11,13,14
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Section 47s and Initial Child Protection Conferences,4217,295.7,3594,252,1280,89.7,1270,89,90,478,390,322,14,17,21
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Section 47s and Initial Child Protection Conferences,902,196.3,794,172.8,271,59,271,59,18,238,c,c,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Section 47s and Initial Child Protection Conferences,1022,151.7,848,125.9,307,45.6,304,45.1,58,224,19,6,11,13,14
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Section 47s and Initial Child Protection Conferences,894,141.1,709,111.9,343,54.1,340,53.6,46,122,98,77,13,16,20
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Section 47s and Initial Child Protection Conferences,2562,444.9,2146,372.7,908,157.7,885,153.7,44,503,136,225,13,15,20
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Section 47s and Initial Child Protection Conferences,1295,129.5,1127,112.7,450,45,446,44.6,41,327,44,38,13,14,15
