time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CINPlan_start,CINPlan_start_rate,CINPlan_child_start,CINPlan_child_start_rate,CINPlan_end,CINPlan_end_rate,CINPlan_child_end,CINPlan_child_end_rate,CINPlan_anypoint,CINPlan_anypoint_rate,CINPlan_child_anypoint,CINPlan_child_anypoint_rate,CINPlan_At31,CINPlan_At31_rate
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,CIN Plans,1014,120.6,971,115.5,1102,131.1,1055,125.5,1379,164,1297,154.3,277,32.9
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,CIN Plans,1176,82,1164,81.2,1228,85.7,1213,84.6,1917,133.7,1874,130.7,689,48.1
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,CIN Plans,2105,142.9,2061,139.9,1931,131.1,1898,128.8,3534,239.9,3413,231.7,1603,108.8
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,CIN Plans,1077,x,1063,x,716,x,708,x,1228,x,1208,x,512,x
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,CIN Plans,959,138.4,938,135.4,1124,162.2,1102,159.1,1652,238.4,1612,232.7,528,76.2
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,CIN Plans,2997,177.9,2931,174,2817,167.2,2740,162.6,3950,234.4,3785,224.7,1133,67.2
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,CIN Plans,72,91.7,72,91.7,101,128.7,98,124.8,127,161.8,124,158,26,33.1
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,CIN Plans,1126,x,1098,x,740,x,731,x,1312,x,1276,x,572,x
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,CIN Plans,1626,56.8,1612,56.3,1707,59.6,1686,58.8,3049,106.4,2989,104.3,1342,46.8
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,CIN Plans,1748,216.3,1715,212.2,1772,219.3,1730,214.1,2628,325.2,2506,310.1,856,105.9
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,CIN Plans,951,136.6,932,133.9,917,131.8,894,128.5,1533,220.3,1487,213.7,616,88.5
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",CIN Plans,590,163.8,577,160.1,449,124.6,437,121.3,783,217.3,747,207.3,334,92.7
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,CIN Plans,1089,131.2,1058,127.5,1356,163.4,1314,158.3,1839,221.6,1754,211.3,483,58.2
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,CIN Plans,582,96.5,573,95,578,95.9,567,94,1058,175.5,1030,170.8,480,79.6
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,CIN Plans,510,106.4,496,103.5,406,84.7,395,82.4,708,147.7,675,140.8,302,63
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,CIN Plans,1761,102.8,1739,101.5,1916,111.9,1907,111.3,3230,188.6,3163,184.7,1314,76.7
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,CIN Plans,1447,248.2,1404,240.8,1404,240.8,1355,232.4,2255,386.8,2118,363.3,851,146
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,CIN Plans,550,132.1,521,125.1,482,115.7,474,113.8,1018,244.4,974,233.9,536,128.7
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,CIN Plans,667,96.1,667,96.1,512,73.8,512,73.8,1101,158.7,1101,158.7,589,84.9
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,CIN Plans,1727,144.9,1716,144,1248,104.7,1238,103.9,2923,245.3,2884,242,1675,140.6
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,CIN Plans,1306,207.1,1265,200.6,1211,192.1,1196,189.7,1878,297.9,1827,289.8,667,105.8
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,CIN Plans,1419,118.9,1378,115.5,1325,111,1283,107.5,2307,193.3,2219,185.9,982,82.3
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,CIN Plans,690,167.6,660,160.3,617,149.9,604,146.7,1064,258.4,1022,248.2,447,108.6
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,CIN Plans,1264,91.9,1229,89.3,1233,89.6,1196,86.9,1814,131.9,1746,126.9,581,42.2
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,CIN Plans,547,83.9,546,83.7,492,75.5,492,75.5,896,137.4,895,137.3,404,62
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,CIN Plans,1975,62.3,1951,61.5,1916,60.4,1901,60,3347,105.6,3269,103.1,1431,45.1
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,CIN Plans,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,CIN Plans,711,122.4,688,118.5,787,135.5,772,132.9,1300,223.9,1261,217.1,513,88.3
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,CIN Plans,2334,135.6,2244,130.3,2336,135.7,2239,130,3582,208,3389,196.8,1246,72.4
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,CIN Plans,766,145.8,750,142.8,735,139.9,725,138,1245,237,1197,227.9,510,97.1
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,CIN Plans,715,179.9,689,173.4,749,188.5,728,183.2,1069,269,1018,256.2,320,80.5
