time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Assessments_completed,Assessments_completed_rate,Same_day,1-10_days,11-20_days,21-30_days,31-40_days,41-45_days,46-50_days,51-60_days,61+_days,25th_Percentile_days,Median_days,75th_Percentile_days
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Duration of assessment,1349,378.1,0,67,192,592,310,113,28,31,16,22,27,35
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Duration of assessment,4405,374.4,55,683,1939,779,437,474,9,17,12,12,16,29
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Duration of assessment,4707,819.3,56,601,1204,915,851,461,286,123,210,15,26,39
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Duration of assessment,5758,486.3,54,514,502,524,881,1606,766,486,425,28,42,46
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Duration of assessment,9080,1210.9,494,3081,1343,1039,1479,717,273,302,352,4,17,37
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Duration of assessment,1417,387.1,58,191,196,154,320,342,76,37,43,15,35,43
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Duration of assessment,3755,629.1,36,260,2013,617,446,229,58,31,65,15,19,28
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Duration of assessment,10756,695,244,1412,1902,2091,2270,2002,385,277,173,15,29,41
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Duration of assessment,3067,364.8,8,302,510,379,661,850,224,66,67,19,37,43
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Duration of assessment,4499,313.9,26,412,1500,1126,882,340,60,80,73,15,22,35
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Duration of assessment,6051,410.7,24,439,1113,1310,2004,963,91,75,32,20,31,38
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Duration of assessment,8651,499.8,352,1169,2062,2710,1347,844,126,34,7,14,23,32
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Duration of assessment,5702,823,53,637,812,911,1258,508,305,467,751,19,34,47
