time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,ReportGroup,Description,school_expenditure,OtherEdComm,cyps_spend,NetExpend,NetExpendpPupil,GrossExpend,GrossExpendpPupil
201415,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,Yearly totals,Yearly totals,286.443,33.926,81.9613,288.31523,5366.08,303.86332,5651.95
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,Yearly totals,Yearly totals,141.988,29.6428,53.5074,124.88911,5756.50,136.48197,6294.41
201819,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,Yearly totals,Yearly totals,155.384,23.7455,48.4079,137.66476,5320.50,149.70535,5788.05
201718,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,Yearly totals,Yearly totals,164.313,26.2033,48.5562,151.31489,5387.54,164.09688,5845.02
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,Yearly totals,Yearly totals,171.672,25.1617,48.8893,158.85887,5343.80,174.05634,5858.27
201516,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,Yearly totals,Yearly totals,175.138,25.1229,45.9503,160.80367,5151.65,177.42064,5679.31
201415,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,Yearly totals,Yearly totals,173.501,27.2263,46.3265,161.59721,4960.29,176.67022,5421.16
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Yearly totals,Yearly totals,120.264,16.3419,78.1212,98.60844,5183.75,103.87080,5470.04
201819,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Yearly totals,Yearly totals,125.344,16.4741,67.9891,104.84992,5161.46,111.36659,5482.26
201718,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Yearly totals,Yearly totals,133.446,16.1298,121.834,116.72387,5077.52,123.18326,5370.55
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Yearly totals,Yearly totals,148.387,18.9297,57.4447,142.31109,5337.93,149.35085,5592.88
201516,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Yearly totals,Yearly totals,151.61,18.7217,53.8419,144.53797,5320.68,151.72456,5584.56
201415,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Yearly totals,Yearly totals,148.094,19.9352,57.0521,144.34751,5344.43,151.97432,5628.64
201920,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Yearly totals,Yearly totals,150.786,18.9381,39.7043,151.15083,5661.29,164.11818,6146.98
201819,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Yearly totals,Yearly totals,142.592,17.8018,33.8674,141.80451,5331.00,154.90768,5823.60
201718,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Yearly totals,Yearly totals,139.644,11.7964,32.3424,139.74804,5247.18,151.78756,5700.41
201617,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Yearly totals,Yearly totals,137.896,12.5594,31.8362,139.08673,5230.99,150.45773,5658.65
201516,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Yearly totals,Yearly totals,136.86,13.3525,31.71,135.85475,5104.25,146.75141,5513.65
201415,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Yearly totals,Yearly totals,136.469,15.4339,29.9369,132.78706,5057.69,142.61725,5432.11
201920,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,Yearly totals,Yearly totals,94.9328,18.0113,37.6178,95.88281,6342.37,96.94845,6412.96
201819,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,Yearly totals,Yearly totals,92.996,16.6733,35.2314,89.79691,5905.36,91.05777,5988.28
201718,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,Yearly totals,Yearly totals,92.6346,7.38938,33.2649,90.86976,5819.26,92.76673,5944.21
201617,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,Yearly totals,Yearly totals,94.1602,8.62306,33.8453,85.55150,5767.45,87.98547,5931.54
201516,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,Yearly totals,Yearly totals,96.8441,8.20258,34.0331,97.35507,5722.64,99.55569,5856.64
201415,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,Yearly totals,Yearly totals,98.0721,15.089,28.827,95.46733,5541.71,98.41629,5709.79
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,Yearly totals,Yearly totals,94.1663,10.7522,69.4193,77.23600,5434.67,82.45308,5806.00
201819,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,Yearly totals,Yearly totals,100.556,10.5924,65.8949,83.61707,5154.66,89.73189,5514.79
201718,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,Yearly totals,Yearly totals,103.096,11.4188,64.959,91.46298,5151.11,97.17705,5482.10
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,Yearly totals,Yearly totals,115.567,9.70119,63.7874,107.95566,5187.17,115.84723,5554.03
201516,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,Yearly totals,Yearly totals,120.071,10.8374,61.3551,109.44186,4999.95,117.91621,5391.27
201415,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,Yearly totals,Yearly totals,122.605,10.8882,49.9783,114.35089,5074.49,122.09156,5407.48
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Yearly totals,Yearly totals,101.604,14.0678,38.6422,93.38297,5697.64,97.50965,5949.24
201819,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Yearly totals,Yearly totals,100.47,14.8493,38.7666,89.02147,5426.48,93.15818,5678.65
201718,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Yearly totals,Yearly totals,102.418,14.0303,36.2069,93.80276,5288.89,97.82696,5529.78
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Yearly totals,Yearly totals,97.2596,14.6505,34.4923,94.20075,5424.59,98.44610,5669.06
201516,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Yearly totals,Yearly totals,94.9607,14.3127,34.4217,91.58433,5340.51,95.62354,5576.04
201415,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Yearly totals,Yearly totals,96.4254,16.1681,35.4611,91.81539,5274.05,95.98060,5519.15
201920,Financial year,Regional,England,E92000001,North West,E12000002,,,,Yearly totals,Yearly totals,4401.15,385.44,1602.18,4038.72472,5605.81,4305.56381,5975.13
201819,Financial year,Regional,England,E92000001,North West,E12000002,,,,Yearly totals,Yearly totals,4403.6,374.207,1420.82,3982.06362,5379.86,4255.02428,5749.24
201718,Financial year,Regional,England,E92000001,North West,E12000002,,,,Yearly totals,Yearly totals,4401.14,347.121,1324.46,4043.51830,5303.39,4298.46231,5636.83
201617,Financial year,Regional,England,E92000001,North West,E12000002,,,,Yearly totals,Yearly totals,4408.6,361.827,1243.32,4164.00844,5296.67,4424.15230,5627.14
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Yearly totals,Yearly totals,4501.22,389.445,1205.68,4216.29831,5289.13,4465.27144,5602.61
201415,Financial year,Regional,England,E92000001,North West,E12000002,,,,Yearly totals,Yearly totals,4527.11,432.017,1225.44,4237.39524,5202.26,4491.30189,5511.82
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,Yearly totals,Yearly totals,76.1769,9.69229,33.0317,68.61913,5853.61,71.56487,6106.73
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,Yearly totals,Yearly totals,77.3392,8.91046,31.9091,68.24037,5476.62,70.66125,5670.52
201718,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,Yearly totals,Yearly totals,80.6229,12.7443,31.3807,74.74801,5970.29,77.52802,6192.33
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,Yearly totals,Yearly totals,86.8761,9.28202,28.2357,76.85495,5580.93,80.89533,5874.33
201516,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,Yearly totals,Yearly totals,86.9094,12.3143,27.5187,77.12241,5626.42,80.75292,5888.38
201415,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,Yearly totals,Yearly totals,91.262,20.8942,30.6943,76.64288,5401.77,80.19082,5657.22
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,Yearly totals,Yearly totals,104.562,7.14608,42.8026,90.18428,5217.37,95.04461,5494.03
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,Yearly totals,Yearly totals,105.761,7.79975,38.1784,92.30237,4970.83,97.32287,5240.76
201718,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,Yearly totals,Yearly totals,111.088,7.20689,37.3818,99.95388,4859.33,105.15298,5095.69
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,Yearly totals,Yearly totals,111.775,10.1031,32.254,106.59593,4910.18,111.97931,5156.72
201516,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,Yearly totals,Yearly totals,112.705,14.0427,39.5305,105.00454,4773.37,110.12751,5006.25
201415,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,Yearly totals,Yearly totals,117.349,18.1289,35.2531,106.31530,4621.43,111.11277,4833.38
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,Yearly totals,Yearly totals,102.466,3.59595,35.6034,90.02278,5637.20,95.88212,6010.07
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,Yearly totals,Yearly totals,105.391,5.97809,31.2792,92.53614,5603.39,98.82833,5987.08
201718,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,Yearly totals,Yearly totals,103.496,5.53311,32.1168,89.60757,5400.32,94.90121,5719.35
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,Yearly totals,Yearly totals,99.5054,5.45434,30.9414,89.00593,5343.46,94.59354,5678.91
201516,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,Yearly totals,Yearly totals,101.652,4.80054,33.3531,94.48345,5293.23,99.74512,5599.51
201415,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,Yearly totals,Yearly totals,112.655,5.16689,34.1779,103.48340,5343.63,108.95158,5631.59
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,Yearly totals,Yearly totals,48.4893,6.95677,57.7708,30.08004,5868.13,34.56527,6743.13
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,Yearly totals,Yearly totals,45.9444,6.29793,46.9071,27.92863,5454.28,32.23754,6295.78
201718,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,Yearly totals,Yearly totals,44.3275,6.20097,45.6809,28.54060,5450.44,32.17495,6136.25
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,Yearly totals,Yearly totals,44.8108,6.04586,43.4074,31.29431,5645.10,35.47117,6387.70
201516,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,Yearly totals,Yearly totals,50.7081,5.83744,40.9195,38.17351,5704.81,42.70598,6389.45
201415,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,Yearly totals,Yearly totals,57.4928,6.62039,40.3706,45.13992,5345.59,52.30257,5979.17
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,Yearly totals,Yearly totals,137.668,20.1471,60.5288,96.44320,5199.04,104.19750,5615.05
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,Yearly totals,Yearly totals,141.547,18.21,55.856,99.92069,4852.75,108.42154,5266.48
201718,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,Yearly totals,Yearly totals,142.574,17.0606,52.8263,106.71433,4776.52,114.58173,5124.27
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,Yearly totals,Yearly totals,149.294,20.7957,51.6965,115.37926,4693.82,124.86496,5086.39
201516,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,Yearly totals,Yearly totals,163.314,24.725,50.2461,127.54236,4654.56,137.26328,5013.13
