Stat-Xplore

"Absolute Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Absolute Low Income"

Filters:
"Default Summation","Absolute Low Income"
"Age of Child (years and bands)","5-10"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21 (p)","2020/21 - Annotations",
"Milton Keynes",3083,,3014,,3350,,3695,,3715,,3415,,3486,,
"Portsmouth",2145,,2168,,2416,,2579,,2691,,2541,,2534,,
"Reading",1255,,1301,,1449,,1598,,1680,,1513,,1641,,
"Slough",2130,,2158,,2378,,2461,,2571,,2465,,2728,,
"Southampton",2565,,2576,,2884,,3121,,3382,,3125,,3200,,
"West Berkshire",745,,725,,803,,935,,900,,941,,907,,
"Windsor and Maidenhead",711,,746,,788,,875,,795,,778,,886,,
"Wokingham",661,,666,,718,,763,,815,,782,,883,,
"East Sussex",4199,,4350,,4747,,5090,,5089,,4718,,4946,,
"Hampshire",7884,,7993,,8573,,8882,,8854,,8799,,9551,,
"Kent",13118,,13109,,14598,,15497,,16119,,15397,,15622,,
"Oxfordshire",3858,,4059,,4285,,4480,,4441,,4059,,4403,,
"Surrey",5596,,5519,,5906,,6038,,6064,,5799,,6585,,
"West Sussex",5426,,5609,,6024,,6219,,6357,,6286,,6900,,
"Bath and North East Somerset",1030,,995,,842,,825,,827,,881,,808,,
"Bournemouth, Christchurch and Poole",2870,,2772,,2455,,2346,,2401,,2481,,2578,,
"Bristol, City of",5190,,5127,,4200,,4141,,4517,,4870,,4491,,
"Cornwall",5681,,5503,,4755,,4477,,4844,,5227,,4837,,
"Dorset",2704,,2511,,2189,,2113,,2050,,2213,,2010,,
"Isles of Scilly",14,,11,,11,,8,,11,,7,,7,,
"North Somerset",1548,,1495,,1239,,1266,,1229,,1327,,1250,,
"Plymouth",2928,,2774,,2382,,2308,,2401,,2611,,2264,,
"South Gloucestershire",1783,,1637,,1488,,1415,,1524,,1695,,1634,,
"Swindon",2192,,2041,,1676,,1782,,1813,,1864,,1742,,
"Torbay",1393,,1307,,1116,,1056,,1124,,1202,,1035,,
"Wiltshire",3253,,3034,,2651,,2606,,2704,,2891,,2699,,
"Devon",6640,,6433,,5574,,5422,,5519,,6026,,5306,,
"Gloucestershire",5250,,5028,,4248,,4059,,4199,,4563,,4248,,
"Somerset",4883,,4851,,4192,,3866,,4000,,4166,,3711,,
"Isle of Anglesey / Ynys Môn",813,,757,,716,,695,,691,,677,,873,,
"Gwynedd / Gwynedd",1283,,1297,,1137,,1116,,1037,,1063,,1375,,
"Conwy / Conwy",1167,,1117,,950,,947,,899,,905,,1319,,
"Denbighshire / Sir Ddinbych",966,,924,,865,,804,,791,,827,,1138,,
"Flintshire / Sir y Fflint",1486,,1352,,1182,,1133,,1114,,1125,,1487,,
"Wrexham / Wrecsam",1448,,1328,,1223,,1294,,1285,,1483,,1605,,
"Powys / Powys",1406,,1262,,1162,,1294,,1116,,1109,,1416,,
"Ceredigion / Ceredigion",649,,654,,634,,650,,628,,643,,821,,
"Pembrokeshire / Sir Benfro",1469,,1415,,1278,,1308,,1278,,1274,,1613,,
"Carmarthenshire / Sir Gaerfyrddin",2216,,2116,,1996,,1889,,1872,,1849,,2293,,
"Swansea / Abertawe",2502,,2260,,2185,,2145,,2158,,2019,,2465,,
"Neath Port Talbot / Castell-nedd Port Talbot",1444,,1349,,1238,,1203,,1193,,1205,,1528,,
"Bridgend / Pen-y-bont ar Ogwr",1455,,1283,,1195,,1275,,1213,,1244,,1547,,
"Vale of Glamorgan / Bro Morgannwg",1066,,995,,953,,942,,881,,850,,1184,,
"Cardiff / Caerdydd",4227,,4016,,3679,,3837,,3670,,3621,,4580,,
"Rhondda Cynon Taf / Rhondda Cynon Taf",3254,,2926,,2627,,2565,,2467,,2485,,3279,,
"Merthyr Tydfil / Merthyr Tudful",874,,798,,694,,715,,659,,633,,857,,
"Caerphilly / Caerffili",2324,,1997,,1753,,1731,,1738,,1706,,2212,,
"Blaenau Gwent / Blaenau Gwent",1080,,925,,796,,747,,730,,743,,979,,
"Torfaen / Tor-faen",1133,,1007,,871,,905,,858,,784,,1115,,
"Monmouthshire / Sir Fynwy",676,,620,,525,,573,,523,,545,,657,,
"Newport / Casnewydd",2326,,2070,,1905,,1916,,1878,,1827,,2345,,
"Aberdeen City",1141,,1187,,1323,,1567,,1510,,1625,,1412,,
"Aberdeenshire",1337,,1449,,1492,,1608,,1518,,1643,,1447,,
"Angus",894,,873,,932,,1036,,954,,984,,823,,
"Argyll and Bute",637,,618,,619,,660,,630,,613,,490,,
"City of Edinburgh",2571,,2521,,2706,,3139,,2935,,3002,,2675,,
"Clackmannanshire",494,,470,,471,,593,,550,,641,,487,,
"Dumfries and Galloway",1371,,1343,,1289,,1473,,1353,,1479,,1187,,
"Dundee City",1333,,1235,,1333,,1531,,1467,,1495,,1174,,
"East Ayrshire",1270,,1208,,1232,,1369,,1390,,1461,,1211,,
"East Dunbartonshire",524,,518,,528,,552,,543,,638,,493,,
"East Lothian",812,,770,,806,,831,,816,,931,,707,,
"East Renfrewshire",557,,525,,483,,553,,565,,629,,500,,
"Falkirk",1524,,1407,,1363,,1489,,1472,,1626,,1288,,
"Fife",3664,,3444,,3477,,3990,,3833,,4153,,3256,,
"Glasgow City",7161,,7064,,7138,,8643,,8761,,9086,,7493,,
"Highland",1778,,1770,,1779,,1754,,1728,,1949,,1743,,
"Inverclyde",630,,606,,552,,573,,547,,578,,452,,
"Midlothian",749,,673,,676,,764,,769,,856,,775,,
"Moray",735,,724,,773,,834,,791,,837,,761,,
"Na h-Eileanan Siar",153,,160,,184,,159,,143,,177,,155,,
"North Ayrshire",1490,,1344,,1323,,1504,,1480,,1729,,1312,,
"North Lanarkshire",3613,,3519,,3509,,3990,,3761,,4082,,3359,,
"Orkney Islands",143,,153,,157,,149,,162,,156,,156,,
"Perth and Kinross",999,,980,,996,,1168,,1127,,1225,,1001,,
"Renfrewshire",1205,,1213,,1234,,1540,,1483,,1598,,1318,,
"Scottish Borders",818,,829,,837,,887,,885,,1019,,816,,
"Shetland Islands",103,,106,,131,,129,,106,,118,,197,,
"South Ayrshire",940,,884,,914,,968,,957,,980,,831,,
"South Lanarkshire",2709,,2456,,2404,,2702,,2620,,2862,,2307,,
"Stirling",638,,601,,587,,602,,615,,703,,579,,
"West Dunbartonshire",945,,823,,826,,967,,927,,998,,763,,
"West Lothian",1668,,1542,,1542,,1758,,1805,,1912,,1604,,
"Antrim and Newtownabbey",1578,,1504,,1456,,1281,,1390,,1380,,1394,,
"Ards and North Down",1687,,1683,,1552,,1341,,1393,,1365,,1453,,
"Armagh City, Banbridge and Craigavon",3117,,3065,,2802,,2407,,2670,,2755,,2923,,
"Belfast",5188,,5358,,4955,,4222,,4704,,4093,,3854,,
"Causeway Coast and Glens",2315,,2082,,2023,,1642,,1667,,1659,,1718,,
"Derry City and Strabane",3061,,2910,,2679,,2329,,2332,,1962,,1837,,
"Fermanagh and Omagh",1822,,1668,,1556,,1343,,1447,,1521,,1560,,
"Lisburn and Castlereagh",1255,,1212,,1138,,1038,,1083,,1130,,1188,,
"Mid and East Antrim",1584,,1550,,1399,,1239,,1338,,1355,,1370,,
"Mid Ulster",2234,,2119,,1842,,1559,,1719,,1876,,1948,,
"Newry, Mourne and Down",3067,,2955,,2723,,2480,,2645,,2709,,2760,,
"Unknown",..,,..,,..,,..,,..,,..,,..,,
"Total",659485,,655894,,650233,,677134,,689941,,717295,,702473,,


"INFO","Statistical disclosure control has been applied to this table to avoid the release of confidential data.  Totals may not sum due to the disclosure control applied."


Symbol,Description
"I",""".."" denotes a nil or negligible number of children."
"II","Absolute low-income is defined as a family whose equivalised income is below 60 per cent of the 2010/11 median income adjusted for inflation. Gross income measure is Before Housing Costs (BHC) and includes contributions from earnings, state support and pensions."
"III","Income is equivalised to adjust for household size and family composition."
"IV","Child age is derived as the duration from Date of Birth to 31 March in each year. A child is defined as an individual aged under 16 or 16-19 and they are not married, in a civil partnership nor living with a partner; and are still living with parents/a responsible adult; and are in full-time non-advanced education or in unwaged government training."
"V","Families “in-work” are those to have had an accumulated period of at least 26 weeks paid employment or self-employment within the 52 week tax year. Employment activity is accumulated from either (or both) the adult claimant of Child Benefit and any partner(s) in the tax year."
"VI","Only families to have claimed Child Benefit and at least one other household benefit (Universal Credit, Tax Credit or Housing Benefit) will be included in the statistics."
"p","Figures marked ""p"" are provisional. These figures will be subject to revision in subsequent releases."


Source: Department for Work and Pensions
