Stat-Xplore

"Absolute Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Absolute Low Income"

Filters:
"Default Summation","Absolute Low Income"
"Age of Child (years and bands)","0-4"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21 (p)","2020/21 - Annotations",
"Manchester",10389,,9737,,10159,,10305,,10600,,9900,,8321,,
"Oldham",4896,,4929,,5212,,5441,,5479,,5327,,4526,,
"Rochdale",3877,,3694,,3735,,3820,,3985,,3817,,3374,,
"Salford",3688,,3511,,3745,,3869,,4006,,3820,,3066,,
"Stockport",2379,,2178,,2286,,2272,,2334,,2211,,1956,,
"Tameside",3057,,2691,,2929,,2989,,3243,,3202,,2620,,
"Trafford",1727,,1555,,1582,,1590,,1545,,1425,,1254,,
"Wigan",3697,,3456,,3422,,3377,,3668,,3639,,2996,,
"Lancashire",13402,,12516,,13038,,12882,,13362,,13220,,11125,,
"Knowsley",1930,,1720,,1980,,2011,,2210,,2099,,1800,,
"Liverpool",6235,,6039,,6268,,6746,,7099,,6914,,5559,,
"Sefton",2395,,2223,,2207,,2278,,2411,,2291,,1899,,
"St. Helens",1945,,1831,,1870,,1875,,2036,,1897,,1577,,
"Wirral",3012,,2782,,2714,,2799,,2986,,2901,,2353,,
"East Riding of Yorkshire",2519,,2386,,2167,,2187,,2326,,2640,,2390,,
"Kingston upon Hull, City of",5313,,5155,,4804,,4654,,4832,,5304,,5003,,
"North East Lincolnshire",2414,,2260,,2247,,2189,,2325,,2465,,2240,,
"North Lincolnshire",1984,,1886,,1800,,1777,,1879,,2104,,1935,,
"York",1316,,1197,,1153,,1017,,1074,,1152,,1058,,
"North Yorkshire",3825,,3626,,3515,,3312,,3435,,3824,,3630,,
"Barnsley",3289,,3105,,3068,,2949,,3075,,3348,,3292,,
"Doncaster",4706,,4413,,4148,,3968,,4265,,4563,,4406,,
"Rotherham",3498,,3463,,3332,,3212,,3213,,3615,,3475,,
"Sheffield",7479,,7219,,6973,,6830,,7255,,7687,,7302,,
"Bradford",12587,,11814,,11196,,11004,,11970,,12499,,11727,,
"Calderdale",2724,,2485,,2497,,2373,,2483,,2689,,2575,,
"Kirklees",6395,,6006,,5721,,5695,,6167,,6382,,6086,,
"Leeds",9396,,9175,,9284,,9265,,9928,,10613,,10210,,
"Wakefield",4019,,3802,,3734,,3586,,3909,,4189,,4250,,
"Derby",3922,,4350,,4103,,3697,,3325,,3545,,2708,,
"Leicester",6907,,7555,,7447,,6557,,5747,,6125,,4646,,
"North Northamptonshire",3442,,3825,,3717,,3167,,2757,,3360,,2486,,
"Nottingham",5524,,6107,,6030,,5395,,4552,,4991,,3605,,
"Rutland",163,,181,,167,,149,,134,,172,,139,,
"West Northamptonshire",3506,,3820,,3717,,3329,,2929,,3206,,2619,,
"Derbyshire",6500,,6963,,6437,,5618,,4900,,5760,,4393,,
"Leicestershire",4500,,4720,,4518,,4108,,3611,,4379,,3452,,
"Lincolnshire",7429,,8159,,7514,,6801,,5946,,6613,,4972,,
"Nottinghamshire",7688,,8330,,7787,,6933,,5786,,6689,,5108,,
"Herefordshire, County of",1445,,1391,,1311,,1238,,1269,,1431,,1318,,
"Shropshire",2139,,2166,,2097,,1944,,1963,,2323,,2274,,
"Stoke-on-Trent",4815,,4894,,4673,,4587,,4340,,5068,,4385,,
"Telford and Wrekin",1925,,2005,,1870,,1870,,1812,,2352,,2017,,
"Staffordshire",6673,,6882,,6437,,6054,,6076,,7299,,6799,,
"Warwickshire",3848,,3988,,3567,,3443,,3322,,3927,,3498,,
"Birmingham",21779,,22719,,21863,,21350,,21821,,23363,,20749,,
"Coventry",4287,,4735,,4249,,4137,,4081,,4507,,3930,,
"Dudley",3807,,4020,,3940,,3800,,3809,,4355,,3865,,
"Sandwell",6050,,6530,,6161,,6055,,6167,,6853,,5933,,
"Solihull",1530,,1565,,1451,,1308,,1434,,1633,,1443,,
"Walsall",4773,,4867,,4740,,4757,,4952,,5572,,4892,,
"Wolverhampton",4466,,4510,,4299,,4285,,4382,,4793,,4206,,
"Worcestershire",4718,,4753,,4315,,4202,,4010,,4746,,4247,,
"Bedford",1828,,1735,,1505,,1548,,1533,,1504,,1318,,
"Central Bedfordshire",1871,,1785,,1550,,1385,,1416,,1688,,1691,,
"Luton",3944,,3984,,3699,,3522,,3544,,3536,,3288,,
"Peterborough",3698,,3687,,3384,,3226,,3363,,3327,,2823,,
"Southend-on-Sea",1708,,1655,,1516,,1471,,1407,,1369,,1303,,
"Thurrock",1999,,1918,,1688,,1646,,1660,,1782,,1676,,
"Cambridgeshire",4439,,4267,,3863,,3728,,3715,,3813,,3403,,
"Essex",10839,,10576,,9481,,9145,,9417,,10151,,9380,,
"Hertfordshire",7269,,6764,,6263,,5902,,5977,,6344,,6027,,
"Norfolk",7941,,7864,,7215,,6815,,6897,,7242,,6257,,
"Suffolk",6027,,5968,,5369,,5464,,5474,,5708,,5015,,
"Camden",1579,,1555,,1429,,1543,,1551,,1633,,1426,,
"City of London",20,,16,,20,,20,,13,,11,,12,,
"Hackney",3023,,2900,,2819,,2998,,2918,,3320,,2803,,
"Hammersmith and Fulham",1094,,1076,,859,,1003,,1013,,985,,912,,
"Haringey",2855,,2742,,2659,,2773,,2591,,2595,,2143,,
"Islington",1712,,1718,,1547,,1697,,1716,,1748,,1621,,
"Kensington and Chelsea",579,,532,,429,,477,,430,,402,,393,,
"Lambeth",2828,,2727,,2476,,2672,,2506,,2515,,2207,,
"Lewisham",3134,,3116,,2799,,2979,,2848,,2966,,2496,,
"Newham",5538,,5468,,5273,,5241,,5002,,5168,,4365,,
"Southwark",3266,,3154,,2806,,2760,,2776,,2769,,2336,,
"Tower Hamlets",4089,,3913,,3646,,3777,,4011,,4155,,3597,,
"Wandsworth",1734,,1694,,1616,,1627,,1656,,1771,,1632,,
"Westminster",1015,,1011,,884,,1055,,998,,974,,910,,
"Barking and Dagenham",3815,,3911,,3754,,4020,,3844,,3968,,3498,,
"Barnet",2859,,2803,,2691,,2884,,2605,,2673,,2404,,
"Bexley",1928,,1828,,1701,,1810,,1864,,2032,,1806,,
"Brent",3316,,3427,,3154,,3369,,3315,,3310,,3253,,
"Bromley",1972,,1760,,1642,,1728,,1762,,1793,,1624,,
"Croydon",3903,,3930,,3657,,3681,,3483,,3690,,3230,,
"Ealing",3285,,3217,,2988,,3028,,3018,,3038,,2698,,
"Enfield",3755,,3700,,3492,,3572,,3385,,3271,,2727,,
"Greenwich",3475,,3365,,3277,,3458,,3327,,3463,,3141,,
"Harrow",1984,,2066,,1974,,2183,,2209,,2379,,2403,,
"Havering",2039,,1992,,2034,,2161,,2147,,2440,,2151,,
"Hillingdon",2702,,2659,,2435,,2703,,2678,,2816,,2622,,
"Hounslow",2702,,2658,,2602,,2558,,2483,,2666,,2431,,
"Kingston upon Thames",804,,798,,732,,840,,832,,832,,717,,
"Merton",1928,,1841,,1607,,1623,,1593,,1664,,1417,,
"Redbridge",3241,,3318,,3153,,3180,,3189,,3301,,2954,,
"Richmond upon Thames",599,,611,,580,,617,,512,,595,,559,,
"Sutton",1370,,1308,,1265,,1231,,1189,,1377,,1277,,
"Waltham Forest",3778,,3635,,3462,,3583,,3455,,3504,,3089,,
"Bracknell Forest",572,,587,,607,,582,,579,,602,,690,,
"Brighton and Hove",1646,,1659,,1602,,1600,,1676,,1550,,1400,,
"Buckinghamshire",3303,,3278,,3456,,3386,,3408,,3310,,3275,,
"Isle of Wight",1157,,1138,,1244,,1320,,1294,,1180,,1104,,
"Medway",2880,,2842,,3045,,3083,,3197,,3061,,2959,,
"Milton Keynes",2942,,2725,,2750,,2925,,3023,,2789,,2485,,
"Portsmouth",2327,,2282,,2429,,2336,,2387,,2287,,1950,,
"Reading",1299,,1344,,1443,,1471,,1457,,1247,,1168,,
"Slough",1947,,1914,,1938,,1941,,1994,,1905,,1946,,
"Southampton",2955,,2711,,2714,,2849,,3096,,2753,,2517,,
"West Berkshire",778,,712,,763,,802,,818,,809,,729,,
"Windsor and Maidenhead",673,,590,,640,,614,,642,,639,,644,,
"Wokingham",586,,638,,581,,612,,675,,600,,627,,
"East Sussex",4343,,4113,,4224,,4336,,4314,,4083,,3752,,
"Hampshire",7618,,7550,,7676,,7496,,7547,,7820,,7532,,
"Kent",13496,,13003,,13664,,14022,,14744,,14157,,12840,,
"Oxfordshire",3819,,3690,,3701,,3537,,3742,,3530,,3375,,
"Surrey",5155,,5106,,5201,,5001,,5266,,4996,,4983,,
"West Sussex",5102,,4986,,5152,,5106,,5371,,5459,,5241,,
"Bath and North East Somerset",1056,,991,,836,,674,,701,,763,,654,,
"Bournemouth, Christchurch and Poole",2944,,2876,,2415,,2110,,2243,,2322,,2098,,
"Bristol, City of",5646,,5347,,4322,,4049,,4118,,4281,,3580,,
"Cornwall",5706,,5364,,4471,,3962,,4203,,4713,,3837,,
"Dorset",2410,,2390,,1895,,1717,,1764,,1929,,1538,,
"Isles of Scilly",8,,5,,10,,6,,5,,8,,5,,
"North Somerset",1488,,1416,,1207,,1125,,1106,,1203,,1018,,
"Plymouth",3380,,3110,,2419,,2153,,2316,,2498,,1939,,
"South Gloucestershire",1820,,1693,,1435,,1285,,1327,,1546,,1331,,
"Swindon",2371,,2225,,1752,,1700,,1694,,1802,,1503,,
"Torbay",1472,,1459,,1155,,1084,,1086,,1203,,973,,
"Wiltshire",3584,,3107,,2504,,2349,,2455,,2721,,2360,,
"Devon",6225,,5978,,4845,,4506,,4556,,5359,,4309,,
"Gloucestershire",5112,,4926,,4018,,3612,,3911,,4208,,3436,,
"Somerset",4905,,4801,,3811,,3548,,3596,,3882,,3217,,
"Isle of Anglesey / Ynys Môn",879,,835,,680,,572,,620,,569,,690,,
"Gwynedd / Gwynedd",1341,,1249,,1077,,1017,,965,,1012,,1195,,
"Conwy / Conwy",1191,,1032,,918,,784,,810,,853,,1046,,
"Denbighshire / Sir Ddinbych",1099,,1018,,902,,782,,823,,895,,1076,,
"Flintshire / Sir y Fflint",1477,,1316,,1162,,1121,,1059,,1129,,1280,,
"Wrexham / Wrecsam",1778,,1494,,1278,,1270,,1337,,1405,,1411,,
"Powys / Powys",1267,,1140,,1003,,971,,969,,894,,1101,,
"Ceredigion / Ceredigion",697,,665,,591,,575,,533,,506,,562,,
"Pembrokeshire / Sir Benfro",1542,,1397,,1218,,1094,,1136,,1121,,1296,,
"Carmarthenshire / Sir Gaerfyrddin",2182,,1929,,1721,,1586,,1658,,1667,,1960,,
"Swansea / Abertawe",2659,,2341,,2071,,1932,,2036,,1878,,1925,,
"Neath Port Talbot / Castell-nedd Port Talbot",1729,,1469,,1280,,1168,,1201,,1242,,1413,,
"Bridgend / Pen-y-bont ar Ogwr",1653,,1433,,1161,,1132,,1198,,1138,,1310,,
"Vale of Glamorgan / Bro Morgannwg",1207,,1016,,934,,849,,838,,864,,1012,,
"Cardiff / Caerdydd",4294,,3898,,3335,,3184,,3146,,3090,,3341,,
"Rhondda Cynon Taf / Rhondda Cynon Taf",3638,,3068,,2661,,2446,,2518,,2586,,3061,,
"Merthyr Tydfil / Merthyr Tudful",1042,,918,,773,,712,,732,,722,,832,,
"Caerphilly / Caerffili",2469,,2197,,1834,,1735,,1756,,1900,,2011,,
"Blaenau Gwent / Blaenau Gwent",1273,,1097,,907,,831,,825,,867,,929,,
"Torfaen / Tor-faen",1289,,1113,,997,,932,,912,,902,,1085,,
"Monmouthshire / Sir Fynwy",722,,600,,519,,448,,469,,444,,493,,
"Newport / Casnewydd",2308,,2052,,1949,,1805,,1798,,1824,,2048,,
"Aberdeen City",1422,,1451,,1421,,1568,,1646,,1670,,1401,,
"Aberdeenshire",1237,,1329,,1342,,1333,,1262,,1410,,1155,,
"Angus",940,,882,,866,,902,,976,,1052,,822,,
"Argyll and Bute",594,,558,,548,,553,,539,,596,,401,,
"City of Edinburgh",2832,,2694,,2688,,2772,,2574,,2754,,2253,,
"Clackmannanshire",606,,542,,528,,556,,520,,577,,428,,
"Dumfries and Galloway",1367,,1217,,1137,,1228,,1166,,1357,,1022,,
"Dundee City",1487,,1418,,1388,,1414,,1422,,1498,,1141,,
"East Ayrshire",1429,,1412,,1271,,1323,,1376,,1497,,1189,,
"East Dunbartonshire",484,,482,,450,,440,,417,,480,,384,,
"East Lothian",845,,834,,730,,751,,707,,838,,635,,
"East Renfrewshire",446,,421,,406,,397,,409,,473,,356,,
"Falkirk",1565,,1360,,1309,,1389,,1425,,1551,,1271,,
"Fife",3919,,3638,,3295,,3508,,3493,,3927,,3016,,
"Glasgow City",7443,,7118,,6842,,7543,,7821,,8356,,6377,,
"Highland",1923,,1900,,1687,,1622,,1611,,1867,,1512,,
"Inverclyde",650,,650,,578,,492,,536,,572,,430,,
"Midlothian",763,,675,,678,,713,,699,,771,,668,,
"Moray",787,,761,,755,,676,,714,,790,,665,,
"Na h-Eileanan Siar",142,,175,,149,,143,,128,,172,,135,,
"North Ayrshire",1557,,1349,,1269,,1370,,1393,,1551,,1188,,
"North Lanarkshire",4014,,3769,,3494,,3611,,3630,,4111,,3202,,
"Orkney Islands",135,,107,,128,,128,,119,,103,,90,,
"Perth and Kinross",1065,,1059,,984,,972,,982,,1182,,883,,
"Renfrewshire",1302,,1227,,1185,,1231,,1318,,1552,,1160,,
"Scottish Borders",880,,855,,843,,842,,852,,939,,658,,
"Shetland Islands",128,,115,,114,,128,,106,,123,,116,,
"South Ayrshire",1021,,895,,886,,920,,957,,981,,711,,
"South Lanarkshire",2730,,2511,,2406,,2547,,2487,,2760,,2196,,
"Stirling",638,,585,,569,,574,,565,,679,,504,,
"West Dunbartonshire",975,,896,,818,,931,,957,,1055,,838,,
"West Lothian",1719,,1538,,1530,,1614,,1658,,1851,,1491,,
"Antrim and Newtownabbey",1698,,1603,,1500,,1303,,1418,,1445,,1324,,
"Ards and North Down",1783,,1713,,1543,,1275,,1357,,1337,,1224,,
"Armagh City, Banbridge and Craigavon",3154,,3021,,2754,,2385,,2591,,2751,,2679,,
"Belfast",6345,,6309,,5712,,4765,,5148,,4449,,4122,,
"Causeway Coast and Glens",2350,,2146,,2093,,1666,,1653,,1646,,1530,,
"Derry City and Strabane",3068,,2963,,2836,,2388,,2321,,1980,,1814,,
"Fermanagh and Omagh",1483,,1462,,1345,,1179,,1215,,1372,,1251,,
"Lisburn and Castlereagh",1423,,1287,,1140,,976,,1135,,1140,,1094,,
"Mid and East Antrim",1683,,1638,,1496,,1283,,1405,,1448,,1348,,
"Mid Ulster",2093,,1962,,1737,,1450,,1569,,1712,,1699,,
"Newry, Mourne and Down",2929,,2783,,2574,,2291,,2391,,2462,,2384,,
"Unknown",..,,..,,..,,..,,..,,..,,..,,
"Total",670146,,650567,,619652,,605229,,613707,,645600,,578647,,


"INFO","Statistical disclosure control has been applied to this table to avoid the release of confidential data.  Totals may not sum due to the disclosure control applied."


Symbol,Description
"I",""".."" denotes a nil or negligible number of children."
"II","Absolute low-income is defined as a family whose equivalised income is below 60 per cent of the 2010/11 median income adjusted for inflation. Gross income measure is Before Housing Costs (BHC) and includes contributions from earnings, state support and pensions."
"III","Income is equivalised to adjust for household size and family composition."
"IV","Child age is derived as the duration from Date of Birth to 31 March in each year. A child is defined as an individual aged under 16 or 16-19 and they are not married, in a civil partnership nor living with a partner; and are still living with parents/a responsible adult; and are in full-time non-advanced education or in unwaged government training."
"V","Families “in-work” are those to have had an accumulated period of at least 26 weeks paid employment or self-employment within the 52 week tax year. Employment activity is accumulated from either (or both) the adult claimant of Child Benefit and any partner(s) in the tax year."
"VI","Only families to have claimed Child Benefit and at least one other household benefit (Universal Credit, Tax Credit or Housing Benefit) will be included in the statistics."
"p","Figures marked ""p"" are provisional. These figures will be subject to revision in subsequent releases."


Source: Department for Work and Pensions
