Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"E06000052",21805,,21367,,19615,,19847,,20672,,22122,,21025,,25420,,
"E06000059",10014,,9688,,8726,,9043,,9023,,9530,,9232,,11488,,
"E06000053",47,,44,,46,,31,,43,,36,,30,,48,,
"E06000024",5744,,5624,,5079,,5298,,5231,,5538,,5586,,6572,,
"E06000026",10747,,10349,,9292,,9620,,9934,,10651,,9877,,12124,,
"E06000025",6895,,6486,,5945,,6047,,6226,,6801,,6779,,7997,,
"E06000030",7832,,7693,,6743,,7294,,7202,,7659,,7558,,9178,,
"E06000027",5299,,5292,,4674,,4777,,4835,,5280,,4880,,6008,,
"E06000054",12619,,11882,,10573,,10846,,10960,,11884,,11630,,14344,,
"E10000008",25078,,24545,,22304,,22788,,23034,,25232,,23698,,28462,,
"E10000013",19025,,18673,,16925,,17358,,17659,,18986,,18353,,22180,,
"E10000027",18280,,18253,,16480,,16667,,16718,,17661,,16928,,21111,,
"W06000001",2883,,2892,,2797,,2787,,2835,,3196,,4113,,3470,,
"W06000002",4588,,4716,,4654,,4765,,4712,,5287,,6926,,5684,,
"W06000003",4245,,4179,,3964,,4150,,4068,,4683,,6282,,5244,,
"W06000004",3598,,3505,,3531,,3522,,3702,,4235,,5646,,4759,,
"W06000005",5217,,5074,,4806,,5033,,4792,,5612,,7465,,6274,,
"W06000006",5195,,4992,,4843,,5301,,5346,,6654,,7743,,6502,,
"W06000023",4953,,4833,,4780,,5010,,4771,,5208,,6746,,5982,,
"W06000008",2524,,2679,,2626,,2761,,2623,,2909,,3782,,3286,,
"W06000009",5417,,5323,,5232,,5577,,5514,,6071,,7532,,6322,,
"W06000010",7738,,7661,,7476,,7706,,7746,,8856,,11191,,9280,,
"W06000011",8910,,8706,,8770,,9022,,9095,,9710,,12174,,10523,,
"W06000012",5503,,5322,,5153,,5234,,5402,,6230,,7994,,6650,,
"W06000013",5280,,5053,,4864,,5283,,5396,,6089,,7856,,6348,,
"W06000014",4082,,3925,,3873,,3949,,3965,,4515,,5918,,4999,,
"W06000015",14740,,14482,,14295,,15405,,15325,,17160,,21433,,17622,,
"W06000016",11444,,11124,,10504,,10865,,10987,,12734,,16307,,12719,,
"W06000024",3119,,3067,,2781,,2933,,2922,,3212,,4162,,3384,,
"W06000018",8332,,7945,,7432,,7958,,7806,,9108,,11218,,9088,,
"W06000019",3936,,3700,,3343,,3358,,3307,,3923,,4752,,3856,,
"W06000020",4054,,3868,,3585,,3849,,3785,,4293,,5603,,4688,,
