Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"
"Age of Child (years and bands)","5-10"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"E09000030",4487,,4728,,4990,,6424,,6857,,7158,,6339,,5721,,
"E09000032",1623,,1752,,1842,,2285,,2555,,2784,,2591,,2312,,
"E09000033",1137,,1197,,1276,,1447,,1528,,1588,,1510,,1384,,
"E09000002",3993,,4345,,4811,,5681,,5839,,6289,,5661,,5177,,
"E09000003",2961,,3049,,3354,,3955,,3967,,4225,,3942,,3577,,
"E09000004",2163,,2215,,2300,,2716,,2869,,3032,,2731,,2486,,
"E09000005",3508,,3695,,3835,,4286,,4770,,5136,,4808,,4375,,
"E09000006",2218,,2195,,2292,,2692,,2743,,2820,,2651,,2255,,
"E09000008",3901,,4059,,4222,,4888,,5333,,5617,,4955,,4557,,
"E09000009",3568,,3717,,3983,,4640,,4828,,5097,,4622,,4215,,
"E09000010",3985,,4200,,4230,,4840,,4928,,5105,,4342,,4071,,
"E09000011",3607,,3574,,3805,,4707,,4846,,5201,,4598,,4181,,
"E09000015",1930,,2043,,2180,,2696,,3053,,3411,,3365,,2929,,
"E09000016",2155,,2139,,2371,,2822,,3002,,3315,,3221,,2754,,
"E09000017",2741,,2888,,3090,,3824,,4089,,4356,,4161,,3755,,
"E09000018",2767,,2876,,3250,,3776,,4113,,4412,,4047,,3596,,
"E09000021",924,,923,,955,,1173,,1170,,1233,,1135,,1023,,
"E09000024",2029,,1996,,2111,,2412,,2404,,2521,,2276,,1989,,
"E09000026",3749,,3838,,4031,,4621,,4860,,5233,,4714,,4261,,
"E09000027",730,,716,,758,,904,,868,,999,,949,,808,,
"E09000029",1525,,1609,,1531,,1724,,1889,,2076,,1890,,1631,,
"E09000031",3977,,4078,,4272,,5052,,5168,,5430,,4950,,4376,,
"E06000036",638,,677,,826,,840,,848,,879,,997,,1003,,
"E06000043",1793,,1943,,2218,,2331,,2326,,2269,,2388,,2243,,
"E06000060",3503,,3832,,4419,,4729,,4879,,5090,,5644,,5714,,
"E06000046",1085,,1163,,1452,,1622,,1625,,1628,,1768,,1918,,
"E06000035",2709,,2848,,3416,,3712,,3944,,3979,,4320,,4294,,
"E06000042",3026,,3121,,3729,,4203,,4308,,4235,,4398,,4483,,
"E06000044",2074,,2234,,2747,,2902,,3097,,3194,,3250,,3414,,
"E06000038",1209,,1354,,1679,,1837,,1921,,1876,,2054,,2160,,
"E06000039",2082,,2231,,2694,,2791,,2902,,2958,,3330,,3472,,
"E06000045",2495,,2677,,3321,,3634,,3951,,3885,,4035,,4246,,
"E06000037",729,,749,,938,,1044,,1008,,1134,,1163,,1273,,
"E06000040",713,,765,,895,,969,,874,,949,,1090,,1031,,
"E06000041",650,,685,,803,,848,,919,,945,,1062,,1101,,
"E10000011",4102,,4512,,5394,,5765,,5901,,5779,,6184,,6343,,
"E10000014",7691,,8203,,9687,,10078,,10235,,10873,,11827,,12654,,
"E10000016",12744,,13509,,16548,,17620,,18537,,18830,,19632,,19664,,
"E10000025",3804,,4167,,4841,,5079,,5083,,5069,,5562,,5959,,
"E10000030",5480,,5672,,6612,,6821,,6968,,7097,,8010,,8088,,
"E10000032",5290,,5771,,6774,,7102,,7369,,7653,,8463,,8755,,
"E06000022",1052,,1045,,932,,991,,1034,,1081,,1057,,1270,,
"E06000058",2899,,2922,,2756,,2830,,2951,,3019,,3243,,3757,,
"E06000023",5181,,5382,,4779,,5309,,5654,,6004,,5814,,6899,,
"E06000052",5740,,5762,,5402,,5560,,5938,,6484,,6227,,7630,,
"E06000059",2721,,2617,,2450,,2524,,2467,,2668,,2599,,3297,,
"E06000053",14,,7,,11,,7,,11,,7,,7,,7,,
"E06000024",1554,,1565,,1411,,1521,,1519,,1612,,1625,,1907,,
"E06000026",2936,,2887,,2696,,2917,,3027,,3214,,3011,,3679,,
"E06000025",1801,,1736,,1664,,1748,,1845,,2020,,2070,,2418,,
"E06000030",2187,,2138,,1932,,2125,,2146,,2287,,2307,,2828,,
"E06000027",1399,,1385,,1257,,1295,,1358,,1477,,1393,,1731,,
"E06000054",3302,,3183,,2944,,3115,,3270,,3598,,3502,,4263,,
"E10000008",6675,,6690,,6254,,6614,,6714,,7391,,6829,,8270,,
"E10000013",5273,,5250,,4815,,5032,,5117,,5628,,5518,,6700,,
"E10000027",4909,,5081,,4711,,4748,,4826,,5099,,4857,,6219,,
"W06000001",780,,787,,824,,873,,881,,992,,1295,,1075,,
"W06000002",1224,,1348,,1306,,1356,,1354,,1519,,2102,,1667,,
"W06000003",1111,,1159,,1085,,1185,,1158,,1379,,1923,,1644,,
"W06000004",913,,981,,994,,967,,1066,,1249,,1716,,1416,,
"W06000005",1422,,1402,,1344,,1445,,1365,,1639,,2286,,1868,,
"W06000006",1381,,1392,,1402,,1595,,1636,,2051,,2396,,2043,,
"W06000023",1348,,1297,,1312,,1515,,1361,,1521,,2069,,1831,,
"W06000008",632,,684,,708,,771,,777,,900,,1214,,1000,,
"W06000009",1415,,1468,,1443,,1623,,1599,,1790,,2321,,1935,,
"W06000010",2102,,2188,,2249,,2286,,2281,,2631,,3457,,2763,,
"W06000011",2397,,2349,,2486,,2671,,2705,,2887,,3758,,3218,,
"W06000012",1398,,1412,,1419,,1470,,1549,,1786,,2426,,1966,,
"W06000013",1402,,1339,,1376,,1551,,1580,,1843,,2459,,1933,,
"W06000014",1029,,1037,,1090,,1137,,1114,,1283,,1830,,1495,,
"W06000015",4053,,4161,,4148,,4672,,4600,,5272,,6732,,5389,,
"W06000016",3120,,3101,,2969,,3175,,3231,,3762,,5048,,3893,,
"W06000024",823,,844,,800,,887,,835,,968,,1289,,1025,,
"W06000018",2212,,2091,,2023,,2232,,2219,,2570,,3395,,2745,,
"W06000019",1048,,987,,909,,945,,932,,1167,,1498,,1179,,
"W06000020",1086,,1056,,1013,,1128,,1120,,1225,,1734,,1393,,
"W06000021",644,,644,,613,,677,,646,,739,,999,,850,,
"W06000022",2216,,2167,,2152,,2374,,2399,,2560,,3498,,2958,,
"S12000033",1114,,1283,,1606,,1950,,1886,,1962,,1683,,2222,,
"S12000034",1334,,1524,,1758,,1926,,1862,,1971,,1736,,2225,,
"S12000041",881,,908,,1096,,1265,,1208,,1225,,1040,,1444,,
"S12000035",637,,658,,743,,812,,810,,765,,617,,820,,
"S12000036",2575,,2686,,3284,,3754,,3656,,3657,,3326,,4354,,
"S12000005",476,,508,,619,,751,,718,,797,,615,,898,,
"S12000006",1362,,1433,,1566,,1807,,1712,,1840,,1482,,1969,,
"S12000042",1349,,1339,,1698,,1957,,1833,,1870,,1497,,2140,,
"S12000008",1245,,1298,,1506,,1710,,1709,,1762,,1496,,2000,,
"S12000045",525,,549,,650,,659,,660,,764,,591,,818,,
"S12000010",802,,820,,980,,1091,,1042,,1107,,874,,1183,,
"S12000011",556,,554,,595,,677,,702,,748,,615,,778,,
"S12000014",1507,,1503,,1659,,1841,,1863,,1964,,1570,,2153,,
"S12000047",3613,,3693,,4283,,4850,,4865,,5063,,4056,,5457,,
"S12000049",7043,,7597,,8812,,10693,,10810,,11061,,9413,,12216,,
"S12000017",1745,,1884,,2111,,2182,,2181,,2387,,2095,,2710,,
"S12000018",625,,664,,697,,756,,738,,746,,600,,967,,
"S12000019",745,,719,,834,,963,,945,,1032,,929,,1232,,
"S12000020",739,,752,,942,,1032,,988,,1010,,933,,1243,,
"S12000013",152,,180,,220,,184,,168,,209,,179,,229,,
"S12000021",1465,,1437,,1669,,1892,,1889,,2121,,1701,,2301,,
