Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"
"Age of Child (years and bands)","16"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"S12000014",320,,266,,336,,327,,321,,325,,299,,400,,
"S12000047",710,,707,,743,,808,,806,,829,,752,,995,,
"S12000049",1481,,1466,,1624,,1836,,1744,,1845,,1676,,2147,,
"S12000017",413,,379,,462,,458,,432,,449,,419,,513,,
"S12000018",155,,142,,168,,145,,168,,144,,167,,177,,
"S12000019",152,,137,,151,,160,,158,,168,,144,,226,,
"S12000020",163,,146,,166,,166,,184,,166,,159,,214,,
"S12000013",41,,36,,42,,39,,50,,43,,36,,39,,
"S12000021",331,,308,,308,,395,,358,,387,,321,,421,,
"S12000050",762,,793,,896,,865,,819,,918,,772,,937,,
"S12000023",31,,21,,43,,37,,39,,39,,40,,58,,
"S12000048",196,,198,,238,,248,,248,,245,,211,,299,,
"S12000038",300,,296,,298,,333,,333,,350,,302,,445,,
"S12000026",195,,207,,215,,228,,232,,225,,202,,278,,
"S12000027",12,,23,,22,,23,,25,,23,,38,,33,,
"S12000028",223,,176,,220,,242,,221,,226,,217,,272,,
"S12000029",572,,584,,608,,631,,654,,638,,572,,791,,
"S12000030",140,,143,,154,,126,,147,,178,,139,,214,,
"S12000039",195,,174,,195,,212,,211,,183,,187,,254,,
"S12000040",320,,347,,355,,406,,330,,439,,365,,448,,
"N09000001",360,,347,,303,,275,,333,,336,,365,,315,,
"N09000011",337,,380,,316,,294,,294,,332,,350,,326,,
"N09000002",594,,645,,582,,567,,580,,575,,657,,647,,
"N09000003",1059,,1022,,995,,911,,918,,954,,981,,911,,
"N09000004",504,,462,,472,,390,,416,,412,,459,,374,,
"N09000005",723,,652,,680,,583,,564,,569,,548,,546,,
"N09000006",410,,388,,390,,345,,397,,391,,386,,390,,
"N09000007",256,,245,,237,,222,,271,,248,,283,,271,,
"N09000008",371,,341,,339,,302,,356,,351,,389,,348,,
"N09000009",526,,500,,472,,447,,433,,494,,561,,477,,
"N09000010",682,,653,,609,,575,,606,,640,,685,,625,,
"ZZXXXXXXX",..,,..,,..,,..,,..,,..,,..,,..,,
"Total",137326,,140969,,144316,,152182,,153899,,164817,,167079,,179051,,


"INFO","Statistical disclosure control has been applied to this table to avoid the release of confidential data.  Totals may not sum due to the disclosure control applied."


Symbol,Description
"I",""".."" denotes a nil or negligible number of children."
"II","Relative low-income is defined as a family whose equivalised income is below 60 per cent of contemporary median income. Gross income measure is Before Housing Costs (BHC) and includes contributions from earnings, state support and pensions."
"III","Income is equivalised to adjust for household size and family composition."
"IV","Child age is derived as the duration from Date of Birth to 31 March in each year. A child is defined as an individual aged under 16 or 16-19 and they are not married, in a civil partnership nor living with a partner; and are still living with parents/a responsible adult; and are in full-time non-advanced education or in unwaged government training."
"V","Families “in-work” are those to have had an accumulated period of at least 26 weeks paid employment or self-employment within the 52 week tax year. Employment activity is accumulated from either (or both) the adult claimant of Child Benefit and any partner(s) in the tax year."
"VI","Only families to have claimed Child Benefit and at least one other household benefit (Universal Credit, Tax Credit or Housing Benefit) will be included in the statistics."
"p","Figures marked ""p"" are provisional. These figures will be subject to revision in subsequent releases."


Source: Department for Work and Pensions
