Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","0-4"

"Year","Mid-2008","Mid-2009","Mid-2010","Mid-2011","Mid-2012","Mid-2013","Mid-2014","Mid-2015","Mid-2016","Mid-2017","Mid-2018","Mid-2019","Mid-2020",
"National - Regional - LAs",
"Wyre Forest",5103,5166,5215,5307,5323,5483,5533,5549,5562,5553,5462,5301,5077,
"Bedford",9590,9720,10052,10102,10478,10709,10890,11046,11336,11273,11509,11460,11385,
"Central Bedfordshire",15548,15648,15903,16117,16627,16964,17186,17586,17739,17724,17751,17971,18161,
"Luton",15754,16290,16481,16691,16976,17109,17479,17966,18100,17827,17547,17208,17037,
"Peterborough",12558,13181,13640,14044,14730,15141,15545,15914,16258,16063,15931,15470,14977,
"Southend-on-Sea",10267,10664,10973,11250,11382,11396,11419,11401,11464,11329,11304,11103,10781,
"Thurrock",11101,11496,11739,12097,12243,12147,12371,12756,12947,13032,13195,13282,13104,
"Cambridge",5883,6099,6408,6622,6918,6994,6976,7070,6956,6726,6865,6863,6886,
"East Cambridgeshire",5074,5228,5374,5558,5680,5716,5640,5650,5459,5354,5104,4909,4755,
"Fenland",5039,5108,5196,5224,5371,5562,5766,5904,6014,6040,5936,5716,5592,
"Huntingdonshire",9663,9757,9929,10125,10333,10462,10528,10527,10609,10323,10141,10002,9963,
"South Cambridgeshire",8807,9142,9270,9423,9422,9385,9436,9387,9460,9388,9249,9073,8911,
"Basildon",11414,11438,11499,11432,11763,12060,12191,12446,12753,12632,12642,12841,12774,
"Braintree",8863,8977,9311,9532,9399,9300,9100,8787,8667,8631,8564,8562,8457,
"Brentwood",3898,3883,3913,3929,3992,4048,4163,4363,4454,4416,4402,4412,4408,
"Castle Point",4279,4274,4209,4179,4243,4271,4365,4424,4468,4503,4471,4462,4394,
"Chelmsford",9561,9749,9925,9969,10196,10080,10061,10065,10155,10272,10252,10148,9944,
"Colchester",10066,10273,10549,10720,11011,11233,11495,11678,11741,11580,11435,11313,11143,
"Epping Forest",7145,7226,7299,7422,7687,7889,7920,8041,8109,7979,7957,8010,8193,
"Harlow",5592,5750,5994,6091,6316,6441,6588,6713,6703,6725,6588,6489,6333,
"Maldon",3180,3166,3074,3001,3063,3043,2992,3011,3037,2973,2996,2939,2986,
"Rochford",4196,4215,4348,4326,4322,4290,4230,4147,4100,4134,4159,4161,4130,
"Tendring",6467,6565,6740,6749,6934,6973,7126,7224,7213,7183,7294,7008,6826,
"Uttlesford",4381,4502,4644,4646,4726,4805,4904,5006,5059,5141,5221,5273,5249,
"Broxbourne",5853,5968,6118,6130,6309,6362,6376,6390,6425,6362,6309,6383,6195,
"Dacorum",8644,8984,9358,9786,10085,10077,10040,9851,9780,9838,10044,9909,9863,
"East Hertfordshire",8061,8070,8168,8373,8602,8644,8735,8640,8588,8424,8458,8494,8540,
