time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_new_st,Total_new_st_pc,Total_new_ehc,Total_new_ehc_pc,Total_new_all,Total_new_all_pc
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Total,z,z,325,100,325,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Total,z,z,116,100,116,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,z,z,184,100,184,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,z,z,168,100,168,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Total,z,z,205,100,205,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Total,z,z,519,100,519,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Total,z,z,109,100,109,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Total,z,z,360,100,360,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Total,z,z,221,100,221,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,z,z,832,100,832,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,z,z,215,100,215,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,z,z,321,100,321,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,z,z,363,100,363,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,z,z,258,100,258,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Total,z,z,263,100,263,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,z,z,949,100,949,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Total,z,z,282,100,282,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,z,z,319,100,319,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,z,z,255,100,255,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,z,z,360,100,360,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,z,z,359,100,359,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,z,z,269,100,269,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,z,z,317,100,317,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Total,z,z,192,100,192,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,z,z,167,100,167,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Total,z,z,1184,100,1184,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,z,z,118,100,118,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,z,z,141,100,141,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Total,z,z,654,100,654,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Total,z,z,426,100,426,100
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Total,z,z,584,100,584,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total,z,z,294,100,294,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Total,z,z,277,100,277,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Total,z,z,302,100,302,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Total,z,z,675,100,675,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Total,z,z,655,100,655,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Total,z,z,262,100,262,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Total,z,z,387,100,387,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Total,z,z,548,100,548,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Total,z,z,431,100,431,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Total,z,z,331,100,331,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Total,z,z,415,100,415,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Total,z,z,147,100,147,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Total,z,z,158,100,158,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Total,z,z,494,100,494,100
2021,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Total,z,z,192,100,192,100
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Total,z,z,763,100,763,100
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Total,z,z,459,100,459,100
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Total,z,z,620,100,620,100
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Total,z,z,326,100,326,100
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Total,z,z,37,100,37,100
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Total,z,z,409,100,409,100
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Total,z,z,153,100,153,100
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Total,z,z,587,100,587,100
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Total,z,z,470,100,470,100
2021,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Total,z,z,428,100,428,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Total,z,z,1230,100,1230,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Total,z,z,354,100,354,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Total,z,z,414,100,414,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total,z,z,413,100,413,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Total,z,z,265,100,265,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Total,z,z,332,100,332,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Total,z,z,378,100,378,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Total,z,z,634,100,634,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Total,z,z,244,100,244,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Total,z,z,195,100,195,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Total,z,z,506,100,506,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Total,z,z,189,100,189,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Total,z,z,149,100,149,100
2021,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Total,z,z,492,100,492,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Total,z,z,304,100,304,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Total,z,z,215,100,215,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Total,z,z,474,100,474,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Total,z,z,913,100,913,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Total,z,z,235,100,235,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Total,z,z,1219,100,1219,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Total,z,z,163,100,163,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Total,z,z,252,100,252,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Total,z,z,1482,100,1482,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Total,z,z,1032,100,1032,100
2021,Calendar year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Total,z,z,696,100,696,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,201,E09000001,City of London,Total,z,z,1,100,1,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,202,E09000007,Camden,Total,z,z,115,100,115,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,203,E09000011,Greenwich,Total,z,z,289,100,289,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,204,E09000012,Hackney,Total,z,z,345,100,345,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,205,E09000013,Hammersmith and Fulham,Total,z,z,216,100,216,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,206,E09000019,Islington,Total,z,z,244,100,244,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,207,E09000020,Kensington and Chelsea,Total,z,z,83,100,83,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,208,E09000022,Lambeth,Total,z,z,297,100,297,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,209,E09000023,Lewisham,Total,z,z,488,100,488,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,210,E09000028,Southwark,Total,z,z,288,100,288,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,211,E09000030,Tower Hamlets,Total,z,z,311,100,311,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,212,E09000032,Wandsworth,Total,z,z,360,100,360,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,213,E09000033,Westminster,Total,z,z,137,100,137,100
2021,Calendar year,Local authority,E92000001,England,E12000007,London,301,E09000002,Barking and Dagenham,Total,z,z,236,100,236,100
