time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,MApprenEHC,MTrainEHC,MSuppIntEHC,WorkbasedEHC,Mres38week05EHC,Mres38week510EHC,Mres38week1115EHC,Mres38week1619EHC,Mres38week2025EHC,TotMres38weekEHC,Mres52week05EHC,Mres52week510EHC,Mres52week1115EHC,Mres52week1619EHC,Mres52week2025EHC,TotMres52weekEHC,Mres38week05,Mres38week510,Mres38week1115,Mres38week1619,TotMres38week,Mres52week05,Mres52week510,Mres52week1115,Mres52week1619,TotMres52week,DMO,DCO,DMODCOFunction
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,0,0,50,50,0,0,1,1,0,2,0,0,1,4,0,5,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,8,5,18,31,0,0,0,0,0,0,0,1,2,0,0,3,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,0,3,12,15,0,0,0,1,0,1,0,0,4,1,0,5,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,21,6,21,48,0,0,1,1,1,3,0,0,2,1,2,5,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,4,12,33,49,0,0,0,0,0,0,0,0,0,2,0,2,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,19,4,3,26,0,0,3,2,1,6,0,0,4,1,0,5,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,6,2,29,37,0,0,0,0,0,0,0,0,2,0,0,2,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,1,0,8,9,0,0,0,0,0,0,0,0,1,0,0,1,z,z,z,z,z,z,z,z,z,z,Y,Y,Y
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,0,0,43,43,0,0,2,1,0,3,0,1,7,1,0,9,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,4,9,7,20,0,0,0,0,0,0,0,1,2,2,3,8,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,1,12,9,22,0,0,0,0,0,0,0,1,0,0,0,1,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,0,1,0,1,0,0,0,0,0,0,0,2,2,4,0,8,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,10,0,34,44,0,1,2,2,0,5,0,0,0,1,0,1,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,9,6,13,28,0,0,0,1,0,1,0,0,3,2,0,5,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,7,33,4,44,0,0,0,0,0,0,0,0,2,2,0,4,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,5,2,3,10,0,0,0,2,0,2,0,0,0,5,1,6,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,7,1,16,24,0,0,0,0,0,0,0,1,0,1,0,2,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,20,47,31,98,0,0,1,1,2,4,0,0,0,1,0,1,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,0,2,7,9,0,0,0,1,0,1,0,0,0,1,0,1,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,3,46,2,51,0,0,0,0,0,0,0,1,8,1,0,10,z,z,z,z,z,z,z,z,z,z,N,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,0,0,47,47,0,0,3,4,0,7,0,1,2,3,2,8,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,3,0,16,19,0,0,0,0,0,0,0,0,1,3,0,4,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,7,0,9,16,0,0,1,0,7,8,0,0,0,1,0,1,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,1,1,4,6,0,0,0,0,0,0,0,0,1,3,0,4,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,3,0,4,7,0,0,0,0,0,0,0,0,0,0,2,2,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,3,15,0,18,0,0,4,2,1,7,0,1,0,0,1,2,z,z,z,z,z,z,z,z,z,z,Y,N,N
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,8,0,3,11,0,0,0,0,0,0,0,0,2,1,0,3,z,z,z,z,z,z,z,z,z,z,Y,R,N
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,10,1,22,33,0,0,0,0,0,0,0,0,0,0,0,0,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,1,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,2,0,8,10,0,0,1,6,2,9,0,0,1,2,2,5,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,6,0,39,45,0,0,6,3,4,13,0,2,2,1,1,6,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,2,24,17,43,0,0,1,2,1,4,0,1,9,1,0,11,z,z,z,z,z,z,z,z,z,z,Y,Y,N
