time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_st,Total_st_pc,Total_ehc,Total_ehc_pc,Total_all,Total_all_pc
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Total,z,z,2202,100,2202,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Total,z,z,740,100,740,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,z,z,1370,100,1370,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,z,z,1398,100,1398,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Total,z,z,1821,100,1821,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Total,z,z,3975,100,3975,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Total,z,z,848,100,848,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Total,z,z,2650,100,2650,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Total,z,z,1665,100,1665,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,z,z,4015,100,4015,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,z,z,1332,100,1332,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,z,z,2243,100,2243,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,z,z,3291,100,3291,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,z,z,2726,100,2726,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Total,z,z,2087,100,2087,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,z,z,5792,100,5792,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Total,z,z,2661,100,2661,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,z,z,2346,100,2346,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,z,z,2599,100,2599,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,z,z,2618,100,2618,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,z,z,2140,100,2140,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,z,z,2448,100,2448,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,z,z,2337,100,2337,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Total,z,z,1189,100,1189,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,z,z,1731,100,1731,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Total,z,z,8691,100,8691,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,z,z,1054,100,1054,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,z,z,1249,100,1249,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Total,z,z,3412,100,3412,100
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Total,z,z,2588,100,2588,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,302,E09000003,Barnet,Total,z,z,3211,100,3211,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,303,E09000004,Bexley,Total,z,z,2548,100,2548,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,304,E09000005,Brent,Total,z,z,2938,100,2938,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,305,E09000006,Bromley,Total,z,z,3241,100,3241,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,306,E09000008,Croydon,Total,z,z,3556,100,3556,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,307,E09000009,Ealing,Total,z,z,3119,100,3119,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,308,E09000010,Enfield,Total,z,z,3931,100,3931,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,309,E09000014,Haringey,Total,z,z,2567,100,2567,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,310,E09000015,Harrow,Total,z,z,1974,100,1974,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,311,E09000016,Havering,Total,z,z,2016,100,2016,100
